,num_1950,num_rest,num_total,ratio_1950
228445,7,3,10,0.7
98647,7,3,10,0.7
80826,7,3,10,0.7
69775,7,3,10,0.7
53414,7,3,10,0.7
135799,7,3,10,0.7
149069,21,9,30,0.7
275210,7,3,10,0.7
126492,70,30,100,0.7
47279,7,3,10,0.7
49392,7,3,10,0.7
188799,7,3,10,0.7
113752,7,3,10,0.7
80453,7,3,10,0.7
110112,7,3,10,0.7
50849,7,3,10,0.7
95393,7,3,10,0.7
270897,7,3,10,0.7
233976,7,3,10,0.7
152770,7,3,10,0.7
135609,14,6,20,0.7
96054,7,3,10,0.7
267444,7,3,10,0.7
27462,7,3,10,0.7
175271,7,3,10,0.7
69211,19,8,27,0.7037037037037037
163973,57,24,81,0.7037037037037037
69933,12,5,17,0.7058823529411765
60858,12,5,17,0.7058823529411765
125063,12,5,17,0.7058823529411765
40330,12,5,17,0.7058823529411765
98783,12,5,17,0.7058823529411765
66073,12,5,17,0.7058823529411765
41084,29,12,41,0.7073170731707317
254201,17,7,24,0.7083333333333334
176214,17,7,24,0.7083333333333334
66680,39,16,55,0.7090909090909091
165758,37,15,52,0.7115384615384616
48025,52,21,73,0.7123287671232876
45911,5,2,7,0.7142857142857143
5728,5,2,7,0.7142857142857143
169400,5,2,7,0.7142857142857143
204822,5,2,7,0.7142857142857143
126149,10,4,14,0.7142857142857143
99222,5,2,7,0.7142857142857143
136396,5,2,7,0.7142857142857143
209147,5,2,7,0.7142857142857143
70415,30,12,42,0.7142857142857143
165769,5,2,7,0.7142857142857143
79186,5,2,7,0.7142857142857143
82955,5,2,7,0.7142857142857143
127190,10,4,14,0.7142857142857143
202036,5,2,7,0.7142857142857143
196621,5,2,7,0.7142857142857143
39662,5,2,7,0.7142857142857143
261611,5,2,7,0.7142857142857143
120829,5,2,7,0.7142857142857143
251146,5,2,7,0.7142857142857143
120137,5,2,7,0.7142857142857143
80684,5,2,7,0.7142857142857143
174633,5,2,7,0.7142857142857143
3373,15,6,21,0.7142857142857143
84024,25,10,35,0.7142857142857143
41596,5,2,7,0.7142857142857143
119631,5,2,7,0.7142857142857143
83775,5,2,7,0.7142857142857143
28735,5,2,7,0.7142857142857143
228245,5,2,7,0.7142857142857143
26134,5,2,7,0.7142857142857143
25225,5,2,7,0.7142857142857143
140294,5,2,7,0.7142857142857143
143302,5,2,7,0.7142857142857143
234893,5,2,7,0.7142857142857143
123154,5,2,7,0.7142857142857143
250101,10,4,14,0.7142857142857143
249732,5,2,7,0.7142857142857143
203910,20,8,28,0.7142857142857143
258777,5,2,7,0.7142857142857143
234743,5,2,7,0.7142857142857143
80690,5,2,7,0.7142857142857143
248138,5,2,7,0.7142857142857143
174367,5,2,7,0.7142857142857143
129373,5,2,7,0.7142857142857143
180586,5,2,7,0.7142857142857143
217107,10,4,14,0.7142857142857143
239374,5,2,7,0.7142857142857143
57200,5,2,7,0.7142857142857143
18439,5,2,7,0.7142857142857143
239067,5,2,7,0.7142857142857143
153865,5,2,7,0.7142857142857143
106294,10,4,14,0.7142857142857143
161039,15,6,21,0.7142857142857143
243942,10,4,14,0.7142857142857143
94952,5,2,7,0.7142857142857143
131597,5,2,7,0.7142857142857143
257362,5,2,7,0.7142857142857143
197913,5,2,7,0.7142857142857143
215421,5,2,7,0.7142857142857143
65145,5,2,7,0.7142857142857143
160803,5,2,7,0.7142857142857143
255546,15,6,21,0.7142857142857143
217516,10,4,14,0.7142857142857143
100223,5,2,7,0.7142857142857143
60029,5,2,7,0.7142857142857143
157625,5,2,7,0.7142857142857143
241749,5,2,7,0.7142857142857143
172613,5,2,7,0.7142857142857143
59504,5,2,7,0.7142857142857143
14698,5,2,7,0.7142857142857143
181452,5,2,7,0.7142857142857143
15049,20,8,28,0.7142857142857143
16010,5,2,7,0.7142857142857143
183883,5,2,7,0.7142857142857143
34636,5,2,7,0.7142857142857143
277157,10,4,14,0.7142857142857143
76888,15,6,21,0.7142857142857143
98159,5,2,7,0.7142857142857143
184202,5,2,7,0.7142857142857143
96954,5,2,7,0.7142857142857143
152016,5,2,7,0.7142857142857143
198840,5,2,7,0.7142857142857143
81121,15,6,21,0.7142857142857143
94376,5,2,7,0.7142857142857143
266650,10,4,14,0.7142857142857143
187747,5,2,7,0.7142857142857143
92152,10,4,14,0.7142857142857143
