,num_1950,num_rest,num_total,ratio_1950
196621,5,2,7,0.7142857142857143
240789,5,2,7,0.7142857142857143
184202,5,2,7,0.7142857142857143
169400,5,2,7,0.7142857142857143
255546,15,6,21,0.7142857142857143
107324,5,2,7,0.7142857142857143
79186,5,2,7,0.7142857142857143
266650,10,4,14,0.7142857142857143
129373,5,2,7,0.7142857142857143
131597,5,2,7,0.7142857142857143
109388,5,2,7,0.7142857142857143
108155,15,6,21,0.7142857142857143
3373,15,6,21,0.7142857142857143
183883,5,2,7,0.7142857142857143
59504,5,2,7,0.7142857142857143
228245,5,2,7,0.7142857142857143
8971,5,2,7,0.7142857142857143
142584,10,4,14,0.7142857142857143
209160,20,8,28,0.7142857142857143
80690,5,2,7,0.7142857142857143
14698,5,2,7,0.7142857142857143
257699,5,2,7,0.7142857142857143
127190,10,4,14,0.7142857142857143
31471,5,2,7,0.7142857142857143
197913,5,2,7,0.7142857142857143
257362,5,2,7,0.7142857142857143
45911,5,2,7,0.7142857142857143
80684,5,2,7,0.7142857142857143
132663,5,2,7,0.7142857142857143
106294,10,4,14,0.7142857142857143
249732,5,2,7,0.7142857142857143
248138,5,2,7,0.7142857142857143
277157,10,4,14,0.7142857142857143
76888,15,6,21,0.7142857142857143
147900,5,2,7,0.7142857142857143
209147,5,2,7,0.7142857142857143
81121,15,6,21,0.7142857142857143
100223,5,2,7,0.7142857142857143
112818,5,2,7,0.7142857142857143
277629,5,2,7,0.7142857142857143
204822,5,2,7,0.7142857142857143
244056,5,2,7,0.7142857142857143
26134,5,2,7,0.7142857142857143
174633,5,2,7,0.7142857142857143
96954,5,2,7,0.7142857142857143
90322,5,2,7,0.7142857142857143
16010,5,2,7,0.7142857142857143
202036,5,2,7,0.7142857142857143
278221,5,2,7,0.7142857142857143
243942,10,4,14,0.7142857142857143
157625,5,2,7,0.7142857142857143
25225,5,2,7,0.7142857142857143
174367,5,2,7,0.7142857142857143
28735,5,2,7,0.7142857142857143
98159,5,2,7,0.7142857142857143
136396,5,2,7,0.7142857142857143
273635,5,2,7,0.7142857142857143
261611,5,2,7,0.7142857142857143
93698,5,2,7,0.7142857142857143
94376,5,2,7,0.7142857142857143
160803,5,2,7,0.7142857142857143
244761,5,2,7,0.7142857142857143
108352,15,6,21,0.7142857142857143
94952,5,2,7,0.7142857142857143
140294,5,2,7,0.7142857142857143
53042,5,2,7,0.7142857142857143
234893,5,2,7,0.7142857142857143
119631,5,2,7,0.7142857142857143
51589,5,2,7,0.7142857142857143
252846,5,2,7,0.7142857142857143
244471,5,2,7,0.7142857142857143
53575,5,2,7,0.7142857142857143
234743,5,2,7,0.7142857142857143
39662,5,2,7,0.7142857142857143
123154,5,2,7,0.7142857142857143
163761,5,2,7,0.7142857142857143
136011,5,2,7,0.7142857142857143
36839,5,2,7,0.7142857142857143
216724,5,2,7,0.7142857142857143
217516,10,4,14,0.7142857142857143
163579,5,2,7,0.7142857142857143
223566,15,6,21,0.7142857142857143
19570,5,2,7,0.7142857142857143
99322,5,2,7,0.7142857142857143
217107,10,4,14,0.7142857142857143
99222,5,2,7,0.7142857142857143
187747,5,2,7,0.7142857142857143
120137,5,2,7,0.7142857142857143
88993,5,2,7,0.7142857142857143
163973,58,23,81,0.7160493827160493
245645,23,9,32,0.71875
243759,18,7,25,0.72
104399,36,14,50,0.72
29259,36,14,50,0.72
69232,18,7,25,0.72
93453,18,7,25,0.72
119575,31,12,43,0.7209302325581395
23547,13,5,18,0.7222222222222222
33933,13,5,18,0.7222222222222222
55438,13,5,18,0.7222222222222222
208815,13,5,18,0.7222222222222222
192245,13,5,18,0.7222222222222222
16916,13,5,18,0.7222222222222222
30035,13,5,18,0.7222222222222222
61028,13,5,18,0.7222222222222222
187574,13,5,18,0.7222222222222222
55751,13,5,18,0.7222222222222222
138097,13,5,18,0.7222222222222222
59727,13,5,18,0.7222222222222222
187762,26,10,36,0.7222222222222222
109349,8,3,11,0.7272727272727273
94529,8,3,11,0.7272727272727273
230496,8,3,11,0.7272727272727273
192479,8,3,11,0.7272727272727273
87929,8,3,11,0.7272727272727273
55789,8,3,11,0.7272727272727273
278535,8,3,11,0.7272727272727273
68128,16,6,22,0.7272727272727273
211288,8,3,11,0.7272727272727273
62958,8,3,11,0.7272727272727273
116122,8,3,11,0.7272727272727273
30898,8,3,11,0.7272727272727273
137684,8,3,11,0.7272727272727273
224923,8,3,11,0.7272727272727273
204696,8,3,11,0.7272727272727273
151098,8,3,11,0.7272727272727273
225066,8,3,11,0.7272727272727273
126810,8,3,11,0.7272727272727273
50681,8,3,11,0.7272727272727273
137222,8,3,11,0.7272727272727273
202195,8,3,11,0.7272727272727273
212260,8,3,11,0.7272727272727273
72238,8,3,11,0.7272727272727273
202127,8,3,11,0.7272727272727273
104211,27,10,37,0.7297297297297297
82893,19,7,26,0.7307692307692307
70415,30,11,41,0.7317073170731707
102647,63,23,86,0.7325581395348837
168388,11,4,15,0.7333333333333333
239626,11,4,15,0.7333333333333333
196160,44,16,60,0.7333333333333333
113955,11,4,15,0.7333333333333333
240051,11,4,15,0.7333333333333333
195386,11,4,15,0.7333333333333333
67627,11,4,15,0.7333333333333333
221870,11,4,15,0.7333333333333333
93631,11,4,15,0.7333333333333333
7841,11,4,15,0.7333333333333333
183046,36,13,49,0.7346938775510204
269835,14,5,19,0.7368421052631579
249989,14,5,19,0.7368421052631579
49109,14,5,19,0.7368421052631579
137336,14,5,19,0.7368421052631579
114444,28,10,38,0.7368421052631579
178522,59,21,80,0.7375
