,num_USA,num_rest,num_total,ratio_USA
268622,26,2,28,0.9285714285714286
61798,13,1,14,0.9285714285714286
235506,13,1,14,0.9285714285714286
32122,13,1,14,0.9285714285714286
8234,13,1,14,0.9285714285714286
217107,13,1,14,0.9285714285714286
238246,13,1,14,0.9285714285714286
135043,13,1,14,0.9285714285714286
147420,13,1,14,0.9285714285714286
127049,13,1,14,0.9285714285714286
11245,26,2,28,0.9285714285714286
84882,27,2,29,0.9310344827586207
110373,27,2,29,0.9310344827586207
244915,14,1,15,0.9333333333333333
239688,14,1,15,0.9333333333333333
39227,14,1,15,0.9333333333333333
195386,14,1,15,0.9333333333333333
128732,14,1,15,0.9333333333333333
163319,14,1,15,0.9333333333333333
66323,14,1,15,0.9333333333333333
3145,14,1,15,0.9333333333333333
97721,14,1,15,0.9333333333333333
178079,14,1,15,0.9333333333333333
5499,14,1,15,0.9333333333333333
37293,14,1,15,0.9333333333333333
233903,14,1,15,0.9333333333333333
34300,28,2,30,0.9333333333333333
108752,14,1,15,0.9333333333333333
212849,14,1,15,0.9333333333333333
204909,14,1,15,0.9333333333333333
67627,14,1,15,0.9333333333333333
258534,143,10,153,0.934640522875817
145369,15,1,16,0.9375
59189,15,1,16,0.9375
142212,15,1,16,0.9375
144619,15,1,16,0.9375
87949,15,1,16,0.9375
22045,15,1,16,0.9375
227025,15,1,16,0.9375
251242,15,1,16,0.9375
79009,15,1,16,0.9375
65663,15,1,16,0.9375
136255,15,1,16,0.9375
183187,15,1,16,0.9375
126903,15,1,16,0.9375
253821,15,1,16,0.9375
148314,15,1,16,0.9375
156214,30,2,32,0.9375
200422,15,1,16,0.9375
221655,15,1,16,0.9375
49771,15,1,16,0.9375
248468,15,1,16,0.9375
229502,15,1,16,0.9375
57976,15,1,16,0.9375
33283,15,1,16,0.9375
167349,15,1,16,0.9375
115692,31,2,33,0.9393939393939394
126492,93,6,99,0.9393939393939394
245650,31,2,33,0.9393939393939394
7158,31,2,33,0.9393939393939394
41781,31,2,33,0.9393939393939394
148712,16,1,17,0.9411764705882353
123460,16,1,17,0.9411764705882353
51803,16,1,17,0.9411764705882353
69933,16,1,17,0.9411764705882353
170762,16,1,17,0.9411764705882353
41589,16,1,17,0.9411764705882353
253005,16,1,17,0.9411764705882353
91647,16,1,17,0.9411764705882353
56307,32,2,34,0.9411764705882353
51252,16,1,17,0.9411764705882353
84024,33,2,35,0.9428571428571428
161299,17,1,18,0.9444444444444444
203401,17,1,18,0.9444444444444444
23547,17,1,18,0.9444444444444444
201768,17,1,18,0.9444444444444444
124942,17,1,18,0.9444444444444444
16916,17,1,18,0.9444444444444444
55751,17,1,18,0.9444444444444444
256407,17,1,18,0.9444444444444444
17859,17,1,18,0.9444444444444444
192245,17,1,18,0.9444444444444444
66680,52,3,55,0.9454545454545454
70666,52,3,55,0.9454545454545454
109901,52,3,55,0.9454545454545454
207825,18,1,19,0.9473684210526315
78328,18,1,19,0.9473684210526315
276231,36,2,38,0.9473684210526315
23511,18,1,19,0.9473684210526315
256167,18,1,19,0.9473684210526315
175100,18,1,19,0.9473684210526315
141902,18,1,19,0.9473684210526315
148590,19,1,20,0.95
52521,19,1,20,0.95
80810,38,2,40,0.95
129489,19,1,20,0.95
101304,19,1,20,0.95
177374,38,2,40,0.95
19493,20,1,21,0.9523809523809523
100264,20,1,21,0.9523809523809523
257024,20,1,21,0.9523809523809523
196108,20,1,21,0.9523809523809523
204457,41,2,43,0.9534883720930233
170724,21,1,22,0.9545454545454546
164675,21,1,22,0.9545454545454546
70183,21,1,22,0.9545454545454546
124989,21,1,22,0.9545454545454546
202462,21,1,22,0.9545454545454546
108480,21,1,22,0.9545454545454546
154469,44,2,46,0.9565217391304348
170947,22,1,23,0.9565217391304348
90198,22,1,23,0.9565217391304348
268751,23,1,24,0.9583333333333334
177590,23,1,24,0.9583333333333334
169779,23,1,24,0.9583333333333334
212467,23,1,24,0.9583333333333334
213531,23,1,24,0.9583333333333334
39345,23,1,24,0.9583333333333334
247055,23,1,24,0.9583333333333334
212797,24,1,25,0.96
223190,24,1,25,0.96
83443,24,1,25,0.96
79740,24,1,25,0.96
207349,25,1,26,0.9615384615384616
187065,25,1,26,0.9615384615384616
177090,26,1,27,0.9629629629629629
81597,54,2,56,0.9642857142857143
76352,27,1,28,0.9642857142857143
145641,27,1,28,0.9642857142857143
188273,27,1,28,0.9642857142857143
133296,56,2,58,0.9655172413793104
226205,28,1,29,0.9655172413793104
9417,29,1,30,0.9666666666666667
84795,34,1,35,0.9714285714285714
258884,36,1,37,0.972972972972973
104211,36,1,37,0.972972972972973
237990,40,1,41,0.975609756097561
240035,44,1,45,0.9777777777777777
178522,79,1,80,0.9875
37623,12,0,12,1.0
8187,9,0,9,1.0
37790,6,0,6,1.0
242458,5,0,5,1.0
37817,5,0,5,1.0
267680,5,0,5,1.0
30749,6,0,6,1.0
267644,5,0,5,1.0
7620,8,0,8,1.0
7887,9,0,9,1.0
241799,6,0,6,1.0
12348,6,0,6,1.0
28139,5,0,5,1.0
32087,5,0,5,1.0
248492,9,0,9,1.0
269353,5,0,5,1.0
269344,9,0,9,1.0
37227,19,0,19,1.0
242247,6,0,6,1.0
28144,10,0,10,1.0
250733,9,0,9,1.0
269140,7,0,7,1.0
10354,13,0,13,1.0
268704,5,0,5,1.0
36978,8,0,8,1.0
36938,8,0,8,1.0
268540,10,0,10,1.0
268691,7,0,7,1.0
10946,5,0,5,1.0
246216,9,0,9,1.0
30838,6,0,6,1.0
269702,6,0,6,1.0
30854,6,0,6,1.0
270226,5,0,5,1.0
270211,5,0,5,1.0
12194,7,0,7,1.0
37605,6,0,6,1.0
8695,8,0,8,1.0
9343,5,0,5,1.0
8872,13,0,13,1.0
269808,5,0,5,1.0
9177,4,0,4,1.0
11708,6,0,6,1.0
9226,5,0,5,1.0
269719,12,0,12,1.0
32250,10,0,10,1.0
8930,5,0,5,1.0
6789,7,0,7,1.0
26598,8,0,8,1.0
6679,5,0,5,1.0
251019,7,0,7,1.0
278007,6,0,6,1.0
247855,6,0,6,1.0
240756,11,0,11,1.0
275439,7,0,7,1.0
278221,7,0,7,1.0
114,6,0,6,1.0
277965,11,0,11,1.0
735,5,0,5,1.0
38654,11,0,11,1.0
1129,5,0,5,1.0
240906,14,0,14,1.0
1409,5,0,5,1.0
31050,20,0,20,1.0
247966,6,0,6,1.0
28451,20,0,20,1.0
274881,7,0,7,1.0
251003,16,0,16,1.0
31144,6,0,6,1.0
247518,5,0,5,1.0
276964,10,0,10,1.0
277157,14,0,14,1.0
277439,5,0,5,1.0
246388,5,0,5,1.0
31250,6,0,6,1.0
38950,4,0,4,1.0
276328,3,0,3,1.0
277523,18,0,18,1.0
38899,4,0,4,1.0
240609,6,0,6,1.0
277639,12,0,12,1.0
277710,6,0,6,1.0
247829,8,0,8,1.0
38718,8,0,8,1.0
277922,5,0,5,1.0
276038,11,0,11,1.0
275994,10,0,10,1.0
240932,5,0,5,1.0
241042,9,0,9,1.0
251122,9,0,9,1.0
1903,9,0,9,1.0
272890,5,0,5,1.0
4334,6,0,6,1.0
4938,12,0,12,1.0
5037,11,0,11,1.0
38081,5,0,5,1.0
5209,5,0,5,1.0
28257,5,0,5,1.0
30939,5,0,5,1.0
5741,5,0,5,1.0
241597,9,0,9,1.0
5815,6,0,6,1.0
6333,6,0,6,1.0
248259,8,0,8,1.0
271538,10,0,10,1.0
247278,5,0,5,1.0
271460,19,0,19,1.0
248280,9,0,9,1.0
272961,6,0,6,1.0
6769,7,0,7,1.0
273063,5,0,5,1.0
32329,9,0,9,1.0
273869,5,0,5,1.0
2287,6,0,6,1.0
38590,8,0,8,1.0
241100,5,0,5,1.0
2288,6,0,6,1.0
28289,7,0,7,1.0
273336,5,0,5,1.0
3167,18,0,18,1.0
250851,5,0,5,1.0
241265,8,0,8,1.0
273197,8,0,8,1.0
246246,5,0,5,1.0
3373,21,0,21,1.0
273113,111,0,111,1.0
38250,8,0,8,1.0
241513,5,0,5,1.0
30968,5,0,5,1.0
4197,8,0,8,1.0
30645,6,0,6,1.0
266164,13,0,13,1.0
12698,6,0,6,1.0
252627,5,0,5,1.0
21660,5,0,5,1.0
258690,7,0,7,1.0
21708,5,0,5,1.0
27313,5,0,5,1.0
244494,6,0,6,1.0
21930,5,0,5,1.0
34600,12,0,12,1.0
258329,5,0,5,1.0
22338,7,0,7,1.0
26782,6,0,6,1.0
257703,5,0,5,1.0
257699,7,0,7,1.0
250101,13,0,13,1.0
257534,6,0,6,1.0
257454,9,0,9,1.0
26756,5,0,5,1.0
252292,8,0,8,1.0
23652,12,0,12,1.0
244456,6,0,6,1.0
21356,18,0,18,1.0
29789,6,0,6,1.0
261185,5,0,5,1.0
19972,5,0,5,1.0
29539,5,0,5,1.0
20115,5,0,5,1.0
244349,7,0,7,1.0
260363,8,0,8,1.0
34840,5,0,5,1.0
260316,13,0,13,1.0
20201,18,0,18,1.0
20484,6,0,6,1.0
31919,9,0,9,1.0
252287,12,0,12,1.0
21049,5,0,5,1.0
244452,10,0,10,1.0
259259,23,0,23,1.0
259223,6,0,6,1.0
29424,5,0,5,1.0
19760,5,0,5,1.0
256844,9,0,9,1.0
24379,5,0,5,1.0
250398,19,0,19,1.0
245215,6,0,6,1.0
254289,6,0,6,1.0
250456,5,0,5,1.0
254053,11,0,11,1.0
25996,7,0,7,1.0
26134,7,0,7,1.0
250461,5,0,5,1.0
245604,9,0,9,1.0
26374,5,0,5,1.0
33200,9,0,9,1.0
26516,8,0,8,1.0
250506,5,0,5,1.0
26521,5,0,5,1.0
253311,8,0,8,1.0
250543,8,0,8,1.0
26538,5,0,5,1.0
32034,8,0,8,1.0
24052,5,0,5,1.0
33614,7,0,7,1.0
25395,11,0,11,1.0
24427,5,0,5,1.0
33862,12,0,12,1.0
255858,6,0,6,1.0
26664,1,0,1,1.0
24733,5,0,5,1.0
26624,6,0,6,1.0
245102,7,0,7,1.0
29056,5,0,5,1.0
255289,5,0,5,1.0
24995,9,0,9,1.0
25009,6,0,6,1.0
254971,6,0,6,1.0
254863,7,0,7,1.0
254777,5,0,5,1.0
254754,5,0,5,1.0
254751,5,0,5,1.0
254690,5,0,5,1.0
245616,6,0,6,1.0
36693,6,0,6,1.0
249695,13,0,13,1.0
19571,6,0,6,1.0
266466,18,0,18,1.0
266457,5,0,5,1.0
266419,5,0,5,1.0
14180,7,0,7,1.0
266268,30,0,30,1.0
14393,6,0,6,1.0
243075,9,0,9,1.0
253322,7,0,7,1.0
245814,5,0,5,1.0
265972,7,0,7,1.0
251518,9,0,9,1.0
14461,5,0,5,1.0
265918,8,0,8,1.0
30120,6,0,6,1.0
265656,12,0,12,1.0
35998,5,0,5,1.0
265620,11,0,11,1.0
36307,5,0,5,1.0
28731,5,0,5,1.0
13733,5,0,5,1.0
13666,6,0,6,1.0
267444,10,0,10,1.0
267442,5,0,5,1.0
267282,13,0,13,1.0
267256,5,0,5,1.0
30531,6,0,6,1.0
12707,6,0,6,1.0
12784,9,0,9,1.0
30461,7,0,7,1.0
36568,5,0,5,1.0
267180,7,0,7,1.0
242843,6,0,6,1.0
266940,5,0,5,1.0
12990,5,0,5,1.0
13518,14,0,14,1.0
13551,9,0,9,1.0
13600,5,0,5,1.0
13604,9,0,9,1.0
