,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
421,0.0550487574709028,11,6358,3612,102,154,6358,0,1087,1198,6358,3335
424,0.0435671594841145,7,6358,2102,103,387,6358,0,685,679,6358,2317
1365,0.0312991506763133,11,6358,1622,137,404,6358,0,514,605,6358,1766
1464,0.0295690468700849,8,6358,1181,128,500,6358,0,413,373,6358,1560
2836,0.0283107895564642,8,6358,714,27,81,6358,1,403,606,0,1456
1335,0.026895250078641,10,6358,900,272,733,6358,0,557,480,0,1168
452,0.0267379679144385,16,6358,103,0,130,6358,0,20,324,0,1197
2844,0.0265806857502359,10,6358,860,33,150,6358,0,663,474,0,1103
616,0.0264234035860333,16,6358,754,121,535,6358,14,314,686,6358,1383
1916,0.0246932997798049,13,6358,482,36,200,6358,0,541,424,6358,1053
3362,0.0245360176156023,10,0,365,27,56,0,0,357,529,0,1227
1270,0.0240641711229946,13,0,513,6,21,0,0,340,479,6358,788
1271,0.0240641711229946,12,0,761,97,33,0,0,399,644,6358,1170
1242,0.0229631959735765,10,0,287,25,75,0,0,290,443,0,987
2253,0.0218622208241585,11,0,296,30,41,0,0,355,342,0,454
1340,0.0213903743315508,13,0,378,116,57,0,0,390,442,0,908
84,0.0212330921673482,18,0,511,213,306,0,0,493,616,0,983
2648,0.0210758100031456,21,0,284,32,302,0,0,386,465,0,808
2101,0.020918527838943,13,0,298,15,159,0,0,409,489,0,571
10723,0.0206039635105379,8,0,338,28,26,0,0,310,362,0,866
1123,0.0206039635105379,7,0,325,34,0,0,0,353,448,0,367
5995,0.0204466813463353,16,0,385,6,0,0,0,257,322,0,688
2832,0.0202893991821327,13,0,374,26,216,0,0,238,506,0,581
641,0.0199748348537275,15,0,358,235,1145,0,14,608,420,0,785
2442,0.0190311418685121,19,0,334,8,16,0,0,348,302,6358,890
9882,0.0190311418685121,12,0,162,12,52,0,0,184,116,0,307
3340,0.0188738597043095,13,0,182,8,5,0,0,176,168,0,456
797,0.0185592953759043,9,0,219,5,85,0,0,166,428,0,591
2857,0.0182447310474992,10,0,191,2,43,0,0,222,361,6358,602
1314,0.0177728845548914,14,0,155,12,34,0,0,139,152,0,9
1590,0.0177728845548914,9,0,268,189,1,0,0,316,336,0,482
1546,0.0174583202264863,12,0,234,112,83,0,1,513,159,0,110
1864,0.0174583202264863,9,0,203,18,30,0,0,578,427,0,56
1439,0.0174583202264863,12,0,505,100,424,0,0,580,500,0,719
3325,0.0171437558980811,13,0,121,28,235,0,1,225,386,0,495
448,0.0166719094054734,12,0,175,43,1,0,0,192,232,0,165
10953,0.0163573450770682,7,0,221,15,84,0,0,290,434,0,506
1490,0.0158854985844605,10,0,146,67,22,0,0,209,404,0,520
2445,0.0158854985844605,10,0,293,11,2,0,0,185,305,0,412
982,0.0157282164202579,7,0,179,5,39,0,0,259,268,0,666
4685,0.0157282164202579,10,0,237,4,25,0,0,232,327,0,493
3052,0.0155709342560553,12,0,133,18,127,0,0,204,313,0,562
9495,0.0155709342560553,9,0,330,117,251,0,0,228,440,0,509
874,0.0154136520918527,11,0,134,7,41,0,0,137,255,0,530
13658,0.014941805599245,14,0,173,56,12,0,2,190,179,0,274
529,0.014941805599245,11,0,265,73,17,0,0,179,385,0,421
9496,0.014941805599245,16,0,321,189,443,0,0,261,495,0,512
9976,0.014941805599245,11,0,109,49,257,0,1,226,258,0,278
2031,0.0147845234350424,10,0,99,5,47,0,0,137,341,0,648
9359,0.0147845234350424,9,0,104,5,73,0,0,64,249,0,45
3115,0.0147845234350424,11,0,163,42,1,0,0,154,223,0,58
1487,0.0146272412708398,11,0,112,30,43,0,0,92,6,0,0
2444,0.0146272412708398,9,0,223,4,27,0,0,154,89,0,42
887,0.0144699591066373,14,0,161,205,401,0,3,289,0,0,319
1485,0.0144699591066373,12,0,147,16,20,0,0,253,4,0,87
1503,0.0144699591066373,10,0,153,246,780,0,7,304,328,0,357
1070,0.0141553947782321,11,0,94,9,71,0,0,122,0,0,84
1608,0.0141553947782321,10,0,159,2,1,0,0,118,304,0,333
10111,0.0141553947782321,9,0,69,3,5,0,0,47,126,0,149
13152,0.0141553947782321,10,0,94,3,2,0,0,224,250,0,0
3045,0.0141553947782321,13,0,187,5,2,0,0,87,259,0,469
683,0.0141553947782321,12,0,180,1,27,0,0,82,289,0,261
12641,0.0139981126140295,9,0,198,8,28,0,0,88,282,0,399
1501,0.0138408304498269,17,0,151,91,529,0,10,183,1,0,28
1441,0.0136835482856244,11,0,116,61,147,0,0,189,281,0,116
3148,0.0136835482856244,14,0,77,7,81,0,0,53,215,0,0
1444,0.0133689839572192,11,0,119,9,3,0,0,118,303,0,0
8680,0.0133689839572192,13,0,127,15,18,0,0,131,0,0,14
1921,0.0132117017930166,15,0,140,21,1,0,0,99,181,0,397
9840,0.0132117017930166,12,0,129,15,140,0,0,121,224,0,449
9542,0.013054419628814,13,0,161,82,13,0,0,128,252,0,231
9973,0.0128971374646115,11,0,103,29,112,0,0,125,293,0,116
1699,0.0127398553004089,20,0,184,5,12,0,0,126,317,0,61
1591,0.0125825731362063,17,0,243,184,495,0,0,213,279,0,57
1931,0.0125825731362063,9,0,91,2,2,0,0,49,239,0,18
1104,0.0125825731362063,18,0,133,1,0,0,0,178,258,0,0
2291,0.0124252909720037,10,0,68,13,48,0,0,40,0,0,2
