,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
124,0.0550487574709028,95,6358,5844,281,1110,6358,16,2663,1080,6358,4642
70,0.0435671594841145,101,6358,5544,562,1770,6358,153,2714,1005,6358,4883
50,0.0312991506763133,119,6358,4932,832,2582,6358,19,3056,774,6358,3368
465,0.0295690468700849,125,6358,4691,562,2305,6358,206,2848,972,6358,3685
581,0.0283107895564642,109,6358,4585,196,752,6358,97,2858,878,6358,3571
192,0.026895250078641,106,6358,4553,963,2915,6358,18,2699,1483,6358,3737
20,0.0267379679144385,118,6358,861,0,162,6358,0,221,1054,6358,4046
657,0.0265806857502359,127,6358,4541,395,1255,6358,22,2933,1045,6358,3462
434,0.0264234035860333,98,6358,4659,1270,3533,6358,19,2786,2417,6358,3623
127,0.0246932997798049,97,6358,4116,232,940,6358,10,2266,1773,6358,3932
274,0.0245360176156023,130,6358,3738,123,398,6358,8,1546,3261,6358,3115
243,0.0240641711229946,130,6358,4077,68,539,6358,0,2292,1069,6358,3054
590,0.0240641711229946,117,6358,4275,156,953,6358,0,2843,568,6358,3019
451,0.0229631959735765,122,6358,3924,87,592,6358,7,2473,1536,6358,3667
665,0.0218622208241585,101,6358,3708,134,112,6358,17,2503,1348,6358,2930
227,0.0213903743315508,111,6358,3259,526,1195,6358,6,2520,1490,6358,3097
341,0.0212330921673482,121,6358,3650,605,2623,6358,122,2280,790,6358,2255
533,0.0210758100031456,118,6358,2959,102,607,6358,87,1763,2237,6358,2485
781,0.020918527838943,101,6358,3403,75,726,6358,0,2427,654,6358,3171
981,0.0206039635105379,120,6358,3210,169,244,6358,0,1831,957,6358,2500
41,0.0206039635105379,112,6358,3750,87,668,6358,0,2086,911,6358,3361
971,0.0204466813463353,106,6358,3684,125,563,6358,2,1824,1312,6358,3092
614,0.0202893991821327,102,6358,3675,182,714,6358,10,2306,818,6358,3001
934,0.0199748348537275,139,6358,3950,1602,2900,6358,173,2712,2140,6358,3247
169,0.0190311418685121,121,6358,3046,63,439,6358,0,1579,782,6358,2980
1291,0.0190311418685121,105,6358,3120,91,310,6358,15,1754,955,6358,2748
1058,0.0188738597043095,111,6358,3365,79,544,6358,8,1856,717,6358,2266
