,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
121,0.059017941454202,12,6350,3710,96,62,6350,0,667,946,6350,3061
68,0.0435945860875039,15,6350,2024,274,291,6350,0,860,751,6350,1975
40,0.039817437834435,19,6350,1980,14,18,6350,0,458,1057,6350,2112
413,0.0390305319483789,17,6350,1335,197,180,6350,1,694,782,6350,1496
443,0.0372993389990557,13,6350,2184,156,24,6350,0,474,1093,6350,1833
233,0.0346238589864652,11,6350,774,267,115,6350,3,465,654,6350,1443
35,0.0338369531004091,15,6350,464,24,109,6167,0,794,647,6350,1068
975,0.0330500472143531,23,6350,729,29,82,6350,0,561,716,0,1784
226,0.0330500472143531,15,6350,886,10,10,5140,0,519,625,6350,1223
49,0.0324205225055083,20,6350,1122,218,77,6350,0,740,846,6350,1534
429,0.0297450424929178,13,0,619,22,33,1393,0,556,94,0,1246
551,0.0283286118980169,12,0,608,39,34,0,0,711,669,0,1291
542,0.0283286118980169,16,0,394,46,26,0,0,316,550,0,843
19,0.0267548001259049,21,0,92,0,145,0,0,4,319,0,548
612,0.0265974189486937,7,0,540,45,6,0,0,681,276,0,531
265,0.0258105130626377,13,0,314,21,86,0,0,461,551,0,810
124,0.0247088448221592,11,0,397,60,0,0,0,317,484,0,333
643,0.023764557758892,17,0,400,225,320,0,0,439,410,0,525
155,0.0236071765816808,16,0,331,1,36,0,0,397,511,0,1181
449,0.0234497954044696,14,0,471,234,293,0,24,508,511,0,756
501,0.0234497954044696,18,0,319,38,96,0,0,422,513,0,950
620,0.0228202706956248,16,0,244,14,0,0,0,361,313,6350,446
869,0.0220333648095687,16,0,327,503,656,0,32,507,188,0,465
310,0.0220333648095687,15,0,174,11,94,0,0,264,574,0,502
721,0.0218759836323575,15,0,223,22,13,0,0,478,496,0,577
498,0.0217186024551463,14,0,173,29,177,0,0,238,0,0,11
911,0.0215612212779351,21,0,219,19,0,0,0,193,332,0,576
220,0.0214038401007239,8,0,201,155,22,0,2,545,240,0,312
331,0.0212464589235127,17,0,426,241,321,0,0,537,500,0,487
600,0.0212464589235127,21,0,300,10,9,0,0,326,406,0,938
507,0.0212464589235127,10,0,311,11,1,0,0,359,271,0,234
1151,0.0212464589235127,16,0,168,8,39,0,0,67,387,0,452
368,0.0209316965690903,19,0,222,9,5,0,0,218,384,0,928
1110,0.0209316965690903,16,0,172,13,0,0,0,293,16,0,355
228,0.0209316965690903,11,0,243,157,212,0,23,539,39,0,2
725,0.0209316965690903,9,0,204,15,17,0,0,512,526,0,219
178,0.0206169342146679,12,0,333,200,296,0,12,333,471,0,635
410,0.0203021718602455,16,0,200,18,5,0,0,235,57,0,113
1137,0.0203021718602455,7,0,313,16,7,0,0,264,535,0,514
977,0.0201447906830343,9,0,120,28,0,0,0,137,62,0,223
60,0.0199874095058231,13,0,142,64,27,0,2,419,258,0,324
164,0.0199874095058231,9,0,206,9,35,0,0,450,406,0,511
5,0.0195152659741894,16,0,282,5,1,0,0,218,360,0,305
1463,0.0193578847969782,12,0,144,14,143,0,0,177,190,0,275
409,0.0193578847969782,12,0,115,25,127,0,0,274,392,0,0
165,0.0190431224425558,11,0,275,2,0,0,0,141,228,0,258
75,0.0190431224425558,9,0,365,3,3,0,0,240,465,0,901
605,0.0188857412653446,15,0,151,25,56,0,2,386,19,0,154
1441,0.0185709789109222,14,0,140,43,267,0,0,133,396,0,439
395,0.0182562165564998,12,0,190,102,0,0,9,595,267,0,16
674,0.0180988353792886,14,0,105,70,0,0,0,315,366,0,2
311,0.0179414542020774,20,0,143,5,0,0,0,93,347,0,110
328,0.0177840730248662,14,0,287,97,113,0,0,253,402,0,352
65,0.017626691847655,13,0,236,10,34,0,0,226,438,0,238
1467,0.017626691847655,12,0,126,41,6,0,0,356,213,0,0
276,0.017626691847655,13,0,133,60,0,0,0,381,446,0,1
391,0.0174693106704438,20,0,125,30,0,0,0,468,253,0,0
136,0.0173119294932326,9,0,131,0,6,0,0,179,341,0,404
201,0.0171545483160214,14,0,122,47,2,0,0,408,87,0,161
525,0.0169971671388102,16,0,138,306,370,0,153,222,434,0,343
1648,0.0168397859615989,11,0,92,6,12,0,0,55,68,0,1
1302,0.0168397859615989,13,0,133,440,100,0,18,461,10,0,3
1350,0.0166824047843877,17,0,161,40,13,0,0,176,0,0,318
184,0.0166824047843877,10,0,128,129,333,0,31,255,388,0,262
189,0.0165250236071765,20,0,259,0,2,0,0,117,282,0,465
154,0.0165250236071765,9,0,237,11,3,0,0,348,180,0,305
718,0.0165250236071765,20,0,129,292,260,0,0,274,317,0,497
676,0.0165250236071765,10,0,125,85,0,0,0,472,456,0,23
34,0.0163676424299653,12,0,198,211,11,0,21,301,130,0,83
270,0.0163676424299653,12,0,99,14,20,0,0,51,349,0,33
1583,0.0162102612527541,18,0,115,25,9,0,0,257,8,0,0
506,0.0158954988983317,11,0,79,24,0,0,0,159,351,0,4
472,0.0157381177211205,18,0,233,12,3,0,0,322,259,0,356
515,0.0157381177211205,15,0,87,10,21,0,0,50,0,0,140
989,0.0157381177211205,13,0,70,5,88,0,0,167,289,0,0
448,0.0157381177211205,13,0,311,86,75,0,0,229,262,0,343
1180,0.0155807365439093,15,0,111,101,0,0,0,151,0,0,3
424,0.0155807365439093,11,0,147,24,5,0,0,199,32,0,48
1597,0.0154233553666981,19,0,121,31,24,0,3,188,228,0,316
374,0.0152659741894869,14,0,124,16,0,0,0,139,296,0,190
1404,0.0152659741894869,17,0,169,79,1,0,0,354,30,0,416
505,0.0151085930122757,12,0,212,147,90,0,64,217,372,0,305
18,0.0149512118350645,12,0,82,21,8,0,0,150,142,0,150
1100,0.0149512118350645,13,0,86,5,0,0,0,66,328,0,171
630,0.0149512118350645,10,0,93,8,7,0,0,55,5,0,168
