,count,Random,MostPopular,UserItemAvg,UserKNN,UserKNNAvg,NMF,SVD
421,0.0550487574709028,6,5357,65,65,65,65,65
424,0.0435671594841145,5,5357,60,60,60,59,60
1365,0.0312991506763133,6,5357,38,38,38,38,38
1464,0.0295690468700849,13,5357,44,43,44,44,44
2836,0.0283107895564642,8,5357,39,38,38,39,38
1335,0.026895250078641,6,5357,41,41,41,41,41
452,0.0267379679144385,10,5357,30,30,30,30,30
2844,0.0265806857502359,4,5357,28,28,28,28,28
616,0.0264234035860333,7,5357,31,31,31,31,31
1916,0.0246932997798049,7,5357,36,36,36,35,35
3362,0.0245360176156023,8,0,27,28,27,27,27
1270,0.0240641711229946,7,0,25,25,25,25,25
1271,0.0240641711229946,7,0,28,26,27,27,27
1242,0.0229631959735765,13,0,26,25,25,27,26
2253,0.0218622208241585,8,0,29,28,29,28,29
1340,0.0213903743315508,8,0,23,23,23,22,22
84,0.0212330921673482,12,0,35,35,35,35,35
2648,0.0210758100031456,5,0,33,32,32,33,32
2101,0.020918527838943,5,0,24,25,24,23,24
10723,0.0206039635105379,8,0,30,28,29,30,30
1123,0.0206039635105379,6,0,25,25,24,24,24
5995,0.0204466813463353,6,0,25,25,25,23,26
2832,0.0202893991821327,8,0,16,15,15,15,15
641,0.0199748348537275,10,0,30,30,30,29,30
2442,0.0190311418685121,8,0,26,25,26,25,24
9882,0.0190311418685121,5,0,20,19,22,21,18
3340,0.0188738597043095,6,0,17,17,17,17,17
797,0.0185592953759043,3,0,23,24,24,24,24
2857,0.0182447310474992,11,0,23,23,23,23,23
1314,0.0177728845548914,7,0,22,22,23,23,21
1590,0.0177728845548914,6,0,30,30,30,30,30
1546,0.0174583202264863,9,0,26,26,26,26,26
1864,0.0174583202264863,8,0,18,18,18,18,18
1439,0.0174583202264863,6,0,28,28,28,28,28
3325,0.0171437558980811,9,0,19,19,19,20,19
448,0.0166719094054734,10,0,27,27,27,27,27
10953,0.0163573450770682,7,0,25,25,25,25,25
1490,0.0158854985844605,12,0,25,23,23,25,23
2445,0.0158854985844605,8,0,16,17,20,17,16
982,0.0157282164202579,7,0,18,19,19,19,17
4685,0.0157282164202579,10,0,27,25,26,27,26
3052,0.0155709342560553,8,0,19,20,19,18,20
9495,0.0155709342560553,11,0,19,19,19,19,19
874,0.0154136520918527,8,0,14,15,15,15,15
13658,0.014941805599245,2,0,23,23,22,22,24
529,0.014941805599245,8,0,19,19,19,19,19
9496,0.014941805599245,5,0,18,18,18,18,18
9976,0.014941805599245,4,0,20,19,19,20,20
2031,0.0147845234350424,6,0,17,18,18,19,18
9359,0.0147845234350424,7,0,15,16,15,15,13
3115,0.0147845234350424,6,0,25,25,24,25,25
1487,0.0146272412708398,10,0,17,17,17,17,17
2444,0.0146272412708398,8,0,18,17,18,19,15
887,0.0144699591066373,8,0,18,18,18,18,18
1485,0.0144699591066373,5,0,17,16,17,16,16
1503,0.0144699591066373,13,0,17,17,17,16,16
1070,0.0141553947782321,9,0,18,18,18,19,19
1608,0.0141553947782321,4,0,18,19,19,19,18
10111,0.0141553947782321,6,0,18,19,19,19,18
13152,0.0141553947782321,14,0,19,19,19,19,19
3045,0.0141553947782321,6,0,17,18,18,18,17
683,0.0141553947782321,14,0,14,14,14,14,15
12641,0.0139981126140295,8,0,12,12,12,13,13
1501,0.0138408304498269,6,0,18,18,18,18,18
1441,0.0136835482856244,6,0,17,17,16,17,16
3148,0.0136835482856244,5,0,18,18,18,21,18
1444,0.0133689839572192,10,0,17,17,17,15,17
8680,0.0133689839572192,9,0,15,15,15,14,15
1921,0.0132117017930166,1,0,17,16,17,17,17
9840,0.0132117017930166,9,0,15,15,15,15,15
9542,0.013054419628814,6,0,9,9,9,9,9
9973,0.0128971374646115,3,0,18,18,18,18,18
1699,0.0127398553004089,7,0,24,23,23,23,24
1591,0.0125825731362063,6,0,12,12,12,12,12
1931,0.0125825731362063,5,0,18,17,18,19,18
1104,0.0125825731362063,9,0,14,14,14,15,14
2291,0.0124252909720037,4,0,14,15,15,15,15
8700,0.0122680088078011,11,0,18,21,19,20,20
2447,0.0122680088078011,6,0,21,21,21,21,21
9401,0.0122680088078011,8,0,14,15,15,13,14
8512,0.0122680088078011,9,0,12,12,12,12,13
1488,0.0122680088078011,9,0,14,15,15,15,15
8556,0.011953444479396,14,0,14,14,14,14,14
5574,0.011953444479396,2,0,11,10,11,10,11
668,0.011953444479396,10,0,15,13,13,15,15
9831,0.0117961623151934,6,0,9,9,9,8,9
3974,0.0116388801509908,4,0,12,12,12,12,12
1986,0.0116388801509908,10,0,12,12,12,12,12
1132,0.0116388801509908,12,0,9,10,11,12,9
2887,0.0116388801509908,11,0,13,13,13,13,13
1125,0.0114815979867882,8,0,20,21,21,21,21
3406,0.0114815979867882,8,0,15,16,16,16,16
9388,0.0114815979867882,7,0,14,14,14,13,14
3561,0.0113243158225857,3,0,11,11,11,11,12
12526,0.0111670336583831,9,0,12,13,13,12,12
10954,0.0111670336583831,8,0,23,23,23,23,23
1482,0.0111670336583831,12,0,17,16,16,16,16
855,0.0111670336583831,8,0,13,13,13,12,13
5600,0.0110097514941805,8,0,16,15,15,16,16
2039,0.0110097514941805,4,0,7,7,7,7,7
1372,0.0110097514941805,10,0,6,7,8,9,7
1262,0.0108524693299779,10,0,11,11,11,11,11
960,0.0108524693299779,6,0,14,13,13,14,13
6359,0.0106951871657754,6,0,19,19,19,19,19
2766,0.0106951871657754,10,0,21,21,21,21,21
4717,0.0106951871657754,8,0,10,13,12,12,11
3074,0.0106951871657754,8,0,14,14,14,13,14
1385,0.0106951871657754,4,0,12,12,12,12,12
1566,0.0106951871657754,1,0,8,8,8,8,8
172,0.0106951871657754,7,0,12,11,11,12,12
10218,0.0105379050015728,4,0,11,13,11,13,13
2831,0.0105379050015728,12,0,17,17,17,17,17
4715,0.0105379050015728,5,0,15,15,15,15,15
17446,0.0105379050015728,11,0,12,12,12,12,12
3526,0.0103806228373702,5,0,8,8,8,8,8
11165,0.0103806228373702,9,0,10,10,10,9,10
1307,0.0103806228373702,9,0,19,19,18,19,19
1863,0.0103806228373702,8,0,11,11,11,11,10
1119,0.0103806228373702,7,0,8,8,8,8,8
2888,0.0102233406731676,9,0,15,15,15,15,15
9720,0.0102233406731676,5,0,15,17,17,17,16
14197,0.0102233406731676,6,0,15,15,14,13,15
1151,0.0102233406731676,5,0,9,8,8,9,9
791,0.010066058508965,9,0,14,13,13,14,13
2918,0.010066058508965,7,0,11,12,12,12,12
2977,0.010066058508965,6,0,14,14,14,15,14
8836,0.010066058508965,4,0,12,12,12,12,12
8758,0.0099087763447625,7,0,13,13,13,13,13
2672,0.0097514941805599,8,0,6,6,6,6,6
12873,0.0097514941805599,5,0,11,13,13,13,13
1006,0.0097514941805599,7,0,10,10,10,10,10
2908,0.0097514941805599,6,0,12,12,12,12,12
9335,0.0097514941805599,8,0,4,5,4,5,4
8624,0.0095942120163573,5,0,15,15,15,15,15
8623,0.0095942120163573,9,0,8,9,9,10,8
3548,0.0095942120163573,5,0,8,8,8,8,8
796,0.0095942120163573,10,0,6,8,9,7,6
793,0.0095942120163573,10,0,11,11,11,11,11
8622,0.0095942120163573,5,0,11,11,11,11,10
1075,0.0095942120163573,5,0,7,7,7,6,7
3051,0.0095942120163573,16,0,16,16,16,16,16
9716,0.0094369298521547,6,0,11,12,12,12,11
958,0.0094369298521547,8,0,11,11,11,11,11
3048,0.0094369298521547,5,0,12,13,11,13,12
22546,0.0092796476879521,4,0,10,10,10,10,10
1933,0.0092796476879521,14,0,13,11,12,12,12
3638,0.0092796476879521,1,0,18,18,18,18,18
26244,0.0092796476879521,9,0,7,9,9,10,8
9951,0.0092796476879521,6,0,14,13,13,13,14
9352,0.0092796476879521,13,0,6,5,5,6,6
11978,0.0092796476879521,5,0,13,14,14,15,13
388,0.0092796476879521,11,0,10,9,9,10,10
790,0.0091223655237496,10,0,10,11,11,12,10
3049,0.0091223655237496,8,0,12,12,13,12,12
1673,0.0091223655237496,7,0,9,8,8,9,9
3949,0.008965083359547,11,0,18,18,18,18,18
3581,0.008965083359547,5,0,8,8,8,8,8
10212,0.008965083359547,11,0,11,11,11,11,11
969,0.008965083359547,9,0,9,9,9,10,10
1454,0.0088078011953444,9,0,12,12,11,11,13
2909,0.0088078011953444,13,0,10,8,9,9,10
1658,0.0088078011953444,6,0,13,12,12,12,12
5517,0.0086505190311418,9,0,6,6,6,6,6
3772,0.0086505190311418,11,0,14,14,14,13,12
5812,0.0086505190311418,18,0,12,12,12,12,12
8932,0.0086505190311418,6,0,12,12,12,12,10
2104,0.0086505190311418,3,0,11,11,11,11,11
9360,0.0086505190311418,6,0,18,18,18,18,18
12349,0.0086505190311418,6,0,12,12,11,12,12
12310,0.0084932368669392,13,0,11,11,11,11,11
8706,0.0084932368669392,7,0,9,9,9,9,8
2697,0.0084932368669392,6,0,11,11,11,11,11
11395,0.0084932368669392,8,0,7,7,7,6,7
11622,0.0083359547027367,7,0,16,14,13,15,15
2169,0.0083359547027367,7,0,17,17,17,17,17
10638,0.0083359547027367,4,0,13,13,13,13,13
1767,0.0083359547027367,13,0,9,9,9,9,9
6269,0.0083359547027367,8,0,15,14,14,13,15
9829,0.0083359547027367,8,0,7,6,7,7,7
2188,0.0081786725385341,6,0,6,6,6,7,6
1046,0.0081786725385341,7,0,8,8,8,8,8
3396,0.0081786725385341,6,0,7,9,7,7,7
1547,0.0081786725385341,5,0,11,11,11,11,11
17595,0.0081786725385341,6,0,12,13,14,15,13
9957,0.0081786725385341,15,0,11,11,11,11,11
9338,0.0081786725385341,8,0,14,15,15,15,15
3809,0.0081786725385341,7,0,7,7,7,7,7
869,0.0081786725385341,12,0,14,14,14,14,14
1690,0.0081786725385341,7,0,11,10,10,9,11
10615,0.0080213903743315,13,0,10,10,10,10,10
9523,0.0080213903743315,8,0,7,7,7,7,7
1042,0.0080213903743315,8,0,9,9,9,9,9
8712,0.0078641082101289,6,0,9,10,10,10,10
2674,0.0078641082101289,4,0,12,12,12,12,12
8632,0.0078641082101289,7,0,8,8,8,8,8
21752,0.0078641082101289,11,0,8,8,8,8,8
3036,0.0078641082101289,7,0,11,11,11,10,9
8879,0.0078641082101289,7,0,8,8,8,8,8
22625,0.0077068260459263,10,0,17,17,17,17,17
2315,0.0077068260459263,7,0,6,7,6,7,7
144,0.0077068260459263,14,0,9,9,9,9,9
8687,0.0077068260459263,6,0,10,10,10,10,10
11526,0.0077068260459263,8,0,10,10,10,10,10
11557,0.0077068260459263,6,0,10,10,10,10,10
3760,0.0077068260459263,6,0,9,8,8,8,9
29,0.0075495438817238,3,0,5,5,5,5,5
11646,0.0075495438817238,5,0,5,5,5,5,5
1927,0.0075495438817238,9,0,7,7,7,7,7
12770,0.0075495438817238,1,0,7,7,7,7,7
3543,0.0075495438817238,5,0,6,6,6,7,6
16444,0.0075495438817238,5,0,10,10,10,10,9
6255,0.0075495438817238,7,0,8,8,8,8,7
1256,0.0075495438817238,9,0,9,9,11,9,8
4014,0.0075495438817238,7,0,19,19,19,19,19
9013,0.0073922617175212,9,0,6,6,6,6,6
