,count,pop_count,user_hist,pop_fraq,pop_item_fraq
33656,6,0,6,0.0,0.0015213513797083201
27888,5,0,5,0.0,0.0014479068303430908
163759,5,0,5,0.0,0.00198300283286119
62150,2,0,2,0.0,0.0018885741265344666
229502,16,0,16,0.0,0.001662338684293359
163761,7,0,7,0.0,0.0012140833670578714
62303,5,0,5,0.0,0.0016367642429965378
133192,2,0,2,0.0,0.0008655964746616305
229656,5,0,5,0.0,0.0013220018885741268
50823,16,0,16,0.0,0.0011213408876298398
251642,7,0,7,0.0,0.0016862268986914879
38781,8,0,8,0.0,0.0009836323575700345
202212,6,0,6,0.0,0.0019410345189382016
165073,6,0,6,0.0,0.0014951211835064525
62688,8,0,8,0.0,0.0010819955933270382
119749,5,0,5,0.0,0.0012275731822474032
185771,8,0,8,0.0,0.001495121183506453
119248,7,0,7,0.0,0.0010567021898466656
275758,6,0,6,0.0,0.0015738117721120555
207450,6,0,6,0.0,0.001206589025285909
99322,7,0,7,0.0,0.0017761589999550338
249128,1,0,1,0.0,0.00141643059490085
148966,5,0,5,0.0,0.00113314447592068
250733,9,0,9,0.0,0.0017137061518553492
184985,5,0,5,0.0,0.0013534781240163677
148142,5,0,5,0.0,0.0018256216556499845
239788,3,0,3,0.0,0.0025180988353792886
137222,11,0,11,0.0,0.0014307379746473232
61845,7,0,7,0.0,0.0009892531138990062
77499,7,0,7,0.0,0.0014164305949008501
10532,5,0,5,0.0,0.0012275731822474032
163335,6,0,6,0.0,0.001180358829084042
257198,19,0,19,0.0,0.0009939863823865615
94997,5,0,5,0.0,0.0011960969468051623
54624,5,0,5,0.0,0.0012275731822474032
93355,6,0,6,0.0,0.0009442870632672332
79089,12,0,12,0.0,0.0013902003986989828
56985,6,0,6,0.0,0.0013639702024971147
271587,5,0,5,0.0,0.0013220018885741266
242465,5,0,5,0.0,0.0010387157695939567
128693,6,0,6,0.0,0.0013377400062952471
8695,8,0,8,0.0,0.0011213408876298394
205943,6,0,6,0.0,0.0011803588290840415
129494,5,0,5,0.0,0.00169971671388102
227295,5,0,5,0.0,0.0012590494176896445
116433,5,0,5,0.0,0.0016682404784387785
9094,6,0,6,0.0,0.0014688909873045851
6769,7,0,7,0.0,0.001956023202482126
179857,12,0,12,0.0,0.0014033154967999161
96900,4,0,4,0.0,0.0010229776518728359
6662,8,0,8,0.0,0.0013770853005980485
162219,9,0,9,0.0,0.0019585213164061135
204167,12,0,12,0.0,0.0013115098100933795
131363,5,0,5,0.0,0.0017626691847655023
6564,4,0,4,0.0,0.0014557758892036513
162610,5,0,5,0.0,0.0017626691847655023
123433,4,0,4,0.0,0.0009442870632672333
21912,5,0,5,0.0,0.0015423355366698144
123066,6,0,6,0.0,0.0013902003986989823
122883,6,0,6,0.0,0.0012590494176896443
270666,5,0,5,0.0,0.0015738117721120551
65665,4,0,4,0.0,0.0018492288322316652
168029,6,0,6,0.0,0.0008918266708634982
46293,11,0,11,0.0,0.0013305863164220103
196148,15,0,15,0.0,0.0018256216556499845
144241,5,0,5,0.0,0.0007869058860560278
171389,3,0,3,0.0,0.0012590494176896443
244452,10,0,10,0.0,0.0016210261252754172
138867,5,0,5,0.0,0.0011016682404784387
239488,5,0,5,0.0,0.00084985835694051
111816,8,0,8,0.0,0.0017705382436260624
172180,1,0,1,0.0,0.0007869058860560277
277203,6,0,6,0.0,0.0013377400062952471
182393,8,0,8,0.0,0.001396757947749449
182088,10,0,10,0.0,0.0013377400062952473
75551,9,0,9,0.0,0.0013639702024971147
143103,5,0,5,0.0,0.0008183821214982689
101517,5,0,5,0.0,0.0015108593012275733
84201,5,0,5,0.0,0.0015108593012275733
