,num_1950,num_rest,num_total,ratio_1950
276847,0,5,5,0.0
6769,0,7,7,0.0
223238,0,5,5,0.0
94843,0,5,5,0.0
25103,0,5,5,0.0
95781,0,5,5,0.0
186899,0,5,5,0.0
150894,0,5,5,0.0
150762,0,6,6,0.0
96019,0,6,6,0.0
221967,0,5,5,0.0
96900,0,5,5,0.0
93308,0,5,5,0.0
100227,0,15,15,0.0
100460,0,5,5,0.0
148863,0,9,9,0.0
188369,0,6,6,0.0
23582,0,5,5,0.0
7890,0,5,5,0.0
188484,0,6,6,0.0
219597,0,6,6,0.0
265591,0,7,7,0.0
101513,0,5,5,0.0
102130,0,5,5,0.0
218636,0,6,6,0.0
148966,0,5,5,0.0
22167,0,6,6,0.0
93241,0,7,7,0.0
185497,0,5,5,0.0
79055,0,5,5,0.0
80516,0,7,7,0.0
229496,0,6,6,0.0
28451,0,23,23,0.0
81368,0,18,18,0.0
228313,0,8,8,0.0
274199,0,12,12,0.0
228154,0,14,14,0.0
83496,0,12,12,0.0
183284,0,13,13,0.0
183537,0,7,7,0.0
93018,0,9,9,0.0
84820,0,5,5,0.0
196148,0,15,15,0.0
27573,0,5,5,0.0
87974,0,6,6,0.0
225542,0,8,8,0.0
26664,0,6,6,0.0
26615,0,6,6,0.0
91425,0,5,5,0.0
184990,0,5,5,0.0
91576,0,6,6,0.0
185450,0,7,7,0.0
92693,0,5,5,0.0
154981,0,5,5,0.0
272810,0,6,6,0.0
217444,0,5,5,0.0
105576,0,5,5,0.0
205843,0,13,13,0.0
140863,0,5,5,0.0
204455,0,5,5,0.0
140005,0,6,6,0.0
139575,0,5,5,0.0
139376,0,6,6,0.0
203213,0,5,5,0.0
202553,0,7,7,0.0
202212,0,6,6,0.0
201475,0,5,5,0.0
129474,0,5,5,0.0
205878,0,6,6,0.0
131238,0,6,6,0.0
138073,0,6,6,0.0
131437,0,8,8,0.0
194699,0,5,5,0.0
132382,0,5,5,0.0
137742,0,24,24,0.0
194877,0,6,6,0.0
133041,0,7,7,0.0
133166,0,9,9,0.0
195247,0,5,5,0.0
270629,0,6,6,0.0
12316,0,5,5,0.0
270211,0,5,5,0.0
121405,0,5,5,0.0
17596,0,6,6,0.0
120030,0,5,5,0.0
106078,0,5,5,0.0
106131,0,8,8,0.0
215942,0,6,6,0.0
108197,0,6,6,0.0
