,num_1950,num_rest,num_total,ratio_1950
276847,0,4,4,0.0
81368,0,18,18,0.0
140863,0,4,4,0.0
188369,0,4,4,0.0
226976,0,5,5,0.0
80516,0,7,7,0.0
186899,0,5,5,0.0
188484,0,5,5,0.0
142861,0,6,6,0.0
185497,0,5,5,0.0
79055,0,5,5,0.0
185450,0,7,7,0.0
270211,0,5,5,0.0
40640,0,3,3,0.0
184990,0,3,3,0.0
143103,0,5,5,0.0
228154,0,14,14,0.0
140005,0,6,6,0.0
139376,0,6,6,0.0
133166,0,9,9,0.0
267442,0,5,5,0.0
223238,0,5,5,0.0
18176,0,5,5,0.0
87974,0,6,6,0.0
17596,0,1,1,0.0
139575,0,4,4,0.0
252903,0,3,3,0.0
138073,0,3,3,0.0
138100,0,6,6,0.0
252829,0,8,8,0.0
83496,0,12,12,0.0
225542,0,8,8,0.0
38818,0,4,4,0.0
137742,0,24,24,0.0
133041,0,7,7,0.0
251149,0,5,5,0.0
77868,0,5,5,0.0
232211,0,9,9,0.0
179857,0,12,12,0.0
233867,0,7,7,0.0
248749,0,7,7,0.0
44842,0,10,10,0.0
272810,0,5,5,0.0
70878,0,5,5,0.0
7890,0,5,5,0.0
179321,0,5,5,0.0
154981,0,4,4,0.0
45119,0,7,7,0.0
6769,0,7,7,0.0
45444,0,5,5,0.0
45987,0,2,2,0.0
234901,0,5,5,0.0
228313,0,7,7,0.0
71522,0,5,5,0.0
72707,0,5,5,0.0
12316,0,5,5,0.0
270629,0,5,5,0.0
250939,0,6,6,0.0
250494,0,5,5,0.0
74571,0,5,5,0.0
183284,0,13,13,0.0
249939,0,9,9,0.0
148863,0,9,9,0.0
148966,0,5,5,0.0
230985,0,5,5,0.0
150762,0,5,5,0.0
73003,0,5,5,0.0
150894,0,5,5,0.0
250006,0,5,5,0.0
74356,0,6,6,0.0
194699,0,5,5,0.0
194877,0,6,6,0.0
36638,0,5,5,0.0
106131,0,8,8,0.0
106078,0,5,5,0.0
116428,0,7,7,0.0
105576,0,5,5,0.0
26664,0,1,1,0.0
26615,0,6,6,0.0
212088,0,5,5,0.0
117700,0,9,9,0.0
258084,0,11,11,0.0
118434,0,6,6,0.0
118528,0,6,6,0.0
118659,0,5,5,0.0
102130,0,5,5,0.0
120030,0,5,5,0.0
204455,0,5,5,0.0
203213,0,5,5,0.0
115833,0,6,6,0.0
115503,0,8,8,0.0
208410,0,3,3,0.0
28945,0,5,5,0.0
208591,0,5,5,0.0
109783,0,3,3,0.0
28451,0,20,20,0.0
112979,0,5,5,0.0
205843,0,10,10,0.0
109519,0,8,8,0.0
30319,0,6,6,0.0
108197,0,6,6,0.0
30385,0,5,5,0.0
114217,0,8,8,0.0
27573,0,1,1,0.0
205878,0,6,6,0.0
113817,0,6,6,0.0
25103,0,5,5,0.0
101513,0,5,5,0.0
121405,0,5,5,0.0
35148,0,7,7,0.0
129474,0,5,5,0.0
93308,0,5,5,0.0
93241,0,7,7,0.0
196148,0,15,15,0.0
196108,0,21,21,0.0
94843,0,5,5,0.0
92693,0,5,5,0.0
131238,0,5,5,0.0
266697,0,5,5,0.0
131437,0,8,8,0.0
91576,0,3,3,0.0
195247,0,2,2,0.0
132382,0,5,5,0.0
221967,0,5,5,0.0
219597,0,6,6,0.0
265591,0,7,7,0.0
95781,0,5,5,0.0
215942,0,5,5,0.0
202553,0,7,7,0.0
264634,0,18,18,0.0
202212,0,6,6,0.0
100460,0,5,5,0.0
100227,0,14,14,0.0
217444,0,5,5,0.0
256298,0,1,1,0.0
23582,0,5,5,0.0
33004,0,5,5,0.0
201475,0,5,5,0.0
218636,0,6,6,0.0
96900,0,4,4,0.0
22167,0,6,6,0.0
96019,0,4,4,0.0
177349,0,9,9,0.0
67079,0,1,1,0.0
260473,0,5,5,0.0
238607,0,5,5,0.0
59554,0,5,5,0.0
160200,0,6,6,0.0
238757,0,5,5,0.0
834,0,5,5,0.0
276328,0,3,3,0.0
244452,0,10,10,0.0
58792,0,8,8,0.0
173517,0,5,5,0.0
46197,0,4,4,0.0
172216,0,8,8,0.0
176656,0,5,5,0.0
243607,0,6,6,0.0
277744,0,8,8,0.0
51559,0,6,6,0.0
62582,0,8,8,0.0
172180,0,1,1,0.0
54193,0,9,9,0.0
160393,0,5,5,0.0
57124,0,6,6,0.0
66483,0,4,4,0.0
240225,0,9,9,0.0
169727,0,5,5,0.0
159283,0,2,2,0.0
167761,0,6,6,0.0
56623,0,5,5,0.0
46258,0,6,6,0.0
163759,0,5,5,0.0
274199,0,11,11,0.0
64946,0,11,11,0.0
275439,0,7,7,0.0
240272,0,5,5,0.0
59895,0,4,4,0.0
66953,0,6,6,0.0
239788,0,3,3,0.0
165073,0,6,6,0.0
56246,0,5,5,0.0
168500,0,6,6,0.0
64316,0,4,4,0.0
1261,0,5,5,0.0
