,num_USA,num_rest,num_total,ratio_USA
276847,0,4,4,0.0
268262,0,5,5,0.0
11120,0,6,6,0.0
128790,0,1,1,0.0
53628,0,7,7,0.0
129494,0,5,5,0.0
224122,0,6,6,0.0
223066,0,4,4,0.0
143103,0,5,5,0.0
142672,0,6,6,0.0
59206,0,4,4,0.0
131363,0,5,5,0.0
215942,0,5,5,0.0
103541,0,3,3,0.0
214244,0,2,2,0.0
6564,0,4,4,0.0
212088,0,5,5,0.0
184985,0,5,5,0.0
133192,0,2,2,0.0
66483,0,4,4,0.0
67079,0,1,1,0.0
4809,0,4,4,0.0
4483,0,4,4,0.0
140863,0,4,4,0.0
139575,0,4,4,0.0
72451,0,2,2,0.0
273906,0,3,3,0.0
93147,0,7,7,0.0
230985,0,5,5,0.0
145644,0,4,4,0.0
46350,0,6,6,0.0
120181,0,5,5,0.0
156534,0,3,3,0.0
252829,0,8,8,0.0
27265,0,5,5,0.0
27573,0,1,1,0.0
122045,0,6,6,0.0
117683,0,3,3,0.0
159283,0,2,2,0.0
160381,0,5,5,0.0
249128,0,1,1,0.0
30385,0,5,5,0.0
248131,0,5,5,0.0
260473,0,5,5,0.0
163335,0,6,6,0.0
124688,0,5,5,0.0
150762,0,5,5,0.0
165073,0,6,6,0.0
37168,0,7,7,0.0
166141,0,5,5,0.0
109741,0,8,8,0.0
240789,0,7,7,0.0
39396,0,7,7,0.0
148142,0,5,5,0.0
239488,0,5,5,0.0
40795,0,4,4,0.0
169600,0,7,7,0.0
171011,0,6,6,0.0
84910,0,5,5,0.0
84866,0,4,4,0.0
256298,0,1,1,0.0
199795,0,5,5,0.0
75115,0,4,4,0.0
195247,0,2,2,0.0
137803,0,6,6,0.0
194646,0,5,5,0.0
275318,0,8,8,0.0
138073,0,3,3,0.0
26145,1,11,12,0.08333333333333333
263107,1,11,12,0.08333333333333333
11916,1,10,11,0.09090909090909091
246798,1,9,10,0.1
70703,1,9,10,0.1
81249,1,8,9,0.1111111111111111
93130,1,7,8,0.125
199178,1,7,8,0.125
105476,1,7,8,0.125
185771,1,7,8,0.125
261578,1,7,8,0.125
129393,1,7,8,0.125
172216,1,7,8,0.125
150663,2,13,15,0.13333333333333333
28150,1,6,7,0.14285714285714285
94023,1,6,7,0.14285714285714285
22773,1,6,7,0.14285714285714285
114581,2,12,14,0.14285714285714285
127131,2,12,14,0.14285714285714285
78901,1,6,7,0.14285714285714285
135681,1,6,7,0.14285714285714285
22464,1,6,7,0.14285714285714285
213638,1,6,7,0.14285714285714285
95525,1,6,7,0.14285714285714285
152483,1,5,6,0.16666666666666666
83496,2,10,12,0.16666666666666666
28543,1,5,6,0.16666666666666666
219597,1,5,6,0.16666666666666666
220867,1,5,6,0.16666666666666666
28820,1,5,6,0.16666666666666666
10241,1,5,6,0.16666666666666666
114306,1,5,6,0.16666666666666666
131099,1,5,6,0.16666666666666666
209765,1,5,6,0.16666666666666666
186762,2,10,12,0.16666666666666666
138100,1,5,6,0.16666666666666666
40110,1,5,6,0.16666666666666666
243966,1,5,6,0.16666666666666666
170255,1,5,6,0.16666666666666666
111634,1,5,6,0.16666666666666666
240333,2,10,12,0.16666666666666666
242763,1,5,6,0.16666666666666666
42408,1,5,6,0.16666666666666666
243058,3,14,17,0.17647058823529413
137190,2,9,11,0.18181818181818182
266866,2,9,11,0.18181818181818182
223953,2,9,11,0.18181818181818182
245157,2,9,11,0.18181818181818182
57267,1,4,5,0.2
184684,1,4,5,0.2
265194,1,4,5,0.2
99,1,4,5,0.2
269378,2,8,10,0.2
192460,1,4,5,0.2
10199,2,8,10,0.2
21912,1,4,5,0.2
16383,1,4,5,0.2
241239,1,4,5,0.2
219353,1,4,5,0.2
76001,1,4,5,0.2
62303,1,4,5,0.2
270666,1,4,5,0.2
74571,1,4,5,0.2
160393,1,4,5,0.2
137397,1,4,5,0.2
37584,1,4,5,0.2
92693,1,4,5,0.2
184354,1,4,5,0.2
132007,1,4,5,0.2
89207,1,4,5,0.2
151846,1,4,5,0.2
138124,1,4,5,0.2
26628,1,4,5,0.2
34801,2,8,10,0.2
200585,1,4,5,0.2
188484,1,4,5,0.2
834,1,4,5,0.2
102154,1,4,5,0.2
276563,1,4,5,0.2
