,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference
258107,6,0,0,0,6,1.0,-1.0
177876,5,0,0,0,5,1.0,-1.0
178458,5,0,0,0,5,1.0,-1.0
86170,6,0,0,0,6,1.0,-1.0
179321,5,0,0,0,5,1.0,-1.0
85455,5,0,0,0,5,1.0,-1.0
180801,5,0,0,0,5,1.0,-1.0
40511,7,0,0,0,7,1.0,-1.0
262525,6,0,0,0,6,1.0,-1.0
40612,9,0,0,0,9,1.0,-1.0
83390,5,0,0,0,5,1.0,-1.0
82841,7,0,0,0,7,1.0,-1.0
183142,7,0,0,0,7,1.0,-1.0
81459,5,0,0,0,5,1.0,-1.0
6769,7,0,0,0,7,1.0,-1.0
185254,14,0,0,0,14,1.0,-1.0
41088,5,0,0,0,5,1.0,-1.0
42780,6,0,0,0,6,1.0,-1.0
42798,5,0,0,0,5,1.0,-1.0
228154,14,0,0,0,14,1.0,-1.0
44295,6,0,0,0,6,1.0,-1.0
77940,11,0,0,0,11,1.0,-1.0
44611,9,0,0,0,9,1.0,-1.0
190448,7,0,0,0,7,1.0,-1.0
177492,5,0,0,0,5,1.0,-1.0
177374,42,0,0,0,42,1.0,-1.0
177349,9,0,0,0,9,1.0,-1.0
40110,6,0,0,0,6,1.0,-1.0
168016,5,0,0,0,5,1.0,-1.0
218240,7,0,0,0,7,1.0,-1.0
94843,5,0,0,0,5,1.0,-1.0
94385,5,0,0,0,5,1.0,-1.0
94094,5,0,0,0,5,1.0,-1.0
269313,5,0,0,0,5,1.0,-1.0
170509,5,0,0,0,5,1.0,-1.0
38590,9,0,0,0,9,1.0,-1.0
170845,5,0,0,0,5,1.0,-1.0
93355,6,0,0,0,6,1.0,-1.0
93308,5,0,0,0,5,1.0,-1.0
45119,7,0,0,0,7,1.0,-1.0
171082,11,0,0,0,11,1.0,-1.0
234023,12,0,0,0,12,1.0,-1.0
174692,5,0,0,0,5,1.0,-1.0
90232,6,0,0,0,6,1.0,-1.0
89913,6,0,0,0,6,1.0,-1.0
175205,10,0,0,0,10,1.0,-1.0
5665,5,0,0,0,5,1.0,-1.0
233117,8,0,0,0,8,1.0,-1.0
176102,9,0,0,0,9,1.0,-1.0
5746,5,0,0,0,5,1.0,-1.0
88248,5,0,0,0,5,1.0,-1.0
39928,5,0,0,0,5,1.0,-1.0
173835,10,0,0,0,10,1.0,-1.0
191775,5,0,0,0,5,1.0,-1.0
45184,9,0,0,0,9,1.0,-1.0
227054,8,0,0,0,8,1.0,-1.0
63506,5,0,0,0,5,1.0,-1.0
62582,8,0,0,0,8,1.0,-1.0
207349,26,0,0,0,26,1.0,-1.0
207450,6,0,0,0,6,1.0,-1.0
222688,8,0,0,0,8,1.0,-1.0
207860,5,0,0,0,5,1.0,-1.0
208077,10,0,0,0,10,1.0,-1.0
61845,7,0,0,0,7,1.0,-1.0
61835,5,0,0,0,5,1.0,-1.0
8930,5,0,0,0,5,1.0,-1.0
208683,12,0,0,0,12,1.0,-1.0
206058,5,0,0,0,5,1.0,-1.0
60211,5,0,0,0,5,1.0,-1.0
221681,5,0,0,0,5,1.0,-1.0
221510,11,0,0,0,11,1.0,-1.0
210599,9,0,0,0,9,1.0,-1.0
210791,5,0,0,0,5,1.0,-1.0
211961,9,0,0,0,9,1.0,-1.0
53265,8,0,0,0,8,1.0,-1.0
214348,5,0,0,0,5,1.0,-1.0
219955,5,0,0,0,5,1.0,-1.0
217444,5,0,0,0,5,1.0,-1.0
53664,11,0,0,0,11,1.0,-1.0
9574,6,0,0,0,6,1.0,-1.0
51663,5,0,0,0,5,1.0,-1.0
96679,8,0,0,0,8,1.0,-1.0
50823,16,0,0,0,16,1.0,-1.0
203392,5,0,0,0,5,1.0,-1.0
257703,5,0,0,0,5,1.0,-1.0
266457,5,0,0,0,5,1.0,-1.0
226976,5,0,0,0,5,1.0,-1.0
192733,5,0,0,0,5,1.0,-1.0
11070,5,0,0,0,5,1.0,-1.0
193610,5,0,0,0,5,1.0,-1.0
45911,7,0,0,0,7,1.0,-1.0
74493,8,0,0,0,8,1.0,-1.0
46293,11,0,0,0,11,1.0,-1.0
73837,7,0,0,0,7,1.0,-1.0
194639,5,0,0,0,5,1.0,-1.0
66953,6,0,0,0,6,1.0,-1.0
47925,6,0,0,0,6,1.0,-1.0
223927,5,0,0,0,5,1.0,-1.0
223587,9,0,0,0,9,1.0,-1.0
70448,5,0,0,0,5,1.0,-1.0
199795,5,0,0,0,5,1.0,-1.0
199981,6,0,0,0,6,1.0,-1.0
200252,5,0,0,0,5,1.0,-1.0
69012,6,0,0,0,6,1.0,-1.0
49324,6,0,0,0,6,1.0,-1.0
202036,7,0,0,0,7,1.0,-1.0
223461,5,0,0,0,5,1.0,-1.0
8323,7,0,0,0,7,1.0,-1.0
195182,8,0,0,0,8,1.0,-1.0
234614,5,0,0,0,5,1.0,-1.0
169192,6,0,0,0,6,1.0,-1.0
167272,6,0,0,0,6,1.0,-1.0
246820,8,0,0,0,8,1.0,-1.0
115503,8,0,0,0,8,1.0,-1.0
27265,5,0,0,0,5,1.0,-1.0
260363,8,0,0,0,8,1.0,-1.0
114483,5,0,0,0,5,1.0,-1.0
147045,6,0,0,0,6,1.0,-1.0
28451,23,0,0,0,23,1.0,-1.0
244494,6,0,0,0,6,1.0,-1.0
113624,7,0,0,0,7,1.0,-1.0
29306,5,0,0,0,5,1.0,-1.0
244456,6,0,0,0,6,1.0,-1.0
14271,5,0,0,0,5,1.0,-1.0
112598,7,0,0,0,7,1.0,-1.0
29867,5,0,0,0,5,1.0,-1.0
148590,20,0,0,0,20,1.0,-1.0
148863,9,0,0,0,9,1.0,-1.0
243785,10,0,0,0,10,1.0,-1.0
243607,6,0,0,0,6,1.0,-1.0
150762,6,0,0,0,6,1.0,-1.0
111166,5,0,0,0,5,1.0,-1.0
150932,6,0,0,0,6,1.0,-1.0
13733,5,0,0,0,5,1.0,-1.0
96936,9,0,0,0,9,1.0,-1.0
115997,5,0,0,0,5,1.0,-1.0
249634,5,0,0,0,5,1.0,-1.0
140763,6,0,0,0,6,1.0,-1.0
119446,6,0,0,0,6,1.0,-1.0
16908,9,0,0,0,9,1.0,-1.0
127432,7,0,0,0,7,1.0,-1.0
131238,6,0,0,0,6,1.0,-1.0
127122,5,0,0,0,5,1.0,-1.0
126860,8,0,0,0,8,1.0,-1.0
254863,7,0,0,0,7,1.0,-1.0
133166,9,0,0,0,9,1.0,-1.0
