,num_USA,num_rest,num_total,ratio_USA
276847,0,5,5,0.0
115874,0,6,6,0.0
145644,0,5,5,0.0
53628,0,9,9,0.0
169600,0,7,7,0.0
169692,0,6,6,0.0
224122,0,6,6,0.0
59206,0,5,5,0.0
223066,0,5,5,0.0
171011,0,6,6,0.0
109741,0,9,9,0.0
137803,0,6,6,0.0
66483,0,6,6,0.0
215942,0,6,6,0.0
229496,0,6,6,0.0
214244,0,5,5,0.0
138073,0,6,6,0.0
212088,0,6,6,0.0
6564,0,5,5,0.0
72451,0,11,11,0.0
4809,0,5,5,0.0
143103,0,5,5,0.0
4483,0,5,5,0.0
75115,0,6,6,0.0
142672,0,6,6,0.0
103541,0,12,12,0.0
273906,0,6,6,0.0
139575,0,5,5,0.0
199795,0,5,5,0.0
67079,0,17,17,0.0
11120,0,6,6,0.0
230985,0,6,6,0.0
117683,0,5,5,0.0
129494,0,5,5,0.0
128790,0,9,9,0.0
131363,0,10,10,0.0
256298,0,6,6,0.0
27265,0,5,5,0.0
27573,0,5,5,0.0
252829,0,10,10,0.0
150762,0,6,6,0.0
156534,0,5,5,0.0
30385,0,5,5,0.0
249128,0,6,6,0.0
159283,0,5,5,0.0
133192,0,15,15,0.0
248131,0,5,5,0.0
124688,0,10,10,0.0
160381,0,5,5,0.0
37168,0,7,7,0.0
148142,0,6,6,0.0
122045,0,9,9,0.0
39396,0,8,8,0.0
163335,0,6,6,0.0
40795,0,5,5,0.0
240789,0,8,8,0.0
120181,0,5,5,0.0
239488,0,5,5,0.0
165073,0,6,6,0.0
46350,0,6,6,0.0
268262,0,5,5,0.0
166141,0,9,9,0.0
84866,0,5,5,0.0
84910,0,6,6,0.0
260473,0,5,5,0.0
194646,0,7,7,0.0
184985,0,5,5,0.0
195247,0,5,5,0.0
140863,0,5,5,0.0
93018,0,9,9,0.0
93147,0,7,7,0.0
275318,0,8,8,0.0
94023,1,13,14,0.07142857142857142
266866,2,25,27,0.07407407407407407
89207,1,12,13,0.07692307692307693
26145,1,12,13,0.07692307692307693
70703,1,12,13,0.07692307692307693
62303,1,11,12,0.08333333333333333
263107,1,11,12,0.08333333333333333
172180,1,10,11,0.09090909090909091
11916,1,10,11,0.09090909090909091
135681,1,9,10,0.1
246798,1,9,10,0.1
137190,2,16,18,0.1111111111111111
95525,1,8,9,0.1111111111111111
172216,1,8,9,0.1111111111111111
93130,1,8,9,0.1111111111111111
81249,1,8,9,0.1111111111111111
131099,1,8,9,0.1111111111111111
105476,1,7,8,0.125
208410,1,7,8,0.125
261578,1,7,8,0.125
185771,1,7,8,0.125
199178,1,7,8,0.125
129393,1,7,8,0.125
31681,1,7,8,0.125
40640,1,7,8,0.125
150663,2,13,15,0.13333333333333333
127131,2,13,15,0.13333333333333333
78901,1,6,7,0.14285714285714285
114581,2,12,14,0.14285714285714285
200585,1,6,7,0.14285714285714285
22464,1,6,7,0.14285714285714285
220867,1,6,7,0.14285714285714285
22773,1,6,7,0.14285714285714285
28150,1,6,7,0.14285714285714285
147803,1,6,7,0.14285714285714285
213638,1,6,7,0.14285714285714285
243058,3,17,20,0.15
240333,2,11,13,0.15384615384615385
114306,1,5,6,0.16666666666666666
272810,1,5,6,0.16666666666666666
152483,1,5,6,0.16666666666666666
106893,2,10,12,0.16666666666666666
10241,1,5,6,0.16666666666666666
171389,1,5,6,0.16666666666666666
209765,1,5,6,0.16666666666666666
219597,1,5,6,0.16666666666666666
138124,1,5,6,0.16666666666666666
16383,1,5,6,0.16666666666666666
111634,1,5,6,0.16666666666666666
42408,1,5,6,0.16666666666666666
