,count,pop_count,user_hist,pop_fraq,pop_item_fraq
139607,5,2,5,0.4,0.007271010387157696
88170,5,2,5,0.4,0.002895813660686182
169282,5,2,5,0.4,0.006043437204910293
244092,5,2,5,0.4,0.006924771797293045
275264,5,2,5,0.4,0.004658482845451684
88248,5,2,5,0.4,0.0035253383695310037
33270,5,2,5,0.4,0.004595530374567202
240111,5,2,5,0.4,0.003588290840415487
200607,5,2,5,0.4,0.013566257475605917
214920,5,2,5,0.4,0.0034623858986465223
200585,5,2,5,0.4,0.004752911551778408
66797,5,2,5,0.4,0.0021403840100723956
136465,5,2,5,0.4,0.004564054139124961
252627,5,2,5,0.4,0.006987724268177527
10315,5,2,5,0.4,0.002644003777148253
148157,5,2,5,0.4,0.005791627321372364
200248,5,2,5,0.4,0.004501101668240479
26628,5,2,5,0.4,0.00311614730878187
27204,5,2,5,0.4,0.0043437204910292725
67176,5,2,5,0.4,0.0037771482530689336
275228,5,2,5,0.4,0.0033050047214353167
214212,10,4,10,0.4,0.0037614101353478126
132624,5,2,5,0.4,0.009065155807365438
201521,5,2,5,0.4,0.007585772741580107
80929,5,2,5,0.4,0.006011960969468052
65208,10,4,10,0.4,0.006893295561850801
5665,5,2,5,0.4,0.0034938621340887635
34215,5,2,5,0.4,0.004973245199874096
203280,10,4,10,0.4,0.005492603084671073
45641,5,2,5,0.4,0.003934529430280139
34501,5,2,5,0.4,0.005288007554296506
230400,5,2,5,0.4,0.0026125275417060124
68465,5,2,5,0.4,0.002297765187283601
90766,5,2,5,0.4,0.0022662889518413596
152428,5,2,5,0.4,0.0024866225999370475
218836,5,2,5,0.4,0.005004721435316337
25109,5,2,5,0.4,0.014321687126219704
218976,10,4,10,0.4,0.002880075542965062
193966,5,2,5,0.4,0.004910292728989614
229899,5,2,5,0.4,0.0037456720176266916
203742,5,2,5,0.4,0.0084985835694051
219149,5,2,5,0.4,0.006861819326408561
63923,5,2,5,0.4,0.003903053194837897
148586,10,4,10,0.4,0.007853320742839153
239736,5,2,5,0.4,0.0037771482530689336
218068,20,8,20,0.4,0.007074283915643688
233143,5,2,5,0.4,0.0037771482530689336
133225,5,2,5,0.4,0.0037141957821844505
123676,5,2,5,0.4,0.00481586402266289
161385,5,2,5,0.4,0.006515580736543909
136252,30,12,30,0.4,0.005156856573287168
68000,5,2,5,0.4,0.004564054139124961
217513,5,2,5,0.4,0.006956248032735283
146641,5,2,5,0.4,0.003903053194837897
254417,5,2,5,0.4,0.004595530374567202
196085,5,2,5,0.4,0.005036197670758577
39928,5,2,5,0.4,0.008404154863078375
68309,5,2,5,0.4,0.0023292414227258423
165516,5,2,5,0.4,0.00909663204280768
64241,10,4,10,0.4,0.003383695310040919
64220,5,2,5,0.4,0.002581051306263771
203058,5,2,5,0.4,0.0037456720176266916
268262,5,2,5,0.4,0.01076487252124646
129690,15,6,15,0.4,0.005214563004931278
229448,5,2,5,0.4,0.0025810513062637713
177492,5,2,5,0.4,0.003651243311299969
241791,10,4,10,0.4,0.005272269436575385
264204,5,2,5,0.4,0.003336480956877558
107099,5,2,5,0.4,0.005539817437834435
269759,5,2,5,0.4,0.008404154863078375
121135,5,2,5,0.4,0.0022977651872836007
42458,20,8,20,0.4,0.004815864022662889
1211,5,2,5,0.4,0.01139439723009128
270754,5,2,5,0.4,0.0026754800125904947
112507,5,2,5,0.4,0.009128108278249922
74453,15,6,15,0.4,0.006284755009967475
162840,5,2,5,0.4,0.010670443814919736
158103,10,4,10,0.4,0.003903053194837897
176853,5,2,5,0.4,0.009348441926345609
272671,5,2,5,0.4,0.003619767075857728
106553,5,2,5,0.4,0.003367957192319798
49423,5,2,5,0.4,0.0026754800125904947
229011,85,34,85,0.4,0.004527023273898793
106282,5,2,5,0.4,0.006295247088448222
210627,5,2,5,0.4,0.006893295561850803
240541,5,2,5,0.4,0.007428391564368903
120985,5,2,5,0.4,0.005823103556814605
11621,5,2,5,0.4,0.004501101668240479
127438,5,2,5,0.4,0.003336480956877558
117396,5,2,5,0.4,0.005980484734025811
75013,5,2,5,0.4,0.006295247088448222
127417,5,2,5,0.4,0.004721435316336167
231613,5,2,5,0.4,0.009631728045325777
157543,5,2,5,0.4,0.003053194837897387
138849,5,2,5,0.4,0.003147623544224111
106059,10,4,10,0.4,0.0028328611898017
127384,5,2,5,0.4,0.003840100723953416
74687,5,2,5,0.4,0.003619767075857728
171078,5,2,5,0.4,0.005886056027699087
238779,10,4,10,0.4,0.00879760780610639
37426,5,2,5,0.4,0.0028013849543594583
265194,5,2,5,0.4,0.0034309096632042803
74328,5,2,5,0.4,0.010324205225055083
110076,5,2,5,0.4,0.005760151085930122
240403,35,14,35,0.4,0.00371419578218445
159834,20,8,20,0.4,0.0054060434372049096
16666,5,2,5,0.4,0.007585772741580107
123732,5,2,5,0.4,0.0032105760151085933
209458,5,2,5,0.4,0.007365439093484419
111166,5,2,5,0.4,0.006358199559332704
111888,5,2,5,0.4,0.005508341202392195
228108,5,2,5,0.4,0.0032735284859930756
228181,5,2,5,0.4,0.0056027699087189175
159863,5,2,5,0.4,0.010009442870632672
37817,5,2,5,0.4,0.004752911551778408
143427,5,2,5,0.4,0.005162102612527542
135776,10,4,10,0.4,0.003651243311299968
238400,5,2,5,0.4,0.0028643374252439405
174062,5,2,5,0.4,0.002455146364494807
174503,5,2,5,0.4,0.011016682404784388
125808,5,2,5,0.4,0.008907774630154233
208897,20,8,20,0.4,0.0030925401322001887
54578,5,2,5,0.4,0.005476864966949954
226874,5,2,5,0.4,0.010198300283286119
158361,5,2,5,0.4,0.002581051306263771
161870,5,2,5,0.4,0.006074913440352534
108700,5,2,5,0.4,0.0048788164935473725
108763,5,2,5,0.4,0.006641485678312874
72470,5,2,5,0.4,0.004910292728989613
112979,5,2,5,0.4,0.004941768964431855
1409,5,2,5,0.4,0.002644003777148253
149259,5,2,5,0.4,0.0063267233238904624
37571,5,2,5,0.4,0.003840100723953416
208877,5,2,5,0.4,0.003840100723953416
