,num_1950,num_rest,num_total,ratio_1950
106059,3,7,10,0.3
135411,3,7,10,0.3
32516,3,7,10,0.3
155778,6,14,20,0.3
118135,3,7,10,0.3
60445,3,7,10,0.3
170499,3,7,10,0.3
149231,3,7,10,0.3
129368,3,7,10,0.3
32250,3,7,10,0.3
32188,3,7,10,0.3
128276,3,7,10,0.3
263663,3,7,10,0.3
129883,3,7,10,0.3
67547,10,23,33,0.30303030303030304
170947,7,16,23,0.30434782608695654
239584,21,48,69,0.30434782608695654
258482,7,16,23,0.30434782608695654
2891,7,16,23,0.30434782608695654
180042,7,16,23,0.30434782608695654
259930,7,16,23,0.30434782608695654
240700,11,25,36,0.3055555555555556
273718,4,9,13,0.3076923076923077
59656,4,9,13,0.3076923076923077
228868,4,9,13,0.3076923076923077
140879,4,9,13,0.3076923076923077
66387,4,9,13,0.3076923076923077
139243,4,9,13,0.3076923076923077
266355,4,9,13,0.3076923076923077
107326,8,18,26,0.3076923076923077
225887,4,9,13,0.3076923076923077
249695,4,9,13,0.3076923076923077
253482,4,9,13,0.3076923076923077
244736,4,9,13,0.3076923076923077
89207,4,9,13,0.3076923076923077
37989,4,9,13,0.3076923076923077
54898,4,9,13,0.3076923076923077
127481,4,9,13,0.3076923076923077
95173,8,18,26,0.3076923076923077
113944,4,9,13,0.3076923076923077
255814,4,9,13,0.3076923076923077
55858,4,9,13,0.3076923076923077
100009,4,9,13,0.3076923076923077
158774,4,9,13,0.3076923076923077
114446,8,18,26,0.3076923076923077
170415,4,9,13,0.3076923076923077
25533,4,9,13,0.3076923076923077
121264,8,18,26,0.3076923076923077
21011,9,20,29,0.3103448275862069
224303,5,11,16,0.3125
144516,5,11,16,0.3125
255218,5,11,16,0.3125
102375,5,11,16,0.3125
142212,5,11,16,0.3125
144619,5,11,16,0.3125
148314,5,11,16,0.3125
246776,5,11,16,0.3125
263645,5,11,16,0.3125
179734,15,33,48,0.3125
162030,5,11,16,0.3125
16009,5,11,16,0.3125
120828,5,11,16,0.3125
267830,5,11,16,0.3125
99996,5,11,16,0.3125
170073,5,11,16,0.3125
62464,5,11,16,0.3125
105979,26,57,83,0.3132530120481928
144038,11,24,35,0.3142857142857143
98547,11,24,35,0.3142857142857143
35704,6,13,19,0.3157894736842105
198930,6,13,19,0.3157894736842105
188659,6,13,19,0.3157894736842105
265487,6,13,19,0.3157894736842105
247429,6,13,19,0.3157894736842105
174092,12,26,38,0.3157894736842105
246634,6,13,19,0.3157894736842105
99347,6,13,19,0.3157894736842105
263460,6,13,19,0.3157894736842105
243065,6,13,19,0.3157894736842105
10314,14,30,44,0.3181818181818182
40415,7,15,22,0.3181818181818182
91832,7,15,22,0.3181818181818182
273976,7,15,22,0.3181818181818182
49422,7,15,22,0.3181818181818182
112026,7,15,22,0.3181818181818182
78834,22,47,69,0.3188405797101449
8245,23,49,72,0.3194444444444444
6532,8,17,25,0.32
207148,8,17,25,0.32
131402,8,17,25,0.32
115002,9,19,28,0.32142857142857145
52350,10,21,31,0.3225806451612903
86202,10,21,31,0.3225806451612903
185176,11,23,34,0.3235294117647059
154345,12,25,37,0.32432432432432434
126604,12,25,37,0.32432432432432434
3827,12,25,37,0.32432432432432434
247752,12,25,37,0.32432432432432434
27647,13,27,40,0.325
228021,15,31,46,0.32608695652173914
224430,16,33,49,0.32653061224489793
22252,5,10,15,0.3333333333333333
120155,2,4,6,0.3333333333333333
207134,2,4,6,0.3333333333333333
143792,7,14,21,0.3333333333333333
72100,4,8,12,0.3333333333333333
74106,2,4,6,0.3333333333333333
192244,5,10,15,0.3333333333333333
265784,3,6,9,0.3333333333333333
30531,2,4,6,0.3333333333333333
74175,2,4,6,0.3333333333333333
117577,3,6,9,0.3333333333333333
71786,4,8,12,0.3333333333333333
18067,7,14,21,0.3333333333333333
9354,4,8,12,0.3333333333333333
219301,10,20,30,0.3333333333333333
9094,2,4,6,0.3333333333333333
219035,2,4,6,0.3333333333333333
118654,2,4,6,0.3333333333333333
142672,2,4,6,0.3333333333333333
219008,2,4,6,0.3333333333333333
143134,3,6,9,0.3333333333333333
101731,5,10,15,0.3333333333333333
