,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference
10819,17,7,0,1,25,0.68,-0.4
36638,3,1,0,1,5,0.6,-0.4
36811,3,1,0,1,5,0.6,-0.4
227327,3,1,0,1,5,0.6,-0.4
125039,26,10,0,4,40,0.65,-0.4
140863,3,1,0,1,5,0.6,-0.4
98297,6,2,0,2,10,0.6,-0.4
26628,3,1,0,1,5,0.6,-0.4
237486,7,3,0,0,10,0.7,-0.4
166409,7,3,0,0,10,0.7,-0.4
218379,3,1,0,1,5,0.6,-0.4
112672,6,2,0,2,10,0.6,-0.4
260108,3,1,0,1,5,0.6,-0.4
153283,7,3,0,0,10,0.7,-0.4
183931,3,1,0,1,5,0.6,-0.4
196085,3,1,0,1,5,0.6,-0.4
64316,3,1,0,1,5,0.6,-0.4
49683,3,1,0,1,5,0.6,-0.4
45987,2,0,0,3,5,0.4,-0.4
10532,3,1,0,1,5,0.6,-0.4
10315,3,1,0,1,5,0.6,-0.4
252827,8,2,0,5,15,0.5333333333333333,-0.4
14744,7,3,0,0,10,0.7,-0.4
26713,7,3,0,0,10,0.7,-0.4
147385,3,1,0,1,5,0.6,-0.4
103336,18,7,0,3,28,0.6428571428571429,-0.39285714285714285
30273,13,4,0,6,23,0.5652173913043478,-0.391304347826087
53241,15,6,0,2,23,0.6521739130434783,-0.391304347826087
122793,38,15,0,6,59,0.6440677966101694,-0.3898305084745763
30487,37,16,0,1,54,0.6851851851851852,-0.3888888888888889
74758,10,3,0,5,18,0.5555555555555556,-0.3888888888888889
145619,12,5,0,1,18,0.6666666666666666,-0.3888888888888889
151589,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
138777,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
210317,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
7082,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
179733,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
54453,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
256507,8,3,0,2,13,0.6153846153846154,-0.38461538461538464
237064,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
244736,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
30555,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
149120,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
225887,9,4,0,0,13,0.6923076923076923,-0.38461538461538464
56804,14,6,0,1,21,0.6666666666666666,-0.38095238095238093
78783,46,19,0,6,71,0.647887323943662,-0.38028169014084506
203240,57,24,0,6,87,0.6551724137931034,-0.3793103448275862
144318,25,11,0,1,37,0.6756756756756757,-0.3783783783783784
238630,5,2,0,1,8,0.625,-0.375
16999,5,2,0,1,8,0.625,-0.375
219593,5,2,0,1,8,0.625,-0.375
50730,10,4,0,2,16,0.625,-0.375
217056,11,5,0,0,16,0.6875,-0.375
174503,4,1,0,3,8,0.5,-0.375
170493,5,2,0,1,8,0.625,-0.375
87712,21,9,0,2,32,0.65625,-0.375
240484,5,2,0,1,8,0.625,-0.375
99032,5,2,0,1,8,0.625,-0.375
173728,4,1,0,3,8,0.5,-0.375
167517,5,2,0,1,8,0.625,-0.375
144555,16,7,0,1,24,0.6666666666666666,-0.375
43006,11,5,0,0,16,0.6875,-0.375
160548,5,2,0,1,8,0.625,-0.375
79961,5,2,0,1,8,0.625,-0.375
19842,11,5,0,0,16,0.6875,-0.375
199178,5,2,0,1,8,0.625,-0.375
210261,5,2,0,1,8,0.625,-0.375
186807,3,0,0,5,8,0.375,-0.375
201923,5,2,0,1,8,0.625,-0.375
135873,5,2,0,1,8,0.625,-0.375
67677,5,2,0,1,8,0.625,-0.375
79747,5,2,0,1,8,0.625,-0.375
55787,5,2,0,1,8,0.625,-0.375
12123,5,2,0,1,8,0.625,-0.375
8734,10,4,0,2,16,0.625,-0.375
227447,42,18,0,4,64,0.65625,-0.375
31391,24,11,0,0,35,0.6857142857142857,-0.37142857142857144
254465,61,27,1,3,92,0.6630434782608695,-0.3695652173913043
26240,13,6,0,0,19,0.6842105263157895,-0.3684210526315789
24921,13,6,0,0,19,0.6842105263157895,-0.3684210526315789
52199,19,8,0,3,30,0.6333333333333333,-0.36666666666666664
251140,26,11,0,4,41,0.6341463414634146,-0.36585365853658536
209756,27,12,0,2,41,0.6585365853658537,-0.36585365853658536
274656,7,3,0,1,11,0.6363636363636364,-0.36363636363636365
248615,6,2,0,3,11,0.5454545454545454,-0.36363636363636365
152354,7,3,0,1,11,0.6363636363636364,-0.36363636363636365
77491,7,3,0,1,11,0.6363636363636364,-0.36363636363636365
161750,6,2,0,3,11,0.5454545454545454,-0.36363636363636365
92132,7,3,0,1,11,0.6363636363636364,-0.36363636363636365
114216,7,3,0,1,11,0.6363636363636364,-0.36363636363636365
123649,7,3,0,1,11,0.6363636363636364,-0.36363636363636365
36299,21,9,0,3,33,0.6363636363636364,-0.36363636363636365
199025,7,3,0,1,11,0.6363636363636364,-0.36363636363636365
86189,34,16,0,0,50,0.68,-0.36
236757,44,20,0,3,67,0.6567164179104478,-0.3582089552238806
61854,19,9,0,0,28,0.6785714285714286,-0.35714285714285715
167678,7,2,0,5,14,0.5,-0.35714285714285715
68256,9,4,0,1,14,0.6428571428571429,-0.35714285714285715
30052,9,4,0,1,14,0.6428571428571429,-0.35714285714285715
13582,19,9,0,0,28,0.6785714285714286,-0.35714285714285715
38464,8,3,0,3,14,0.5714285714285714,-0.35714285714285715
55927,19,9,0,0,28,0.6785714285714286,-0.35714285714285715
201641,9,4,0,1,14,0.6428571428571429,-0.35714285714285715
264031,48,22,0,3,73,0.6575342465753424,-0.3561643835616438
100846,31,14,0,3,48,0.6458333333333334,-0.3541666666666667
264862,11,5,0,1,17,0.6470588235294118,-0.35294117647058826
66073,11,5,0,1,17,0.6470588235294118,-0.35294117647058826
48743,11,5,0,1,17,0.6470588235294118,-0.35294117647058826
238699,11,5,0,1,17,0.6470588235294118,-0.35294117647058826
235282,63,27,0,12,102,0.6176470588235294,-0.35294117647058826
29526,35,16,0,3,54,0.6481481481481481,-0.35185185185185186
242143,13,6,0,1,20,0.65,-0.35
151139,13,6,0,1,20,0.65,-0.35
31393,29,14,0,0,43,0.6744186046511628,-0.3488372093023256
16966,14,6,0,3,23,0.6086956521739131,-0.34782608695652173
187065,17,8,0,1,26,0.6538461538461539,-0.34615384615384615
243236,19,9,0,1,29,0.6551724137931034,-0.3448275862068966
134797,29,14,0,1,44,0.6590909090909091,-0.3409090909090909
181687,33,16,0,1,50,0.66,-0.34
83671,35,17,0,1,53,0.660377358490566,-0.33962264150943394
193350,6,3,0,0,9,0.6666666666666666,-0.3333333333333333
245281,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
149140,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
120345,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
138529,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
142680,8,4,0,0,12,0.6666666666666666,-0.3333333333333333
112199,6,3,0,0,9,0.6666666666666666,-0.3333333333333333
131202,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
112088,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
141888,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
194556,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
65837,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
110308,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
26624,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
74911,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
123215,8,4,0,0,12,0.6666666666666666,-0.3333333333333333
129084,25,12,0,2,39,0.6410256410256411,-0.3333333333333333
27317,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
13080,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
119806,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
255648,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
245346,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
204844,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
16155,5,2,0,2,9,0.5555555555555556,-0.3333333333333333
13093,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
28016,10,5,0,0,15,0.6666666666666666,-0.3333333333333333
141065,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
204790,4,2,0,0,6,0.6666666666666666,-0.3333333333333333
34600,8,4,0,0,12,0.6666666666666666,-0.3333333333333333
