,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference
70878,3,1,0,1,5,0.6,-0.4
99523,7,3,0,0,10,0.7,-0.4
227327,3,1,0,1,5,0.6,-0.4
196085,3,1,0,1,5,0.6,-0.4
151790,3,1,0,1,5,0.6,-0.4
132382,2,0,0,3,5,0.4,-0.4
60336,3,1,1,0,5,0.6,-0.4
175070,7,3,0,0,10,0.7,-0.4
174534,3,1,0,1,5,0.6,-0.4
200248,3,1,0,1,5,0.6,-0.4
208877,3,1,0,1,5,0.6,-0.4
159004,3,1,0,1,5,0.6,-0.4
166409,7,3,0,0,10,0.7,-0.4
26628,3,1,0,1,5,0.6,-0.4
26713,7,3,0,0,10,0.7,-0.4
103277,3,1,0,1,5,0.6,-0.4
73398,3,1,0,1,5,0.6,-0.4
223814,7,3,0,0,10,0.7,-0.4
225187,3,1,0,1,5,0.6,-0.4
183931,3,1,0,1,5,0.6,-0.4
230428,3,1,0,1,5,0.6,-0.4
237486,7,3,0,0,10,0.7,-0.4
182847,7,3,0,0,10,0.7,-0.4
153283,7,3,0,0,10,0.7,-0.4
131032,7,3,0,0,10,0.7,-0.4
218379,3,1,0,1,5,0.6,-0.4
145959,3,1,0,1,5,0.6,-0.4
88738,14,6,0,0,20,0.7,-0.4
114075,3,1,0,1,5,0.6,-0.4
172192,3,1,0,1,5,0.6,-0.4
176656,3,1,0,1,5,0.6,-0.4
115956,3,1,0,1,5,0.6,-0.4
129368,7,3,0,0,10,0.7,-0.4
141309,3,1,0,1,5,0.6,-0.4
241357,7,3,0,0,10,0.7,-0.4
10532,3,1,0,1,5,0.6,-0.4
12316,3,1,0,1,5,0.6,-0.4
38482,3,1,0,1,5,0.6,-0.4
143415,38,15,0,5,58,0.6551724137931034,-0.39655172413793105
251140,25,10,0,3,38,0.6578947368421053,-0.39473684210526316
193676,19,8,0,1,28,0.6785714285714286,-0.39285714285714285
30273,13,4,0,6,23,0.5652173913043478,-0.391304347826087
67198,16,7,0,0,23,0.6956521739130435,-0.391304347826087
91113,70,29,0,6,105,0.6666666666666666,-0.3904761904761905
209756,28,12,0,1,41,0.6829268292682927,-0.3902439024390244
30487,37,16,0,1,54,0.6851851851851852,-0.3888888888888889
