,num_USA,num_rest,num_total,ratio_USA
253602,5,4,9,0.5555555555555556
213708,5,4,9,0.5555555555555556
65032,5,4,9,0.5555555555555556
50749,5,4,9,0.5555555555555556
250962,19,15,34,0.5588235294117647
50225,19,15,34,0.5588235294117647
250300,14,11,25,0.56
7125,23,18,41,0.5609756097560976
201783,9,7,16,0.5625
224303,9,7,16,0.5625
162030,9,7,16,0.5625
8734,9,7,16,0.5625
170073,9,7,16,0.5625
35445,9,7,16,0.5625
164926,9,7,16,0.5625
255218,9,7,16,0.5625
59912,9,7,16,0.5625
233526,9,7,16,0.5625
222204,9,7,16,0.5625
16009,9,7,16,0.5625
138543,35,27,62,0.5645161290322581
216444,13,10,23,0.5652173913043478
80683,13,10,23,0.5652173913043478
153054,13,10,23,0.5652173913043478
276641,13,10,23,0.5652173913043478
2891,13,10,23,0.5652173913043478
36715,17,13,30,0.5666666666666667
270554,17,13,30,0.5666666666666667
266226,17,13,30,0.5666666666666667
168047,25,19,44,0.5681818181818182
56554,41,31,72,0.5694444444444444
58964,4,3,7,0.5714285714285714
71800,4,3,7,0.5714285714285714
104657,12,9,21,0.5714285714285714
96989,4,3,7,0.5714285714285714
207246,12,9,21,0.5714285714285714
143302,4,3,7,0.5714285714285714
104812,8,6,14,0.5714285714285714
88330,4,3,7,0.5714285714285714
505,4,3,7,0.5714285714285714
188583,4,3,7,0.5714285714285714
172613,4,3,7,0.5714285714285714
104550,4,3,7,0.5714285714285714
179688,4,3,7,0.5714285714285714
112512,4,3,7,0.5714285714285714
176576,4,3,7,0.5714285714285714
198781,4,3,7,0.5714285714285714
109084,4,3,7,0.5714285714285714
221732,24,18,42,0.5714285714285714
212628,8,6,14,0.5714285714285714
170742,4,3,7,0.5714285714285714
83252,4,3,7,0.5714285714285714
108563,4,3,7,0.5714285714285714
215278,8,6,14,0.5714285714285714
211176,4,3,7,0.5714285714285714
141958,12,9,21,0.5714285714285714
69252,4,3,7,0.5714285714285714
91165,4,3,7,0.5714285714285714
101035,4,3,7,0.5714285714285714
215986,16,12,28,0.5714285714285714
183958,4,3,7,0.5714285714285714
101422,4,3,7,0.5714285714285714
65946,4,3,7,0.5714285714285714
196621,4,3,7,0.5714285714285714
271503,4,3,7,0.5714285714285714
80690,4,3,7,0.5714285714285714
223253,4,3,7,0.5714285714285714
79186,4,3,7,0.5714285714285714
98547,20,15,35,0.5714285714285714
61888,4,3,7,0.5714285714285714
218721,4,3,7,0.5714285714285714
56804,12,9,21,0.5714285714285714
241861,4,3,7,0.5714285714285714
122321,4,3,7,0.5714285714285714
14049,4,3,7,0.5714285714285714
168999,4,3,7,0.5714285714285714
114089,4,3,7,0.5714285714285714
30657,4,3,7,0.5714285714285714
11993,12,9,21,0.5714285714285714
15497,4,3,7,0.5714285714285714
45064,4,3,7,0.5714285714285714
250989,4,3,7,0.5714285714285714
228579,8,6,14,0.5714285714285714
127168,4,3,7,0.5714285714285714
228245,4,3,7,0.5714285714285714
145861,4,3,7,0.5714285714285714
267061,4,3,7,0.5714285714285714
165576,4,3,7,0.5714285714285714
120548,4,3,7,0.5714285714285714
227702,12,9,21,0.5714285714285714
147686,12,9,21,0.5714285714285714
14387,8,6,14,0.5714285714285714
254467,4,3,7,0.5714285714285714
114634,4,3,7,0.5714285714285714
155376,4,3,7,0.5714285714285714
46197,4,3,7,0.5714285714285714
41596,4,3,7,0.5714285714285714
253626,4,3,7,0.5714285714285714
136313,4,3,7,0.5714285714285714
19233,4,3,7,0.5714285714285714
266650,8,6,14,0.5714285714285714
55927,16,12,28,0.5714285714285714
123143,4,3,7,0.5714285714285714
35707,4,3,7,0.5714285714285714
146421,4,3,7,0.5714285714285714
239161,4,3,7,0.5714285714285714
260678,4,3,7,0.5714285714285714
34526,4,3,7,0.5714285714285714
57920,4,3,7,0.5714285714285714
239374,4,3,7,0.5714285714285714
160378,4,3,7,0.5714285714285714
34115,4,3,7,0.5714285714285714
244761,4,3,7,0.5714285714285714
151263,4,3,7,0.5714285714285714
233867,4,3,7,0.5714285714285714
21252,8,6,14,0.5714285714285714
258160,4,3,7,0.5714285714285714
54968,4,3,7,0.5714285714285714
37712,56,42,98,0.5714285714285714
238540,4,3,7,0.5714285714285714
51627,4,3,7,0.5714285714285714
20961,4,3,7,0.5714285714285714
44837,4,3,7,0.5714285714285714
239736,4,3,7,0.5714285714285714
238057,8,6,14,0.5714285714285714
243942,8,6,14,0.5714285714285714
266331,4,3,7,0.5714285714285714
38091,4,3,7,0.5714285714285714
249150,4,3,7,0.5714285714285714
167722,4,3,7,0.5714285714285714
194600,43,32,75,0.5733333333333334
167800,19,14,33,0.5757575757575758
276050,19,14,33,0.5757575757575758
65877,11,8,19,0.5789473684210527
8019,11,8,19,0.5789473684210527
142623,11,8,19,0.5789473684210527
21484,11,8,19,0.5789473684210527
113030,11,8,19,0.5789473684210527
190831,11,8,19,0.5789473684210527
44845,11,8,19,0.5789473684210527
78834,40,29,69,0.5797101449275363
105054,18,13,31,0.5806451612903226
8066,18,13,31,0.5806451612903226
136491,25,18,43,0.5813953488372093
122429,32,23,55,0.5818181818181818
178201,14,10,24,0.5833333333333334
172119,7,5,12,0.5833333333333334
105536,7,5,12,0.5833333333333334
142680,7,5,12,0.5833333333333334
208415,7,5,12,0.5833333333333334
116301,7,5,12,0.5833333333333334
168954,21,15,36,0.5833333333333334
11629,7,5,12,0.5833333333333334
28594,7,5,12,0.5833333333333334
244359,7,5,12,0.5833333333333334
31846,14,10,24,0.5833333333333334
78778,7,5,12,0.5833333333333334
128331,7,5,12,0.5833333333333334
78440,7,5,12,0.5833333333333334
274808,14,10,24,0.5833333333333334
260067,7,5,12,0.5833333333333334
70014,7,5,12,0.5833333333333334
201036,7,5,12,0.5833333333333334
221753,7,5,12,0.5833333333333334
194669,7,5,12,0.5833333333333334
100782,7,5,12,0.5833333333333334
21011,17,12,29,0.5862068965517241
197775,10,7,17,0.5882352941176471
26057,10,7,17,0.5882352941176471
87911,10,7,17,0.5882352941176471
12100,10,7,17,0.5882352941176471
149661,10,7,17,0.5882352941176471
168816,10,7,17,0.5882352941176471
157799,10,7,17,0.5882352941176471
128325,10,7,17,0.5882352941176471
209229,10,7,17,0.5882352941176471
274325,10,7,17,0.5882352941176471
172512,13,9,22,0.5909090909090909
98723,13,9,22,0.5909090909090909
146932,13,9,22,0.5909090909090909
49212,13,9,22,0.5909090909090909
37400,13,9,22,0.5909090909090909
222050,13,9,22,0.5909090909090909
39616,13,9,22,0.5909090909090909
193458,29,20,49,0.5918367346938775
205980,16,11,27,0.5925925925925926
96448,19,13,32,0.59375
72214,19,13,32,0.59375
81492,25,17,42,0.5952380952380952
8245,43,29,72,0.5972222222222222
2977,9,6,15,0.6
203742,3,2,5,0.6
123676,3,2,5,0.6
208788,3,2,5,0.6
245203,3,2,5,0.6
35922,3,2,5,0.6
203392,3,2,5,0.6
203280,6,4,10,0.6
208251,6,4,10,0.6
122901,3,2,5,0.6
265607,6,4,10,0.6
181948,3,2,5,0.6
142398,3,2,5,0.6
80075,3,2,5,0.6
239609,3,2,5,0.6
164027,6,4,10,0.6
105874,3,2,5,0.6
208376,3,2,5,0.6
134225,3,2,5,0.6
36103,3,2,5,0.6
103251,3,2,5,0.6
242544,3,2,5,0.6
103277,3,2,5,0.6
120178,6,4,10,0.6
75762,3,2,5,0.6
206058,3,2,5,0.6
123724,3,2,5,0.6
163329,3,2,5,0.6
138867,3,2,5,0.6
179532,3,2,5,0.6
73398,3,2,5,0.6
41985,3,2,5,0.6
14271,3,2,5,0.6
40553,3,2,5,0.6
134694,3,2,5,0.6
74689,3,2,5,0.6
41403,6,4,10,0.6
163419,3,2,5,0.6
138849,3,2,5,0.6
179321,3,2,5,0.6
104796,3,2,5,0.6
41245,3,2,5,0.6
139070,6,4,10,0.6
239670,3,2,5,0.6
121135,3,2,5,0.6
242097,3,2,5,0.6
204660,3,2,5,0.6
38482,3,2,5,0.6
242962,6,4,10,0.6
208058,3,2,5,0.6
273089,3,2,5,0.6
179906,3,2,5,0.6
77039,3,2,5,0.6
76976,3,2,5,0.6
179843,3,2,5,0.6
74328,3,2,5,0.6
162590,9,6,15,0.6
242465,3,2,5,0.6
178587,3,2,5,0.6
76741,3,2,5,0.6
242310,3,2,5,0.6
169727,3,2,5,0.6
162840,3,2,5,0.6
39374,3,2,5,0.6
73363,3,2,5,0.6
75860,9,6,15,0.6
139548,3,2,5,0.6
17667,12,8,20,0.6
182088,6,4,10,0.6
154346,3,2,5,0.6
185514,3,2,5,0.6
185497,3,2,5,0.6
185384,9,6,15,0.6
254417,3,2,5,0.6
275306,6,4,10,0.6
275210,6,4,10,0.6
154487,3,2,5,0.6
262666,3,2,5,0.6
262974,6,4,10,0.6
154627,3,2,5,0.6
194027,3,2,5,0.6
96970,9,6,15,0.6
154981,3,2,5,0.6
194699,3,2,5,0.6
28360,3,2,5,0.6
88976,3,2,5,0.6
194974,3,2,5,0.6
150894,3,2,5,0.6
127359,39,26,65,0.6
127233,27,18,45,0.6
88283,24,16,40,0.6
709,3,2,5,0.6
252698,3,2,5,0.6
28709,3,2,5,0.6
254486,3,2,5,0.6
91263,3,2,5,0.6
91428,3,2,5,0.6
141047,3,2,5,0.6
276670,6,4,10,0.6
187463,3,2,5,0.6
260108,3,2,5,0.6
151780,3,2,5,0.6
151790,3,2,5,0.6
141210,3,2,5,0.6
93800,3,2,5,0.6
276328,3,2,5,0.6
186039,3,2,5,0.6
141201,3,2,5,0.6
276167,3,2,5,0.6
95261,3,2,5,0.6
127171,3,2,5,0.6
277873,3,2,5,0.6
188878,3,2,5,0.6
95353,3,2,5,0.6
258240,6,4,10,0.6
262169,3,2,5,0.6
189655,3,2,5,0.6
275761,3,2,5,0.6
154021,3,2,5,0.6
189789,3,2,5,0.6
25109,3,2,5,0.6
190480,3,2,5,0.6
255618,3,2,5,0.6
275476,3,2,5,0.6
129725,3,2,5,0.6
245371,15,10,25,0.6
140087,3,2,5,0.6
251483,3,2,5,0.6
248901,3,2,5,0.6
125396,3,2,5,0.6
99997,3,2,5,0.6
83842,3,2,5,0.6
83561,3,2,5,0.6
177262,3,2,5,0.6
125031,15,10,25,0.6
32599,12,8,20,0.6
32641,3,2,5,0.6
83110,3,2,5,0.6
32991,3,2,5,0.6
124888,3,2,5,0.6
33270,3,2,5,0.6
247129,24,16,40,0.6
182931,3,2,5,0.6
148966,3,2,5,0.6
200248,3,2,5,0.6
100610,3,2,5,0.6
33958,3,2,5,0.6
264985,3,2,5,0.6
100694,3,2,5,0.6
34501,3,2,5,0.6
246175,3,2,5,0.6
124079,6,4,10,0.6
101091,3,2,5,0.6
84201,3,2,5,0.6
198507,3,2,5,0.6
1412,3,2,5,0.6
125736,9,6,15,0.6
196187,3,2,5,0.6
127036,3,2,5,0.6
251398,3,2,5,0.6
196492,3,2,5,0.6
184270,3,2,5,0.6
156483,3,2,5,0.6
264204,3,2,5,0.6
30445,6,4,10,0.6
250494,3,2,5,0.6
132624,3,2,5,0.6
250301,3,2,5,0.6
1116,3,2,5,0.6
29101,3,2,5,0.6
250223,3,2,5,0.6
250006,3,2,5,0.6
197664,3,2,5,0.6
157543,3,2,5,0.6
85872,3,2,5,0.6
157594,3,2,5,0.6
183753,6,4,10,0.6
126232,3,2,5,0.6
183740,3,2,5,0.6
249848,3,2,5,0.6
31006,3,2,5,0.6
157811,15,10,25,0.6
158104,3,2,5,0.6
274979,3,2,5,0.6
43639,3,2,5,0.6
224209,3,2,5,0.6
117553,3,2,5,0.6
110609,3,2,5,0.6
144241,3,2,5,0.6
269759,3,2,5,0.6
7890,3,2,5,0.6
174596,21,14,35,0.6
145218,3,2,5,0.6
48382,3,2,5,0.6
166753,3,2,5,0.6
68081,3,2,5,0.6
7864,3,2,5,0.6
7860,3,2,5,0.6
68000,3,2,5,0.6
212697,3,2,5,0.6
228652,3,2,5,0.6
7809,3,2,5,0.6
228181,3,2,5,0.6
68383,6,4,10,0.6
50539,3,2,5,0.6
271833,3,2,5,0.6
221672,3,2,5,0.6
226926,6,4,10,0.6
118275,6,4,10,0.6
165987,3,2,5,0.6
12316,3,2,5,0.6
235206,3,2,5,0.6
8188,3,2,5,0.6
218714,3,2,5,0.6
227146,3,2,5,0.6
68729,3,2,5,0.6
111438,3,2,5,0.6
227327,3,2,5,0.6
174738,3,2,5,0.6
234721,12,8,20,0.6
166291,3,2,5,0.6
271176,18,12,30,0.6
60905,3,2,5,0.6
46690,3,2,5,0.6
269313,3,2,5,0.6
11718,12,8,20,0.6
231132,3,2,5,0.6
135965,3,2,5,0.6
65487,3,2,5,0.6
216260,3,2,5,0.6
167176,3,2,5,0.6
49683,3,2,5,0.6
106388,3,2,5,0.6
51082,3,2,5,0.6
231613,3,2,5,0.6
109276,3,2,5,0.6
214920,3,2,5,0.6
50098,3,2,5,0.6
167556,3,2,5,0.6
109122,3,2,5,0.6
232107,3,2,5,0.6
65238,3,2,5,0.6
6671,3,2,5,0.6
65208,6,4,10,0.6
67270,9,6,15,0.6
174179,6,4,10,0.6
52994,3,2,5,0.6
49262,3,2,5,0.6
167052,3,2,5,0.6
49313,3,2,5,0.6
115907,3,2,5,0.6
136014,3,2,5,0.6
167812,18,12,30,0.6
218379,3,2,5,0.6
64075,3,2,5,0.6
115956,3,2,5,0.6
64241,6,4,10,0.6
230030,6,4,10,0.6
230428,3,2,5,0.6
51826,3,2,5,0.6
173517,3,2,5,0.6
145959,3,2,5,0.6
272233,3,2,5,0.6
50615,3,2,5,0.6
238541,6,4,10,0.6
270715,3,2,5,0.6
13094,3,2,5,0.6
45471,3,2,5,0.6
176656,3,2,5,0.6
237397,3,2,5,0.6
60211,3,2,5,0.6
272705,3,2,5,0.6
106846,3,2,5,0.6
45305,3,2,5,0.6
55826,3,2,5,0.6
272395,3,2,5,0.6
56369,3,2,5,0.6
70222,3,2,5,0.6
270723,3,2,5,0.6
226874,3,2,5,0.6
223238,3,2,5,0.6
238779,6,4,10,0.6
223814,6,4,10,0.6
56905,3,2,5,0.6
119326,3,2,5,0.6
13279,6,4,10,0.6
60336,3,2,5,0.6
222788,3,2,5,0.6
71183,3,2,5,0.6
5746,3,2,5,0.6
46461,3,2,5,0.6
118414,3,2,5,0.6
238739,3,2,5,0.6
164906,3,2,5,0.6
