,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
226553,23,2,25,0.92,0.6,0.8,1.0,0.7,0.9,0.8,0.7,0.9,1.0,0.7,1.0
68984,23,2,25,0.92,0.7,0.8,1.0,0.7,1.0,0.8,0.8,1.0,0.8,0.7,1.0
93453,23,2,25,0.92,0.7,0.8,0.9,0.4,0.8,0.7,0.5,0.7,0.8,0.7,1.0
163804,70,6,76,0.9210526315789472,0.6,0.8,1.0,0.5,0.8,0.7,0.6,1.0,0.8,0.7,1.0
264082,47,4,51,0.9215686274509804,0.7,0.8,0.9,0.9,0.6,0.7,0.3,1.0,1.0,0.7,1.0
98904,47,4,51,0.9215686274509804,0.7,0.8,0.9,1.0,0.3,0.7,0.6,0.9,0.9,0.7,0.8
227097,12,1,13,0.9230769230769232,0.8,0.8,1.0,0.8,0.7,0.7,0.9,0.8,0.9,0.7,0.9
55027,12,1,13,0.9230769230769232,0.7,0.8,1.0,0.5,0.5,0.7,0.5,0.6,0.6,0.7,1.0
196282,12,1,13,0.9230769230769232,0.8,0.8,1.0,0.6,0.5,0.8,0.4,1.0,0.3,0.7,1.0
100648,12,1,13,0.9230769230769232,0.6,0.8,0.9,0.7,0.8,0.7,0.5,0.5,0.8,0.7,0.9
173486,12,1,13,0.9230769230769232,0.7,0.8,0.9,0.5,0.7,0.7,0.7,0.9,1.0,0.7,1.0
135376,24,2,26,0.9230769230769232,0.4,0.8,1.0,0.5,0.9,0.7,0.5,1.0,0.7,0.7,1.0
215139,12,1,13,0.9230769230769232,0.6,0.8,0.9,0.4,0.7,0.8,0.8,1.0,1.0,0.7,1.0
55607,12,1,13,0.9230769230769232,0.7,0.8,0.9,0.6,0.7,0.7,0.6,1.0,0.8,0.7,0.9
133416,24,2,26,0.9230769230769232,0.8,0.8,1.0,0.8,0.2,0.8,0.5,1.0,0.5,0.7,1.0
72575,12,1,13,0.9230769230769232,0.7,0.8,0.9,0.5,0.3,0.7,0.5,1.0,0.5,0.7,1.0
82893,24,2,26,0.9230769230769232,0.9,0.8,0.8,0.6,0.4,0.7,0.6,0.8,0.7,0.7,0.9
231897,12,1,13,0.9230769230769232,0.7,0.8,1.0,0.7,1.0,0.7,0.3,1.0,1.0,0.7,1.0
126395,12,1,13,0.9230769230769232,0.5,0.8,1.0,0.5,0.7,0.7,0.5,1.0,1.0,0.7,1.0
170415,12,1,13,0.9230769230769232,0.7,0.8,1.0,0.6,0.7,0.8,0.7,0.9,0.9,0.7,0.7
91130,12,1,13,0.9230769230769232,0.8,0.8,1.0,0.5,0.6,0.7,0.7,0.8,0.8,0.7,1.0
229331,12,1,13,0.9230769230769232,0.5,0.8,1.0,0.8,0.6,0.7,0.9,0.7,1.0,0.7,0.8
193529,24,2,26,0.9230769230769232,0.7,0.8,1.0,0.5,0.5,0.7,0.7,0.8,0.8,0.7,0.9
262040,12,1,13,0.9230769230769232,0.6,0.8,1.0,0.7,0.3,0.7,0.3,0.9,1.0,0.7,1.0
161467,12,1,13,0.9230769230769232,0.6,0.8,0.9,0.7,0.3,0.8,0.7,0.8,1.0,0.7,1.0
209373,36,3,39,0.9230769230769232,0.5,0.8,1.0,0.6,0.7,0.8,0.6,0.9,0.7,0.7,0.9
