,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
226553,23,2,25,0.92,0.75,0.77,0.85,0.52,0.79,0.76,0.62,0.81,0.92,0.75,0.99
68984,23,2,25,0.92,0.6,0.77,0.8,0.61,0.78,0.76,0.64,0.84,0.68,0.75,0.81
93453,23,2,25,0.92,0.76,0.77,0.9,0.52,0.67,0.76,0.52,0.85,0.79,0.75,0.98
163804,70,6,76,0.9210526315789472,0.62,0.77,0.88,0.53,0.77,0.76,0.53,0.89,0.84,0.75,0.98
264082,47,4,51,0.9215686274509804,0.67,0.77,0.92,0.64,0.68,0.76,0.65,0.98,0.95,0.75,0.98
98904,47,4,51,0.9215686274509804,0.69,0.77,0.87,0.75,0.59,0.76,0.56,0.91,0.77,0.75,0.84
227097,12,1,13,0.9230769230769232,0.71,0.77,0.81,0.64,0.74,0.76,0.68,0.73,0.78,0.75,0.83
55027,12,1,13,0.9230769230769232,0.62,0.77,0.82,0.52,0.74,0.76,0.57,0.83,0.83,0.75,0.94
196282,12,1,13,0.9230769230769232,0.61,0.77,0.88,0.6,0.6,0.76,0.53,0.86,0.78,0.75,0.9
100648,12,1,13,0.9230769230769232,0.66,0.77,0.73,0.56,0.54,0.76,0.56,0.69,0.82,0.75,0.76
173486,12,1,13,0.9230769230769232,0.76,0.77,0.88,0.53,0.59,0.76,0.54,0.82,0.91,0.75,0.99
135376,24,2,26,0.9230769230769232,0.69,0.77,0.95,0.51,0.58,0.76,0.59,0.91,0.85,0.75,0.98
215139,12,1,13,0.9230769230769232,0.7,0.77,0.91,0.55,0.65,0.76,0.61,0.98,0.96,0.75,0.99
55607,12,1,13,0.9230769230769232,0.69,0.77,0.84,0.49,0.69,0.76,0.58,0.89,0.77,0.75,0.91
133416,24,2,26,0.9230769230769232,0.56,0.77,0.95,0.56,0.52,0.76,0.58,0.94,0.66,0.75,0.97
72575,12,1,13,0.9230769230769232,0.75,0.77,0.8,0.48,0.56,0.76,0.59,0.87,0.69,0.75,0.97
82893,24,2,26,0.9230769230769232,0.68,0.77,0.78,0.58,0.59,0.76,0.59,0.75,0.75,0.75,0.73
231897,12,1,13,0.9230769230769232,0.62,0.77,0.92,0.65,0.82,0.76,0.55,0.96,0.88,0.75,0.97
126395,12,1,13,0.9230769230769232,0.72,0.77,0.79,0.55,0.68,0.76,0.6,0.85,0.84,0.75,0.96
170415,12,1,13,0.9230769230769232,0.7,0.77,0.77,0.6,0.61,0.77,0.58,0.78,0.76,0.75,0.67
91130,12,1,13,0.9230769230769232,0.75,0.77,0.87,0.54,0.72,0.76,0.65,0.85,0.74,0.75,0.95
229331,12,1,13,0.9230769230769232,0.76,0.77,0.83,0.62,0.59,0.76,0.63,0.8,0.8,0.75,0.84
193529,24,2,26,0.9230769230769232,0.66,0.77,0.91,0.57,0.63,0.76,0.48,0.83,0.88,0.75,0.94
262040,12,1,13,0.9230769230769232,0.73,0.77,0.83,0.61,0.56,0.76,0.59,0.92,0.78,0.75,0.98
161467,12,1,13,0.9230769230769232,0.69,0.77,0.88,0.56,0.54,0.76,0.56,0.86,0.76,0.75,0.94
209373,36,3,39,0.9230769230769232,0.73,0.77,0.78,0.58,0.6,0.76,0.48,0.84,0.76,0.75,0.85
45418,12,1,13,0.9230769230769232,0.79,0.77,0.94,0.63,0.66,0.76,0.57,0.87,0.84,0.75,0.97
69232,24,2,26,0.9230769230769232,0.73,0.77,0.9,0.52,0.59,0.76,0.61,0.88,0.71,0.75,0.97
237064,12,1,13,0.9230769230769232,0.66,0.77,0.87,0.54,0.64,0.76,0.51,0.93,0.82,0.75,0.98
54453,12,1,13,0.9230769230769232,0.66,0.77,0.8,0.48,0.59,0.76,0.64,0.81,0.64,0.75,0.79
252848,12,1,13,0.9230769230769232,0.68,0.77,0.89,0.58,0.59,0.76,0.46,0.84,0.71,0.75,0.87
152696,12,1,13,0.9230769230769232,0.64,0.77,0.94,0.57,0.71,0.76,0.57,0.95,0.84,0.75,0.98
66387,12,1,13,0.9230769230769232,0.68,0.77,0.96,0.62,0.71,0.76,0.58,0.98,0.89,0.75,0.94
253871,48,4,52,0.9230769230769232,0.7,0.77,0.83,0.58,0.67,0.76,0.62,0.75,0.84,0.75,0.94
275922,12,1,13,0.9230769230769232,0.7,0.77,0.77,0.59,0.57,0.76,0.53,0.7,0.68,0.75,0.77
178914,12,1,13,0.9230769230769232,0.77,0.77,0.85,0.77,0.65,0.76,0.61,0.87,0.72,0.75,0.89
278026,24,2,26,0.9230769230769232,0.79,0.77,0.89,0.61,0.73,0.76,0.56,0.93,0.91,0.75,0.97
