,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
268622,26,2,28,0.9285714285714286,0.4,0.8,1.0,0.3,0.6,0.8,0.8,0.6,0.9,0.8,1.0
61798,13,1,14,0.9285714285714286,0.6,0.8,0.9,0.5,0.6,0.8,0.4,0.7,0.8,0.8,1.0
235506,13,1,14,0.9285714285714286,0.9,0.8,1.0,0.7,0.5,0.8,0.5,0.3,0.8,0.8,0.7
32122,13,1,14,0.9285714285714286,0.6,0.8,0.7,0.5,0.6,0.8,0.2,0.9,0.9,0.8,0.7
8234,13,1,14,0.9285714285714286,0.8,0.8,0.9,0.8,0.7,0.8,0.3,1.0,1.0,0.8,1.0
217107,13,1,14,0.9285714285714286,0.6,0.8,1.0,0.6,0.7,0.8,1.0,1.0,0.6,0.8,0.9
238246,13,1,14,0.9285714285714286,0.9,0.8,0.9,0.5,0.6,0.8,0.6,0.9,0.9,0.8,1.0
135043,13,1,14,0.9285714285714286,0.6,0.8,1.0,0.6,0.6,0.8,0.6,0.8,0.6,0.8,1.0
147420,13,1,14,0.9285714285714286,0.7,0.8,0.9,0.7,0.6,0.8,0.4,0.5,0.7,0.8,0.8
127049,13,1,14,0.9285714285714286,0.5,0.8,0.9,0.8,0.7,0.8,0.8,1.0,0.9,0.8,0.8
11245,26,2,28,0.9285714285714286,0.6,0.8,1.0,0.5,0.6,0.8,0.6,1.0,1.0,0.8,1.0
84882,27,2,29,0.9310344827586208,0.8,0.8,1.0,0.9,0.3,0.8,0.5,1.0,0.3,0.8,1.0
110373,27,2,29,0.9310344827586208,0.7,0.8,1.0,0.6,0.6,0.8,0.7,1.0,0.9,0.8,1.0
244915,14,1,15,0.9333333333333332,0.6,0.8,1.0,0.6,0.5,0.8,0.7,1.0,1.0,0.8,1.0
239688,14,1,15,0.9333333333333332,0.9,0.8,1.0,0.3,0.8,0.8,0.3,1.0,0.9,0.8,1.0
39227,14,1,15,0.9333333333333332,0.4,0.8,1.0,0.7,0.7,0.8,0.4,1.0,0.3,0.8,1.0
195386,14,1,15,0.9333333333333332,0.7,0.8,0.9,0.6,0.5,0.8,0.7,1.0,1.0,0.8,1.0
128732,14,1,15,0.9333333333333332,1.0,0.8,0.9,0.9,0.7,0.8,0.4,1.0,0.9,0.8,1.0
163319,14,1,15,0.9333333333333332,0.6,0.8,0.7,0.5,0.6,0.8,0.4,0.9,0.6,0.8,0.8
66323,14,1,15,0.9333333333333332,0.6,0.8,0.8,0.8,0.6,0.8,0.8,0.7,0.8,0.8,1.0
3145,14,1,15,0.9333333333333332,0.8,0.8,0.9,0.7,0.6,0.8,0.7,0.9,0.4,0.8,1.0
97721,14,1,15,0.9333333333333332,0.8,0.8,1.0,0.6,0.7,0.9,0.5,0.9,1.0,0.8,1.0
178079,14,1,15,0.9333333333333332,0.9,0.8,1.0,0.5,0.6,0.8,0.4,1.0,0.7,0.8,1.0
5499,14,1,15,0.9333333333333332,0.5,0.8,1.0,0.6,0.5,0.8,0.3,1.0,0.7,0.8,1.0
37293,14,1,15,0.9333333333333332,0.9,0.8,1.0,0.8,0.6,0.8,0.7,0.8,1.0,0.8,1.0
233903,14,1,15,0.9333333333333332,0.8,0.8,0.9,0.6,0.8,0.8,0.6,0.9,0.9,0.8,1.0
34300,28,2,30,0.9333333333333332,0.8,0.8,1.0,0.6,0.7,0.8,0.6,0.5,0.7,0.8,0.8
108752,14,1,15,0.9333333333333332,0.4,0.8,0.9,0.6,0.7,0.8,0.7,0.9,0.9,0.8,1.0
212849,14,1,15,0.9333333333333332,0.7,0.8,0.7,0.5,0.6,0.8,0.4,0.7,0.7,0.8,1.0
204909,14,1,15,0.9333333333333332,0.6,0.8,1.0,0.9,0.7,0.9,0.8,0.9,0.8,0.8,0.8
67627,14,1,15,0.9333333333333332,0.7,0.8,0.8,0.4,0.5,0.8,0.5,0.8,0.7,0.8,0.9
258534,143,10,153,0.934640522875817,0.8,0.8,1.0,0.7,0.8,0.8,0.4,1.0,0.7,0.8,1.0
145369,15,1,16,0.9375,0.7,0.8,1.0,0.6,0.7,0.8,0.6,0.9,1.0,0.8,1.0
59189,15,1,16,0.9375,0.8,0.8,1.0,0.7,0.5,0.8,0.4,1.0,0.8,0.8,1.0
142212,15,1,16,0.9375,0.9,0.8,1.0,0.8,0.8,0.8,0.4,0.9,1.0,0.8,1.0
144619,15,1,16,0.9375,0.6,0.8,0.9,0.7,0.7,0.8,0.7,1.0,1.0,0.8,1.0
87949,15,1,16,0.9375,0.9,0.8,0.9,0.8,0.5,0.8,0.5,1.0,0.9,0.8,1.0
22045,15,1,16,0.9375,0.6,0.8,1.0,0.6,0.5,0.8,0.5,1.0,0.8,0.8,1.0
227025,15,1,16,0.9375,0.5,0.8,1.0,0.5,0.7,0.8,0.5,0.4,0.7,0.8,0.9
251242,15,1,16,0.9375,0.8,0.8,1.0,0.6,0.7,0.8,0.6,1.0,0.6,0.8,1.0
79009,15,1,16,0.9375,0.9,0.8,1.0,0.7,0.7,0.8,0.9,1.0,0.9,0.8,1.0
65663,15,1,16,0.9375,0.8,0.8,1.0,0.9,0.6,0.8,0.8,0.8,0.9,0.8,1.0
136255,15,1,16,0.9375,0.8,0.8,1.0,0.7,0.6,0.8,0.6,1.0,0.9,0.8,1.0
183187,15,1,16,0.9375,0.5,0.8,0.9,0.6,0.8,0.8,0.7,0.9,0.6,0.8,1.0
126903,15,1,16,0.9375,0.7,0.8,1.0,0.6,0.6,0.8,0.9,1.0,0.9,0.8,0.9
253821,15,1,16,0.9375,1.0,0.8,0.9,0.7,0.7,0.8,0.7,0.8,1.0,0.8,1.0
148314,15,1,16,0.9375,0.8,0.8,1.0,0.6,0.6,0.9,0.5,0.6,0.9,0.8,0.8
156214,30,2,32,0.9375,0.8,0.8,1.0,0.7,0.7,0.8,0.9,0.9,0.7,0.8,1.0
200422,15,1,16,0.9375,0.8,0.8,0.9,0.6,0.5,0.8,0.4,1.0,1.0,0.8,1.0
221655,15,1,16,0.9375,0.7,0.8,1.0,0.7,0.8,0.8,0.6,0.8,1.0,0.8,0.7
49771,15,1,16,0.9375,0.6,0.8,1.0,0.6,0.8,0.8,0.8,1.0,0.7,0.8,1.0
248468,15,1,16,0.9375,0.7,0.8,1.0,0.7,0.5,0.8,0.6,0.7,0.7,0.8,1.0
229502,15,1,16,0.9375,0.8,0.8,1.0,0.7,0.6,0.8,0.6,1.0,0.9,0.8,1.0
57976,15,1,16,0.9375,0.7,0.8,0.8,0.6,0.6,0.8,0.4,1.0,1.0,0.8,1.0
33283,15,1,16,0.9375,0.6,0.8,1.0,0.7,0.6,0.8,0.6,1.0,1.0,0.8,1.0
167349,15,1,16,0.9375,0.7,0.8,1.0,0.6,0.8,0.8,0.6,1.0,0.9,0.8,1.0
115692,31,2,33,0.9393939393939394,0.7,0.8,1.0,0.6,0.7,0.8,0.6,0.9,1.0,0.8,1.0
126492,93,6,99,0.9393939393939394,0.7,0.8,1.0,0.5,0.7,0.9,0.6,1.0,0.2,0.8,1.0
245650,31,2,33,0.9393939393939394,0.7,0.8,1.0,0.6,0.7,0.8,0.6,1.0,0.6,0.8,1.0
