,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
258107,6,0,0,0,6,1.0,-1.0,0.0,-0.5,-0.8,0.3,0.0,-0.5,0.2,-0.2,0.2,-0.4,-0.8
177876,5,0,0,0,5,1.0,-1.0,-0.3,-0.5,-0.8,0.1,-0.3,-0.5,0.2,-1.0,-0.6,-0.4,-1.0
178458,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-1.0,0.5,-0.3,-0.5,0.5,0.0,0.2,-0.4,-0.8
86170,6,0,0,0,6,1.0,-1.0,-0.1,-0.5,-0.6,0.1,0.4,-0.5,0.6,-0.8,0.1,-0.4,-0.2
179321,5,0,0,0,5,1.0,-1.0,0.3,-0.5,-0.9,-0.2,-0.2,-0.5,0.1,-0.8,0.0,-0.4,-0.8
85455,5,0,0,0,5,1.0,-1.0,0.3,-0.5,-0.6,0.4,0.4,-0.5,0.3,-0.8,0.0,-0.4,0.2
180801,5,0,0,0,5,1.0,-1.0,0.1,-0.5,-1.0,0.5,-0.8,-0.5,-0.3,-0.7,-1.0,-0.4,-1.0
40511,7,0,0,0,7,1.0,-1.0,-0.4,-0.5,-0.8,0.2,-0.4,-0.5,0.1,-0.9,-0.6,-0.4,-1.0
262525,6,0,0,0,6,1.0,-1.0,0.1,-0.5,-0.8,0.2,-0.4,-0.5,0.6,-0.2,0.0,-0.4,-0.5
40612,9,0,0,0,9,1.0,-1.0,-0.4,-0.5,-0.7,-0.1,-0.2,-0.5,0.3,-0.8,0.0,-0.4,-0.4
83390,5,0,0,0,5,1.0,-1.0,0.3,-0.5,-0.1,0.0,0.2,-0.5,0.3,-0.2,0.1,-0.4,0.6
82841,7,0,0,0,7,1.0,-1.0,0.1,-0.5,-0.8,0.3,-0.2,-0.5,0.2,-0.7,0.2,-0.4,-1.0
183142,7,0,0,0,7,1.0,-1.0,0.0,-0.5,-0.8,0.4,-0.1,-0.5,0.7,-1.0,-0.6,-0.4,0.0
81459,5,0,0,0,5,1.0,-1.0,0.4,-0.5,-1.0,0.2,-0.6,-0.5,0.1,-1.0,0.0,-0.4,-0.8
6769,7,0,0,0,7,1.0,-1.0,-0.1,-0.5,-0.8,0.2,-0.2,-0.5,0.4,-0.6,0.0,-0.4,-0.2
185254,14,0,0,0,14,1.0,-1.0,-0.2,-0.5,-1.0,0.3,0.3,-0.5,0.7,-1.0,-1.0,-0.4,-1.0
41088,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-0.8,0.2,-0.4,-0.5,0.0,-1.0,0.0,-0.4,-1.0
42780,6,0,0,0,6,1.0,-1.0,-0.1,-0.5,-1.0,0.2,0.1,-0.5,0.6,-0.4,0.1,-0.4,0.2
42798,5,0,0,0,5,1.0,-1.0,0.8,-0.5,-0.6,0.2,0.4,-0.5,0.0,-0.4,-0.1,-0.4,-0.2
228154,14,0,0,0,14,1.0,-1.0,0.0,-0.5,-1.0,0.0,0.0,-0.5,0.2,-1.0,-0.8,-0.4,-1.0
44295,6,0,0,0,6,1.0,-1.0,-0.3,-0.5,-1.0,0.2,0.4,-0.5,0.3,-1.0,-0.2,-0.4,0.4
77940,11,0,0,0,11,1.0,-1.0,0.0,-0.5,-1.0,0.3,0.3,-0.5,0.5,-1.0,0.0,-0.4,-0.9
44611,9,0,0,0,9,1.0,-1.0,-0.2,-0.5,-1.0,0.1,-0.7,-0.5,0.4,-0.5,-0.6,-0.4,-0.2
190448,7,0,0,0,7,1.0,-1.0,0.2,-0.5,-0.6,0.2,-0.5,-0.5,0.0,-0.3,-0.6,-0.4,-0.8
177492,5,0,0,0,5,1.0,-1.0,-0.3,-0.5,-0.8,0.2,-0.5,-0.5,0.5,-0.6,0.4,-0.4,-0.8
177374,42,0,0,0,42,1.0,-1.0,0.2,-0.5,-1.0,0.0,0.3,-0.5,0.1,-1.0,-1.0,-0.4,-1.0
177349,9,0,0,0,9,1.0,-1.0,0.2,-0.5,-1.0,0.2,0.5,-0.5,0.0,-1.0,-1.0,-0.4,-1.0
40110,6,0,0,0,6,1.0,-1.0,0.4,-0.5,-0.9,0.3,-0.5,-0.5,0.3,-0.6,-0.4,-0.4,-0.4
168016,5,0,0,0,5,1.0,-1.0,-0.5,-0.5,-0.2,0.2,-0.5,-0.5,-0.3,-0.4,0.4,-0.4,-0.8
218240,7,0,0,0,7,1.0,-1.0,-0.3,-0.5,-1.0,0.2,-0.2,-0.5,0.0,-1.0,-0.4,-0.4,-1.0
94843,5,0,0,0,5,1.0,-1.0,0.4,-0.5,-1.0,0.2,-0.5,-0.5,0.1,-1.0,0.4,-0.4,-0.4
94385,5,0,0,0,5,1.0,-1.0,-0.4,-0.5,-0.8,0.2,0.0,-0.5,0.7,-0.3,-0.1,-0.4,0.0
94094,5,0,0,0,5,1.0,-1.0,0.2,-0.5,-0.6,0.2,0.2,-0.5,0.5,0.4,-0.2,-0.4,-0.4
269313,5,0,0,0,5,1.0,-1.0,-0.3,-0.5,-0.7,0.0,-0.3,-0.5,-0.1,-0.6,0.0,-0.4,-0.6
170509,5,0,0,0,5,1.0,-1.0,0.1,-0.5,0.2,0.2,0.2,-0.5,0.3,0.4,0.3,-0.4,-0.2
38590,9,0,0,0,9,1.0,-1.0,0.5,-0.5,-1.0,0.2,-0.5,-0.5,0.3,-0.9,0.4,-0.4,0.4
170845,5,0,0,0,5,1.0,-1.0,0.3,-0.5,-0.9,0.3,-0.3,-0.5,-0.3,-0.8,0.0,-0.4,-0.4
93355,6,0,0,0,6,1.0,-1.0,0.0,-0.5,-1.0,0.2,0.0,-0.5,0.3,-1.0,0.0,-0.4,-1.0
93308,5,0,0,0,5,1.0,-1.0,-0.2,-0.5,-1.0,0.5,0.1,-0.5,0.3,-0.7,-0.6,-0.4,-1.0
45119,7,0,0,0,7,1.0,-1.0,0.4,-0.5,-1.0,0.2,0.1,-0.5,0.3,-1.0,-0.8,-0.4,-1.0
171082,11,0,0,0,11,1.0,-1.0,-0.4,-0.5,-1.0,0.1,-0.3,-0.5,0.4,-1.0,-1.0,-0.4,-1.0
234023,12,0,0,0,12,1.0,-1.0,1.0,-0.5,-1.0,0.0,0.6,-0.5,0.8,-0.8,-1.0,-0.4,-0.2
174692,5,0,0,0,5,1.0,-1.0,0.2,-0.5,-0.8,0.3,-0.5,-0.5,0.2,-0.4,0.2,-0.4,0.4
90232,6,0,0,0,6,1.0,-1.0,-0.1,-0.5,-1.0,0.3,0.4,-0.5,0.5,-0.3,-0.1,-0.4,0.4
89913,6,0,0,0,6,1.0,-1.0,-0.6,-0.5,-0.6,0.2,-0.3,-0.5,0.1,-0.2,-0.7,-0.4,-0.6
175205,10,0,0,0,10,1.0,-1.0,0.3,-0.5,-1.0,0.2,0.1,-0.5,0.5,-1.0,-0.4,-0.4,-1.0
5665,5,0,0,0,5,1.0,-1.0,0.2,-0.5,-0.8,0.3,-0.2,-0.5,0.0,-1.0,0.0,-0.4,-1.0
233117,8,0,0,0,8,1.0,-1.0,0.4,-0.5,-0.7,0.2,-0.6,-0.5,0.8,-0.6,0.1,-0.4,0.4
176102,9,0,0,0,9,1.0,-1.0,-0.2,-0.5,-1.0,0.5,0.0,-0.5,0.0,-0.2,-0.2,-0.4,-0.2
5746,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-0.9,0.4,0.3,-0.5,-0.5,0.0,0.3,-0.4,0.2
88248,5,0,0,0,5,1.0,-1.0,-0.4,-0.5,-0.8,0.0,-0.2,-0.5,-0.3,-0.4,0.0,-0.4,-0.6
39928,5,0,0,0,5,1.0,-1.0,0.1,-0.5,-0.8,0.2,-0.3,-0.5,0.2,-0.8,0.2,-0.4,-0.5
173835,10,0,0,0,10,1.0,-1.0,-0.3,-0.5,-1.0,0.2,0.3,-0.5,0.0,-0.2,-0.6,-0.4,-0.8
191775,5,0,0,0,5,1.0,-1.0,0.3,-0.5,-0.8,0.2,0.2,-0.5,0.3,-0.4,0.0,-0.4,0.6
45184,9,0,0,0,9,1.0,-1.0,0.1,-0.5,-1.0,0.2,-0.5,-0.5,0.2,-0.4,-0.2,-0.4,-0.8
227054,8,0,0,0,8,1.0,-1.0,0.0,-0.5,-1.0,0.0,0.0,-0.5,0.0,-1.0,-0.2,-0.4,0.8
63506,5,0,0,0,5,1.0,-1.0,-0.5,-0.5,-0.6,0.0,0.8,-0.5,0.0,0.1,0.2,-0.4,0.2
62582,8,0,0,0,8,1.0,-1.0,-0.2,-0.5,-1.0,0.1,0.1,-0.5,0.6,-1.0,0.0,-0.4,-1.0
207349,26,0,0,0,26,1.0,-1.0,-0.7,-0.5,-1.0,0.6,0.3,-0.5,0.2,-1.0,-0.4,-0.4,-1.0
207450,6,0,0,0,6,1.0,-1.0,0.2,-0.5,-0.8,0.0,0.3,-0.5,0.4,-0.9,0.0,-0.4,-1.0
222688,8,0,0,0,8,1.0,-1.0,0.0,-0.5,-1.0,0.2,0.1,-0.5,0.0,-1.0,-0.7,-0.4,-1.0
207860,5,0,0,0,5,1.0,-1.0,0.4,-0.5,-1.0,0.2,0.3,-0.5,0.7,-1.0,-1.0,-0.4,-1.0
208077,10,0,0,0,10,1.0,-1.0,0.1,-0.5,-0.6,0.2,-0.5,-0.5,0.3,-0.4,-0.8,-0.4,-1.0
61845,7,0,0,0,7,1.0,-1.0,0.7,-0.5,-1.0,0.4,-0.5,-0.5,0.4,-0.8,1.0,-0.4,-1.0
61835,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-0.6,0.4,-0.3,-0.5,-0.4,-0.4,0.2,-0.4,-0.4
8930,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-1.0,0.3,0.2,-0.5,0.4,-0.8,0.4,-0.4,-0.4
208683,12,0,0,0,12,1.0,-1.0,0.0,-0.5,-1.0,-0.1,-0.1,-0.5,0.7,-1.0,-0.2,-0.4,0.4
206058,5,0,0,0,5,1.0,-1.0,-0.8,-0.5,-0.2,-0.1,0.9,-0.5,0.0,0.2,0.2,-0.4,0.2
60211,5,0,0,0,5,1.0,-1.0,0.2,-0.5,-0.4,0.0,0.2,-0.5,0.2,0.2,-0.2,-0.4,-0.4
221681,5,0,0,0,5,1.0,-1.0,0.2,-0.5,-1.0,0.2,0.5,-0.5,0.2,-0.8,1.0,-0.4,0.8
221510,11,0,0,0,11,1.0,-1.0,0.7,-0.5,-1.0,0.3,0.0,-0.5,0.0,-1.0,-0.8,-0.4,-1.0
210599,9,0,0,0,9,1.0,-1.0,0.0,-0.5,-0.8,0.4,0.5,-0.5,-0.2,-0.6,0.4,-0.4,0.6
210791,5,0,0,0,5,1.0,-1.0,0.1,-0.5,-0.7,0.0,-0.4,-0.5,0.0,0.0,0.6,-0.4,0.8
211961,9,0,0,0,9,1.0,-1.0,-0.2,-0.5,-1.0,0.2,0.6,-0.5,-0.2,-0.4,-0.4,-0.4,0.0
53265,8,0,0,0,8,1.0,-1.0,-0.4,-0.5,-1.0,0.3,0.3,-0.5,0.5,-1.0,0.3,-0.4,-0.2
214348,5,0,0,0,5,1.0,-1.0,-0.1,-0.5,-1.0,0.2,0.4,-0.5,0.3,-1.0,0.2,-0.4,-1.0
219955,5,0,0,0,5,1.0,-1.0,-0.4,-0.5,-1.0,0.2,0.2,-0.5,0.1,-1.0,-0.8,-0.4,-0.8
