,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
10819,17,7,0,1,25,0.68,-0.4,0.13,0.09,0.06,0.22,0.18,0.07,0.09,0.15,-0.06,0.08,-0.08
36638,3,1,0,1,5,0.6,-0.4,-0.07,0.09,-0.35,0.21,0.24,0.07,0.19,-0.1,-0.11,0.08,-0.3
36811,3,1,0,1,5,0.6,-0.4,-0.04,0.09,-0.34,0.3,0.13,0.07,0.21,0.05,0.11,0.08,0.05
227327,3,1,0,1,5,0.6,-0.4,-0.15,0.09,-0.02,0.17,0.01,0.07,0.21,-0.1,-0.16,0.08,-0.1
125039,26,10,0,4,40,0.65,-0.4,-0.12,0.09,-0.16,0.05,0.11,0.07,0.32,-0.19,0.23,0.08,0.16
140863,3,1,0,1,5,0.6,-0.4,0.03,0.09,-0.13,0.3,0.16,0.07,0.18,0.12,0.28,0.08,0.22
98297,6,2,0,2,10,0.6,-0.4,-0.11,0.09,-0.22,0.12,-0.03,0.07,0.07,0.02,-0.36,0.08,0.33
26628,3,1,0,1,5,0.6,-0.4,0.0,0.09,-0.16,0.24,0.18,0.07,0.12,-0.16,0.28,0.08,-0.35
237486,7,3,0,0,10,0.7,-0.4,-0.21,0.09,-0.19,0.28,0.09,0.07,0.29,-0.23,-0.1,0.08,-0.14
166409,7,3,0,0,10,0.7,-0.4,0.22,0.09,-0.09,0.18,0.09,0.07,0.22,0.15,0.07,0.08,-0.1
218379,3,1,0,1,5,0.6,-0.4,-0.07,0.09,-0.18,0.1,-0.11,0.07,0.21,-0.33,0.1,0.08,-0.12
112672,6,2,0,2,10,0.6,-0.4,-0.07,0.09,-0.09,0.23,-0.03,0.07,0.21,-0.08,0.03,0.08,-0.42
260108,3,1,0,1,5,0.6,-0.4,-0.14,0.09,-0.22,0.17,0.26,0.07,0.04,-0.18,-0.2,0.08,-0.16
153283,7,3,0,0,10,0.7,-0.4,-0.1,0.09,-0.08,0.2,0.1,0.07,0.28,-0.04,-0.32,0.08,-0.11
183931,3,1,0,1,5,0.6,-0.4,0.03,0.09,-0.1,0.14,-0.09,0.07,0.26,-0.38,-0.39,0.08,-0.36
196085,3,1,0,1,5,0.6,-0.4,0.0,0.09,-0.27,0.12,0.25,0.07,0.26,-0.58,-0.05,0.08,-0.63
64316,3,1,0,1,5,0.6,-0.4,-0.1,0.09,-0.09,0.21,0.08,0.07,0.03,-0.08,0.11,0.08,0.19
49683,3,1,0,1,5,0.6,-0.4,-0.04,0.09,0.2,0.25,0.19,0.07,0.23,0.14,0.23,0.08,0.07
45987,2,0,0,3,5,0.4,-0.4,0.04,0.09,0.02,0.24,0.16,0.07,0.19,-0.09,0.16,0.08,-0.16
10532,3,1,0,1,5,0.6,-0.4,-0.18,0.09,-0.17,0.1,0.1,0.07,0.18,0.01,0.54,0.08,-0.76
10315,3,1,0,1,5,0.6,-0.4,-0.07,0.09,0.02,0.25,0.24,0.07,0.21,0.04,-0.03,0.08,0.25
252827,8,2,0,5,15,0.5333333333333333,-0.4,-0.1,0.09,0.04,0.25,0.18,0.07,0.23,0.24,0.36,0.08,0.11
14744,7,3,0,0,10,0.7,-0.4,-0.16,0.09,0.19,0.2,0.02,0.07,0.18,0.63,-0.03,0.08,-0.31
26713,7,3,0,0,10,0.7,-0.4,0.06,0.09,-0.22,0.31,0.3,0.07,0.24,0.05,-0.24,0.08,0.23
147385,3,1,0,1,5,0.6,-0.4,0.1,0.09,0.12,0.15,0.34,0.07,0.25,0.04,0.06,0.08,-0.14
