,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
70878,3,1,0,1,5,0.6,-0.4,0.2,-0.4,-0.8,-0.2,0.4,-0.4,0.3,0.3,0.0,-0.4,-0.6
99523,7,3,0,0,10,0.7,-0.4,0.0,-0.4,-0.2,0.2,0.2,-0.4,0.4,0.4,-0.2,-0.4,-0.4
227327,3,1,0,1,5,0.6,-0.4,-0.2,-0.4,0.0,0.3,0.2,-0.4,0.6,-0.2,-0.2,-0.4,-0.4
196085,3,1,0,1,5,0.6,-0.4,0.5,-0.4,-0.4,0.4,0.2,-0.2,0.4,-0.4,0.4,-0.4,0.8
151790,3,1,0,1,5,0.6,-0.4,0.1,-0.4,0.3,0.5,0.4,-0.2,0.0,0.1,0.0,-0.4,-0.2
132382,2,0,0,3,5,0.4,-0.4,0.2,-0.4,-0.4,0.0,0.2,-0.4,0.7,0.0,-0.8,-0.4,-0.8
60336,3,1,1,0,5,0.6,-0.4,0.1,-0.4,0.3,0.5,0.3,-0.4,-0.1,-0.2,0.0,-0.4,-0.8
175070,7,3,0,0,10,0.7,-0.4,0.1,-0.4,-0.6,0.4,0.2,-0.4,-0.2,0.6,-0.2,-0.4,-0.4
174534,3,1,0,1,5,0.6,-0.4,-0.3,-0.4,-0.5,0.1,0.2,-0.4,1.0,0.1,0.0,-0.4,-0.6
200248,3,1,0,1,5,0.6,-0.4,0.2,-0.4,0.8,0.2,0.2,-0.4,0.9,-0.2,0.4,-0.4,-0.2
208877,3,1,0,1,5,0.6,-0.4,0.8,-0.4,0.1,0.2,0.4,-0.4,0.6,0.5,-0.3,-0.4,0.8
159004,3,1,0,1,5,0.6,-0.4,0.0,-0.4,0.0,-0.1,-0.1,-0.2,0.0,0.1,0.2,-0.4,-0.2
166409,7,3,0,0,10,0.7,-0.4,0.0,-0.4,0.0,0.3,0.4,-0.4,0.0,-0.4,-0.4,-0.4,-0.4
26628,3,1,0,1,5,0.6,-0.4,-0.2,-0.4,-0.4,-0.1,0.2,-0.4,0.5,-0.6,-0.4,-0.4,-0.4
26713,7,3,0,0,10,0.7,-0.4,0.5,-0.4,-0.4,0.0,0.4,-0.4,0.0,-0.2,0.6,-0.4,-0.6
103277,3,1,0,1,5,0.6,-0.4,0.2,-0.4,-0.1,0.4,0.2,-0.2,0.3,0.2,0.2,-0.4,-0.8
73398,3,1,0,1,5,0.6,-0.4,0.0,-0.4,-0.1,0.4,-0.2,-0.4,0.3,-0.3,0.6,-0.4,-0.4
223814,7,3,0,0,10,0.7,-0.4,0.2,-0.4,-0.8,0.3,0.4,-0.4,0.2,0.0,0.6,-0.4,0.8
225187,3,1,0,1,5,0.6,-0.4,-0.3,-0.4,-0.6,0.1,0.2,-0.4,0.5,-0.1,-0.2,-0.4,-0.4
183931,3,1,0,1,5,0.6,-0.4,0.0,-0.4,0.0,0.1,0.4,-0.4,-0.3,0.0,-0.2,-0.4,0.2
230428,3,1,0,1,5,0.6,-0.4,-0.4,-0.4,-0.9,0.1,0.2,-0.4,0.7,-0.2,0.0,-0.4,1.0
237486,7,3,0,0,10,0.7,-0.4,-0.9,-0.4,-0.4,0.2,0.0,-0.4,-0.3,-0.2,0.0,-0.4,-0.2
182847,7,3,0,0,10,0.7,-0.4,0.6,-0.4,-0.4,0.1,0.2,-0.4,-0.2,-0.2,-0.2,-0.4,-0.2
153283,7,3,0,0,10,0.7,-0.4,0.2,-0.4,-0.8,0.4,0.2,-0.4,0.6,-0.2,-0.6,-0.4,0.2
131032,7,3,0,0,10,0.7,-0.4,0.4,-0.4,-0.8,0.2,0.4,-0.4,0.7,-0.8,0.0,-0.4,-1.0
218379,3,1,0,1,5,0.6,-0.4,0.1,-0.4,-0.8,-0.3,0.2,-0.2,0.3,0.3,0.4,-0.4,0.0
145959,3,1,0,1,5,0.6,-0.4,0.2,-0.4,-0.7,0.0,0.2,-0.4,0.5,-0.3,0.6,-0.4,-0.6
88738,14,6,0,0,20,0.7,-0.4,0.3,-0.4,-0.8,0.0,0.2,-0.4,0.1,0.4,0.6,-0.4,0.2
114075,3,1,0,1,5,0.6,-0.4,0.4,-0.4,-0.4,0.5,0.4,-0.4,0.1,0.2,-0.6,-0.4,-0.4
172192,3,1,0,1,5,0.6,-0.4,-0.1,-0.4,-0.5,0.3,0.2,-0.4,-0.2,0.6,0.0,-0.4,-0.4
176656,3,1,0,1,5,0.6,-0.4,0.3,-0.4,0.0,0.3,0.2,-0.4,0.4,0.0,-0.4,-0.4,-0.4
115956,3,1,0,1,5,0.6,-0.4,-0.3,-0.4,-0.1,-0.2,0.4,-0.4,0.3,-0.2,-0.6,-0.4,0.4
129368,7,3,0,0,10,0.7,-0.4,-0.1,-0.4,-0.8,0.8,0.4,-0.4,0.3,-0.2,-0.4,-0.4,-0.2
141309,3,1,0,1,5,0.6,-0.4,-0.2,-0.4,-0.1,0.1,0.2,-0.4,-0.1,-0.2,0.0,-0.4,-0.4
241357,7,3,0,0,10,0.7,-0.4,0.2,-0.4,-0.4,0.7,0.4,-0.4,0.5,-0.4,-0.4,-0.4,-0.4
10532,3,1,0,1,5,0.6,-0.4,0.3,-0.4,-0.3,0.1,0.2,-0.4,0.2,-0.1,-0.4,-0.4,-1.0
12316,3,1,0,1,5,0.6,-0.4,-1.0,-0.4,-0.5,0.0,0.2,-0.4,-0.3,-0.2,0.4,-0.4,-1.0
38482,3,1,0,1,5,0.6,-0.4,-0.4,-0.4,0.0,-0.2,0.0,-0.4,0.5,-0.6,0.2,-0.4,0.0
143415,38,15,0,5,58,0.6551724137931034,-0.396551724137931,0.0,-0.4,-0.6,0.4,0.0,-0.4,0.7,0.0,0.0,-0.4,-0.4
251140,25,10,0,3,38,0.6578947368421053,-0.3947368421052631,0.1,-0.4,-0.6,0.4,0.6,-0.4,0.4,-0.4,-0.4,-0.4,-0.2
193676,19,8,0,1,28,0.6785714285714286,-0.3928571428571428,0.3,-0.4,-0.8,0.6,0.0,-0.2,0.6,0.0,-0.4,-0.4,-0.4
