,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
10819,17,7,0,1,25,0.68,-0.4,-0.4,-0.5,-0.2,0.0,0.4,-0.5,0.1,0.1,-0.4,-0.4,-0.2
36638,3,1,0,1,5,0.6,-0.4,0.2,-0.5,-0.3,0.2,0.1,-0.5,0.1,-0.5,-0.2,-0.4,-0.2
36811,3,1,0,1,5,0.6,-0.4,-0.6,-0.5,-0.8,0.1,0.0,-0.5,-0.2,-0.6,1.0,-0.4,0.6
227327,3,1,0,1,5,0.6,-0.4,-0.1,-0.5,-0.3,0.2,-0.7,-0.5,0.5,-0.6,0.2,-0.4,-0.5
125039,26,10,0,4,40,0.65,-0.4,-0.4,-0.5,-0.4,-0.1,-0.3,-0.5,-0.2,0.0,0.5,-0.4,0.4
140863,3,1,0,1,5,0.6,-0.4,0.0,-0.5,-0.3,0.3,0.4,-0.5,0.6,-0.5,0.6,-0.4,0.3
98297,6,2,0,2,10,0.6,-0.4,0.2,-0.5,-1.0,-0.6,-0.2,-0.5,0.4,-1.0,-0.1,-0.4,0.4
26628,3,1,0,1,5,0.6,-0.4,0.2,-0.5,-0.3,0.2,0.4,-0.5,0.4,-0.5,0.3,-0.4,-0.4
237486,7,3,0,0,10,0.7,-0.4,0.0,-0.5,-0.8,0.0,-0.5,-0.5,0.0,-0.6,0.0,-0.4,0.1
166409,7,3,0,0,10,0.7,-0.4,-0.4,-0.5,-0.2,0.1,-0.3,-0.5,-0.2,0.0,-0.2,-0.4,-0.6
218379,3,1,0,1,5,0.6,-0.4,0.0,-0.5,-0.9,-0.1,-0.3,-0.5,0.6,0.3,0.6,-0.4,-0.4
112672,6,2,0,2,10,0.6,-0.4,0.3,-0.5,-0.5,0.1,-0.5,-0.5,0.3,-0.2,-0.4,-0.4,-0.2
