,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
258107,6,0,0,0,6,1.0,-1.0,0.1,0.09,-0.33,0.17,-0.12,0.07,0.18,0.01,-0.07,0.08,-0.46
177876,5,0,0,0,5,1.0,-1.0,-0.05,0.09,-0.52,0.23,0.14,0.07,0.17,-0.68,-0.23,0.08,-0.73
178458,5,0,0,0,5,1.0,-1.0,-0.14,0.09,-0.61,0.31,0.04,0.07,0.19,-0.33,0.04,0.08,-0.73
86170,6,0,0,0,6,1.0,-1.0,-0.23,0.09,-0.23,0.23,0.28,0.07,0.27,-0.25,0.03,0.08,-0.36
179321,5,0,0,0,5,1.0,-1.0,0.14,0.09,-0.27,0.07,0.01,0.07,0.25,-0.18,0.25,0.08,-0.2
85455,5,0,0,0,5,1.0,-1.0,0.16,0.09,-0.11,0.24,0.28,0.07,0.23,-0.17,0.09,0.08,-0.01
180801,5,0,0,0,5,1.0,-1.0,0.09,0.09,-0.48,0.24,0.03,0.07,0.22,-0.53,-0.34,0.08,-0.69
40511,7,0,0,0,7,1.0,-1.0,0.07,0.09,-0.35,0.21,0.22,0.07,0.15,-0.68,-0.12,0.08,-0.89
262525,6,0,0,0,6,1.0,-1.0,0.04,0.09,-0.21,0.21,-0.03,0.07,0.14,-0.23,-0.09,0.08,-0.18
40612,9,0,0,0,9,1.0,-1.0,-0.01,0.09,-0.26,0.19,0.07,0.07,0.26,-0.05,0.2,0.08,0.06
83390,5,0,0,0,5,1.0,-1.0,-0.13,0.09,-0.03,0.18,0.32,0.07,0.01,0.14,-0.19,0.08,0.25
82841,7,0,0,0,7,1.0,-1.0,-0.06,0.09,-0.41,0.23,0.01,0.07,0.16,-0.51,0.1,0.08,-0.95
183142,7,0,0,0,7,1.0,-1.0,0.08,0.09,-0.06,0.25,0.23,0.09,0.17,0.15,-0.19,0.08,0.56
81459,5,0,0,0,5,1.0,-1.0,-0.17,0.09,-0.39,0.1,0.02,0.09,0.08,-0.14,-0.12,0.08,-0.75
6769,7,0,0,0,7,1.0,-1.0,0.05,0.09,-0.27,0.26,-0.01,0.07,0.32,-0.34,0.16,0.08,-0.4
185254,14,0,0,0,14,1.0,-1.0,0.05,0.09,-0.74,0.19,0.17,0.07,0.32,-0.82,-0.42,0.08,-0.94
41088,5,0,0,0,5,1.0,-1.0,0.28,0.09,-0.54,0.27,0.02,0.07,0.27,-0.67,-0.38,0.08,-0.98
42780,6,0,0,0,6,1.0,-1.0,0.02,0.09,-0.39,0.3,0.22,0.09,0.08,-0.04,-0.3,0.08,-0.01
42798,5,0,0,0,5,1.0,-1.0,0.13,0.09,0.07,0.27,0.23,0.07,0.17,0.04,0.15,0.08,0.53
228154,14,0,0,0,14,1.0,-1.0,0.04,0.09,-0.73,0.24,0.25,0.07,0.23,-0.44,-0.49,0.08,-0.37
44295,6,0,0,0,6,1.0,-1.0,0.02,0.09,-0.11,0.35,0.29,0.07,0.27,-0.28,-0.13,0.08,0.48
77940,11,0,0,0,11,1.0,-1.0,-0.1,0.09,-0.66,0.29,0.08,0.07,0.09,-0.57,-0.1,0.08,-0.92
44611,9,0,0,0,9,1.0,-1.0,0.11,0.09,-0.05,0.15,-0.02,0.07,0.14,-0.25,-0.07,0.08,-0.27
