,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
276847,4,0,0,0,4,1.0,-1.0,0.1,-0.4,-0.4,-0.1,0.2,-0.4,0.1,-0.1,0.6,-0.4,0.4
211961,9,0,0,0,9,1.0,-1.0,0.4,-0.4,-1.0,-0.2,0.4,-0.2,-0.4,-0.6,0.6,-0.4,-0.4
214348,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-1.0,0.1,0.2,-0.4,0.1,-0.4,-0.4,-0.4,-1.0
217444,5,0,0,0,5,1.0,-1.0,-0.1,-0.4,-1.0,0.6,0.0,-0.4,0.0,-1.0,-0.6,-0.4,-1.0
54512,5,0,0,0,5,1.0,-1.0,-0.1,-0.4,-0.8,-0.1,0.4,-0.4,0.1,-0.6,-0.4,-0.4,-0.4
218240,7,0,0,0,7,1.0,-1.0,-0.1,-0.4,-1.0,0.6,0.4,-0.4,0.7,-1.0,-0.6,-0.4,-1.0
53664,11,0,0,0,11,1.0,-1.0,-0.4,-0.4,-1.0,0.2,0.0,-0.4,-0.1,-1.0,-0.6,-0.4,-1.0
53265,8,0,0,0,8,1.0,-1.0,0.0,-0.4,-1.0,0.0,0.2,-0.4,0.0,-0.7,0.2,-0.4,-1.0
219955,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-1.0,0.3,-0.4,-0.4,0.1,-1.0,-0.6,-0.4,-1.0
221510,11,0,0,0,11,1.0,-1.0,-0.4,-0.4,-1.0,0.0,0.2,-0.4,-0.1,-1.0,0.8,-0.4,-1.0
221681,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-1.0,-0.1,0.4,-0.4,-0.1,-0.8,-0.4,-0.4,0.0
51663,5,0,0,0,5,1.0,-1.0,0.3,-0.4,-1.0,-0.1,0.4,-0.4,-0.4,-0.5,0.4,-0.4,-0.4
7371,8,0,0,0,8,1.0,-1.0,-0.1,-0.4,-0.8,0.2,0.4,-0.4,-0.2,-0.8,0.0,-0.4,-0.4
6769,7,0,0,0,7,1.0,-1.0,-0.6,-0.4,-0.8,0.1,0.4,-0.4,0.0,-0.8,0.2,-0.4,-0.6
50823,16,0,0,0,16,1.0,-1.0,0.6,-0.4,-1.0,0.2,0.4,-0.4,0.0,-1.0,0.6,-0.4,-0.9
49526,4,0,0,0,4,1.0,-1.0,0.0,-0.4,-1.0,-0.1,0.4,-0.4,0.1,-1.0,-0.6,-0.4,-0.6
266457,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-0.6,0.0,0.4,-0.2,0.3,0.4,-0.4,-0.4,-0.6
223461,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.6,0.2,0.4,-0.4,0.4,-0.8,0.4,-0.4,0.2
49324,6,0,0,0,6,1.0,-1.0,-0.6,-0.4,-1.0,0.5,0.0,-0.4,0.2,-1.0,-0.6,-0.4,-1.0
223587,9,0,0,0,9,1.0,-1.0,-0.6,-0.4,-0.8,0.2,0.4,-0.2,-0.1,-1.0,-0.6,-0.4,-1.0
223927,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-0.8,0.4,0.0,-0.4,-0.1,-0.2,0.2,-0.4,0.8
