,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
276847,0,5,5,0.0,0.6,0.8,0.3,0.5,0.7,0.7,0.6,0.4,0.9,0.7,0.2
115874,0,6,6,0.0,0.7,0.8,0.0,0.7,0.8,0.7,0.3,0.0,0.0,0.7,0.0
145644,0,5,5,0.0,0.6,0.8,0.2,0.5,0.2,0.8,0.3,0.2,0.4,0.7,0.1
53628,0,9,9,0.0,1.0,0.8,0.1,0.6,0.5,0.7,0.4,0.2,0.6,0.7,0.1
169600,0,7,7,0.0,0.7,0.8,0.1,0.5,0.5,0.7,0.4,0.1,0.3,0.7,0.2
169692,0,6,6,0.0,0.8,0.8,0.0,0.5,0.7,0.7,0.4,0.0,0.0,0.7,0.0
224122,0,6,6,0.0,0.6,0.8,0.5,0.4,0.4,0.8,0.6,0.4,0.4,0.7,0.6
59206,0,5,5,0.0,0.8,0.8,0.2,0.5,0.5,0.7,0.5,0.4,0.5,0.7,0.3
223066,0,5,5,0.0,0.7,0.8,0.3,0.4,0.5,0.8,0.6,0.4,0.7,0.7,0.6
171011,0,6,6,0.0,1.0,0.8,0.0,0.5,0.4,0.8,0.4,0.1,0.2,0.7,0.1
109741,0,9,9,0.0,0.6,0.8,0.0,0.4,0.6,0.8,0.4,0.0,0.7,0.7,0.1
137803,0,6,6,0.0,0.7,0.8,0.5,0.7,0.8,0.8,0.8,0.1,0.7,0.7,0.2
66483,0,6,6,0.0,0.8,0.8,0.0,0.5,0.7,0.8,0.6,0.3,0.9,0.7,0.0
215942,0,6,6,0.0,0.6,0.8,0.2,0.9,0.3,0.7,0.6,0.3,0.8,0.7,0.5
229496,0,6,6,0.0,0.4,0.8,0.0,0.7,0.7,0.7,0.3,0.0,0.0,0.7,0.0
214244,0,5,5,0.0,0.6,0.8,0.5,0.5,0.6,0.7,0.5,0.2,0.6,0.7,0.3
138073,0,6,6,0.0,0.6,0.8,0.0,0.8,0.6,0.7,0.3,0.0,0.0,0.7,0.0
212088,0,6,6,0.0,0.8,0.8,0.1,0.5,0.5,0.7,0.3,0.1,0.2,0.7,0.2
6564,0,5,5,0.0,0.7,0.8,0.3,0.5,0.7,0.7,0.5,0.3,0.8,0.7,0.0
72451,0,11,11,0.0,0.7,0.8,0.0,0.5,0.5,0.7,0.3,0.0,0.0,0.7,0.0
4809,0,5,5,0.0,0.6,0.8,0.1,0.4,0.4,0.7,0.5,0.2,0.3,0.7,0.1
143103,0,5,5,0.0,0.5,0.8,0.3,0.5,0.6,0.7,0.6,0.4,1.0,0.7,0.5
4483,0,5,5,0.0,0.0,0.8,0.4,0.5,0.5,0.8,0.3,0.4,0.9,0.7,0.6
75115,0,6,6,0.0,0.0,0.8,0.0,0.4,0.5,0.7,0.5,0.2,0.7,0.7,0.4
142672,0,6,6,0.0,0.5,0.8,0.3,0.6,0.5,0.7,0.3,0.5,0.4,0.7,0.9
103541,0,12,12,0.0,0.7,0.8,0.0,0.3,0.8,0.7,0.6,0.0,0.1,0.7,0.0
273906,0,6,6,0.0,0.7,0.8,0.0,0.5,0.6,0.7,0.4,0.2,0.7,0.7,0.1
139575,0,5,5,0.0,0.6,0.8,0.6,0.5,0.3,0.8,0.4,0.4,0.6,0.7,0.5
199795,0,5,5,0.0,0.9,0.8,0.3,0.5,0.8,0.7,0.5,0.4,0.8,0.7,1.0
67079,0,17,17,0.0,0.5,0.8,0.0,0.4,0.4,0.7,0.5,0.0,0.0,0.7,0.0
11120,0,6,6,0.0,0.5,0.8,0.4,0.5,0.5,0.7,0.4,0.4,0.5,0.7,0.6
230985,0,6,6,0.0,0.8,0.8,0.1,0.5,0.5,0.7,0.6,0.4,0.6,0.7,0.1
117683,0,5,5,0.0,0.3,0.8,0.2,0.6,0.9,0.7,0.4,0.5,0.5,0.7,0.2
129494,0,5,5,0.0,0.7,0.8,0.0,0.5,0.8,0.7,0.4,0.1,1.0,0.7,1.0
128790,0,9,9,0.0,0.8,0.8,0.0,0.5,0.9,0.7,0.3,0.0,0.0,0.7,0.0
131363,0,10,10,0.0,0.9,0.8,0.0,0.4,0.9,0.8,0.6,0.1,0.7,0.7,0.0
256298,0,6,6,0.0,0.7,0.8,0.0,0.5,1.0,0.7,0.7,0.0,0.0,0.7,0.0
27265,0,5,5,0.0,1.0,0.8,0.5,0.5,0.6,0.8,0.6,0.6,0.9,0.7,0.9
27573,0,5,5,0.0,0.7,0.8,0.0,0.5,0.8,0.7,0.3,0.0,0.2,0.7,0.0
252829,0,10,10,0.0,0.5,0.8,0.1,0.5,0.6,0.8,0.5,0.1,0.3,0.7,0.1
150762,0,6,6,0.0,0.8,0.8,0.2,0.4,0.4,0.7,0.4,0.2,0.9,0.7,0.3
156534,0,5,5,0.0,0.5,0.8,0.0,0.4,0.4,0.7,0.6,0.3,0.5,0.7,0.2
30385,0,5,5,0.0,0.9,0.8,0.4,0.4,0.6,0.7,0.3,0.1,0.9,0.7,0.2
249128,0,6,6,0.0,0.4,0.8,0.1,0.5,0.5,0.8,0.5,0.0,0.0,0.7,0.1
159283,0,5,5,0.0,0.6,0.8,0.1,0.5,0.6,0.8,0.4,0.0,0.6,0.7,0.1
133192,0,15,15,0.0,0.8,0.8,0.0,0.8,0.7,0.7,0.4,0.0,0.0,0.7,0.0
248131,0,5,5,0.0,0.5,0.8,0.1,0.7,0.6,0.8,0.6,0.3,0.8,0.7,0.8
124688,0,10,10,0.0,0.8,0.8,0.0,0.7,0.5,0.8,0.5,0.0,0.8,0.7,0.1
160381,0,5,5,0.0,0.7,0.8,0.3,0.5,0.9,0.7,0.5,0.2,0.6,0.7,0.5
