,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
276847,0,5,5,0.0,0.72,0.77,0.63,0.53,0.73,0.76,0.53,0.64,0.67,0.75,0.36
115874,0,6,6,0.0,0.7,0.77,0.31,0.52,0.53,0.76,0.55,0.36,0.28,0.75,0.33
145644,0,5,5,0.0,0.71,0.77,0.36,0.53,0.58,0.76,0.56,0.49,0.69,0.75,0.26
53628,0,9,9,0.0,0.69,0.77,0.36,0.6,0.6,0.76,0.53,0.46,0.71,0.75,0.24
169600,0,7,7,0.0,0.72,0.77,0.58,0.51,0.58,0.76,0.52,0.45,0.63,0.75,0.72
169692,0,6,6,0.0,0.74,0.77,0.26,0.55,0.58,0.76,0.51,0.26,0.22,0.75,0.36
224122,0,6,6,0.0,0.72,0.77,0.6,0.51,0.73,0.76,0.57,0.71,0.51,0.75,0.56
59206,0,5,5,0.0,0.63,0.77,0.54,0.53,0.6,0.76,0.58,0.47,0.68,0.75,0.25
223066,0,5,5,0.0,0.78,0.77,0.5,0.49,0.73,0.76,0.59,0.53,0.73,0.75,0.6
171011,0,6,6,0.0,0.67,0.77,0.71,0.5,0.63,0.76,0.5,0.6,0.74,0.75,0.79
109741,0,9,9,0.0,0.66,0.77,0.33,0.42,0.7,0.76,0.63,0.49,0.6,0.75,0.17
137803,0,6,6,0.0,0.65,0.77,0.6,0.5,0.6,0.76,0.52,0.53,0.84,0.75,0.45
66483,0,6,6,0.0,0.65,0.77,0.5,0.53,0.75,0.76,0.56,0.7,0.52,0.75,0.34
215942,0,6,6,0.0,0.69,0.77,0.57,0.49,0.52,0.76,0.6,0.6,0.69,0.75,0.5
229496,0,6,6,0.0,0.63,0.77,0.23,0.56,0.55,0.76,0.58,0.29,0.23,0.75,0.38
214244,0,5,5,0.0,0.68,0.77,0.52,0.51,0.65,0.76,0.44,0.6,0.49,0.75,0.33
138073,0,6,6,0.0,0.61,0.77,0.25,0.44,0.63,0.76,0.62,0.26,0.23,0.75,0.35
212088,0,6,6,0.0,0.72,0.77,0.63,0.52,0.56,0.76,0.51,0.57,0.66,0.75,0.75
6564,0,5,5,0.0,0.74,0.77,0.57,0.5,0.6,0.76,0.44,0.65,0.7,0.75,0.37
72451,0,11,11,0.0,0.6,0.77,0.26,0.51,0.6,0.76,0.57,0.28,0.23,0.75,0.33
4809,0,5,5,0.0,0.62,0.77,0.58,0.56,0.6,0.76,0.56,0.52,0.73,0.75,0.69
143103,0,5,5,0.0,0.7,0.77,0.71,0.52,0.67,0.76,0.58,0.72,0.67,0.75,0.42
4483,0,5,5,0.0,0.0,0.77,0.57,0.51,0.52,0.76,0.53,0.54,0.81,0.75,0.61
75115,0,6,6,0.0,0.0,0.77,0.45,0.54,0.6,0.76,0.61,0.4,0.62,0.75,0.45
142672,0,6,6,0.0,0.64,0.77,0.61,0.5,0.58,0.76,0.53,0.75,0.71,0.75,0.8
103541,0,12,12,0.0,0.67,0.77,0.37,0.52,0.58,0.76,0.57,0.33,0.22,0.75,0.37
273906,0,6,6,0.0,0.73,0.77,0.3,0.54,0.6,0.76,0.53,0.52,0.55,0.75,0.23
139575,0,5,5,0.0,0.73,0.77,0.66,0.55,0.63,0.76,0.52,0.59,0.71,0.75,0.62
199795,0,5,5,0.0,0.67,0.77,0.74,0.55,0.66,0.76,0.54,0.63,0.76,0.75,0.91
67079,0,17,17,0.0,0.67,0.77,0.28,0.47,0.52,0.76,0.54,0.27,0.23,0.75,0.39
11120,0,6,6,0.0,0.72,0.77,0.65,0.49,0.6,0.76,0.54,0.71,0.72,0.75,0.74
230985,0,6,6,0.0,0.71,0.77,0.51,0.49,0.63,0.76,0.57,0.58,0.74,0.75,0.2
117683,0,5,5,0.0,0.67,0.77,0.44,0.49,0.66,0.76,0.5,0.5,0.41,0.75,0.37
129494,0,5,5,0.0,0.7,0.77,0.72,0.54,0.67,0.76,0.54,0.72,0.89,0.75,0.96
128790,0,9,9,0.0,0.71,0.77,0.3,0.5,0.77,0.76,0.6,0.26,0.27,0.75,0.32
131363,0,10,10,0.0,0.6,0.77,0.3,0.51,0.63,0.76,0.56,0.33,0.41,0.75,0.38
256298,0,6,6,0.0,0.6,0.77,0.33,0.49,0.79,0.76,0.6,0.25,0.22,0.75,0.37
27265,0,5,5,0.0,0.63,0.77,0.59,0.5,0.57,0.76,0.58,0.66,0.77,0.75,0.81
27573,0,5,5,0.0,0.64,0.77,0.3,0.49,0.56,0.76,0.48,0.41,0.27,0.75,0.34
252829,0,10,10,0.0,0.67,0.77,0.67,0.52,0.62,0.76,0.56,0.57,0.62,0.75,0.69
150762,0,6,6,0.0,0.66,0.77,0.5,0.53,0.57,0.76,0.53,0.51,0.8,0.75,0.26
156534,0,5,5,0.0,0.72,0.77,0.39,0.46,0.59,0.76,0.56,0.47,0.67,0.75,0.15
30385,0,5,5,0.0,0.63,0.77,0.53,0.55,0.56,0.76,0.53,0.38,0.76,0.75,0.45
249128,0,6,6,0.0,0.75,0.77,0.25,0.48,0.49,0.76,0.52,0.29,0.22,0.75,0.37
159283,0,5,5,0.0,0.81,0.77,0.43,0.48,0.59,0.76,0.56,0.52,0.4,0.75,0.16
133192,0,15,15,0.0,0.7,0.77,0.21,0.56,0.54,0.77,0.61,0.26,0.23,0.75,0.38
248131,0,5,5,0.0,0.65,0.77,0.58,0.53,0.59,0.76,0.55,0.61,0.63,0.75,0.74
124688,0,10,10,0.0,0.71,0.77,0.47,0.58,0.55,0.76,0.54,0.39,0.76,0.75,0.17
160381,0,5,5,0.0,0.72,0.77,0.59,0.52,0.64,0.76,0.57,0.5,0.69,0.75,0.63
37168,0,7,7,0.0,0.74,0.77,0.61,0.51,0.59,0.76,0.53,0.57,0.81,0.75,0.44
148142,0,6,6,0.0,0.66,0.77,0.45,0.51,0.59,0.76,0.57,0.45,0.63,0.75,0.38
122045,0,9,9,0.0,0.66,0.77,0.29,0.53,0.6,0.76,0.54,0.36,0.23,0.75,0.22
39396,0,8,8,0.0,0.77,0.77,0.56,0.49,0.62,0.76,0.6,0.54,0.6,0.75,0.44
163335,0,6,6,0.0,0.67,0.77,0.7,0.54,0.64,0.76,0.6,0.55,0.72,0.75,0.51
40795,0,5,5,0.0,0.72,0.77,0.65,0.51,0.65,0.76,0.56,0.6,0.68,0.75,0.77
