,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
276847,0,4,4,0.0,0.5,0.8,0.6,0.5,0.6,0.8,0.8,0.5,0.9,0.8,0.9
268262,0,5,5,0.0,0.6,0.8,0.1,0.5,0.7,0.8,0.8,0.0,0.3,0.8,0.6
11120,0,6,6,0.0,0.4,0.8,0.5,0.6,0.6,0.8,0.7,0.7,0.4,0.8,0.9
128790,0,1,1,0.0,0.7,0.8,0.2,0.6,0.7,0.8,0.3,0.4,0.8,0.8,0.8
53628,0,7,7,0.0,0.9,0.8,0.2,0.4,0.6,0.8,0.4,0.4,0.8,0.8,0.6
129494,0,5,5,0.0,0.6,0.8,0.4,0.4,0.6,0.8,0.8,0.7,0.8,0.8,0.7
224122,0,6,6,0.0,0.6,0.8,0.3,0.6,0.7,0.8,0.8,0.6,0.3,0.8,0.7
223066,0,4,4,0.0,0.7,0.8,0.3,0.5,0.7,0.8,0.5,0.2,0.9,0.8,0.6
143103,0,5,5,0.0,0.8,0.8,0.6,0.5,0.6,0.8,0.6,0.5,0.9,0.8,0.9
142672,0,6,6,0.0,0.9,0.8,0.0,0.4,0.7,0.8,0.9,0.3,0.3,0.8,0.4
59206,0,4,4,0.0,0.7,0.8,0.6,0.6,0.7,0.8,0.5,0.5,0.7,0.8,0.8
131363,0,5,5,0.0,0.7,0.8,0.1,0.4,0.7,0.8,0.6,0.2,0.9,0.8,0.3
215942,0,5,5,0.0,0.8,0.8,0.4,0.6,0.7,0.8,0.5,0.6,0.6,0.8,0.7
103541,0,3,3,0.0,0.7,0.8,0.1,0.7,0.3,0.8,0.7,0.2,0.2,0.8,0.3
214244,0,2,2,0.0,0.9,0.8,0.6,0.5,0.7,0.8,0.9,0.2,0.8,0.8,0.7
6564,0,4,4,0.0,0.5,0.8,0.3,0.4,0.7,0.8,0.7,0.6,0.4,0.8,0.3
212088,0,5,5,0.0,0.9,0.8,0.2,0.5,0.4,0.8,0.7,0.2,0.2,0.8,0.5
184985,0,5,5,0.0,0.6,0.8,0.3,0.6,0.7,0.8,0.5,0.3,0.7,0.8,0.6
133192,0,2,2,0.0,0.8,0.8,0.5,0.5,0.7,0.8,0.5,0.5,1.0,0.8,0.4
66483,0,4,4,0.0,0.6,0.8,0.6,0.5,0.6,0.8,0.8,0.5,0.9,0.8,0.9
67079,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4809,0,4,4,0.0,0.8,0.8,0.1,0.6,0.4,0.8,0.6,0.1,0.2,0.8,0.7
4483,0,4,4,0.0,0.7,0.8,0.4,0.7,0.6,0.8,0.5,0.2,0.4,0.8,0.6
140863,0,4,4,0.0,0.9,0.8,0.2,0.3,0.7,0.8,0.6,0.5,0.4,0.8,0.7
139575,0,4,4,0.0,0.7,0.8,0.3,0.5,0.7,0.8,0.7,0.2,0.6,0.8,0.6
72451,0,2,2,0.0,0.7,0.8,0.3,0.4,0.8,0.8,0.5,0.2,0.7,0.8,0.5
273906,0,3,3,0.0,0.7,0.8,0.5,0.6,0.7,0.8,0.7,0.2,0.5,0.8,0.5
