,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
242118,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.7,-0.5,0.3,0.0,-0.5,-0.5,0.1,0.9,0.6,-0.4,0.6
60569,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.1,-0.5,0.3,-0.1,-0.2,-0.5,0.8,0.6,0.3,-0.4,0.2
96954,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.2,-0.5,0.0,0.0,-0.5,-0.5,-0.1,0.2,0.0,-0.4,0.6
177040,3,11,0,0,14,0.2142857142857142,0.5714285714285714,0.0,-0.5,0.2,-0.5,0.5,-0.5,0.6,0.6,0.2,-0.4,0.6
30985,4,16,0,1,21,0.1904761904761904,0.5714285714285714,0.0,-0.5,0.6,-0.2,0.8,-0.5,0.5,1.0,0.3,-0.4,-0.2
119725,0,20,0,15,35,0.0,0.5714285714285714,-0.1,-0.5,0.4,0.3,0.5,-0.5,0.2,0.0,0.2,-0.4,0.0
57234,3,11,0,0,14,0.2142857142857142,0.5714285714285714,-0.4,-0.5,0.0,0.5,0.3,-0.5,-0.1,0.0,0.1,-0.4,0.1
82808,0,4,0,3,7,0.0,0.5714285714285714,0.2,-0.5,0.4,0.4,-0.1,-0.5,0.4,0.3,-0.2,-0.4,1.0
160434,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.2,-0.5,0.6,0.1,0.7,-0.5,0.4,0.7,-0.4,-0.4,-0.3
172613,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.2,-0.5,0.2,0.0,0.6,-0.5,0.0,0.4,0.6,-0.4,0.8
45315,4,16,0,1,21,0.1904761904761904,0.5714285714285714,-0.3,-0.5,0.3,0.2,0.1,-0.5,0.4,-0.5,0.3,-0.4,0.0
72190,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.1,-0.5,0.5,0.2,0.2,-0.5,0.1,-0.4,0.4,-0.4,0.8
195469,3,11,0,0,14,0.2142857142857142,0.5714285714285714,0.0,-0.5,0.0,0.1,-0.2,-0.5,0.4,0.4,0.2,-0.4,0.4
82699,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.0,-0.5,0.8,0.0,0.0,-0.5,0.4,0.5,0.1,-0.4,0.0
154781,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.3,-0.5,0.4,0.5,-0.2,-0.5,0.3,0.3,0.2,-0.4,0.4
204822,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.1,-0.5,1.0,0.4,0.4,-0.5,0.2,1.0,-0.8,-0.4,1.0
207246,3,15,0,3,21,0.1428571428571428,0.5714285714285714,0.2,-0.5,0.6,0.0,-0.3,-0.5,0.8,0.0,0.0,-0.4,-0.1
69252,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.1,-0.5,1.0,0.3,0.7,-0.5,0.2,0.8,-0.1,-0.4,0.2
246766,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.1,-0.5,0.0,0.1,0.2,-0.5,0.1,0.0,0.1,-0.4,-0.1
