,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
242118,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.02,0.09,0.46,0.3,-0.07,0.07,0.05,0.7,0.46,0.08,0.45
60569,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.12,0.09,0.23,0.07,0.18,0.07,0.27,0.33,0.28,0.08,0.42
96954,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.01,0.09,0.19,0.2,0.1,0.07,0.2,0.3,0.47,0.08,0.35
177040,3,11,0,0,14,0.2142857142857142,0.5714285714285714,-0.18,0.09,0.19,0.14,0.41,0.07,0.24,0.42,0.24,0.08,0.38
30985,4,16,0,1,21,0.1904761904761904,0.5714285714285714,0.08,0.09,0.38,0.07,0.4,0.07,0.19,0.5,0.19,0.08,0.53
119725,0,20,0,15,35,0.0,0.5714285714285714,0.08,0.09,0.23,0.19,0.26,0.07,0.16,0.35,0.24,0.08,0.46
57234,3,11,0,0,14,0.2142857142857142,0.5714285714285714,0.11,0.09,0.09,0.26,0.16,0.07,0.1,-0.13,-0.12,0.08,0.07
82808,0,4,0,3,7,0.0,0.5714285714285714,0.1,0.09,0.33,0.29,0.1,0.07,0.07,0.26,-0.15,0.08,0.6
160434,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.01,0.09,0.22,0.14,0.12,0.07,0.29,0.36,-0.42,0.08,0.35
172613,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.0,0.09,-0.04,0.11,0.18,0.09,0.25,0.19,0.4,0.08,0.32
45315,4,16,0,1,21,0.1904761904761904,0.5714285714285714,-0.01,0.09,0.12,0.19,-0.03,0.07,0.31,-0.01,0.09,0.08,-0.01
72190,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.11,0.09,0.15,0.15,0.09,0.07,0.19,0.21,0.19,0.08,0.23
195469,3,11,0,0,14,0.2142857142857142,0.5714285714285714,0.02,0.09,0.09,0.13,0.16,0.07,0.17,0.24,-0.07,0.08,0.39
82699,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.12,0.09,0.27,0.22,0.16,0.07,0.33,0.24,0.21,0.08,-0.1
154781,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.0,0.09,0.34,0.13,0.12,0.07,0.16,0.17,-0.06,0.08,0.21
204822,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.11,0.09,0.31,0.21,0.15,0.07,0.24,0.34,-0.32,0.08,-0.14
207246,3,15,0,3,21,0.1428571428571428,0.5714285714285714,0.23,0.09,0.22,0.3,0.01,0.07,0.2,0.17,0.09,0.08,0.31
69252,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.09,0.09,0.43,0.25,0.19,0.07,0.31,0.67,-0.11,0.08,0.58
246766,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.01,0.09,0.21,0.23,-0.06,0.07,0.33,0.25,-0.03,0.08,0.37
25216,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.14,0.09,0.0,0.28,-0.04,0.07,0.19,-0.15,0.15,0.08,0.19
5728,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.01,0.09,0.39,0.19,0.01,0.07,0.3,0.59,-0.04,0.08,0.64
93085,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.02,0.09,0.48,0.21,0.13,0.09,0.23,0.79,0.33,0.08,0.45
147803,0,4,0,3,7,0.0,0.5714285714285714,0.0,0.09,0.18,0.35,0.15,0.07,0.18,0.07,0.19,0.08,0.24
82942,1,5,0,1,7,0.1428571428571428,0.5714285714285714,-0.14,0.09,0.31,0.22,0.09,0.07,0.28,0.34,0.54,0.08,0.36
118434,0,4,0,3,7,0.0,0.5714285714285714,0.0,0.09,0.03,0.14,0.1,0.07,0.11,-0.04,0.22,0.08,-0.05
18095,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.09,0.09,0.16,0.27,0.03,0.07,0.19,0.26,0.4,0.08,0.54
272202,1,5,0,1,7,0.1428571428571428,0.5714285714285714,0.06,0.09,0.06,0.37,0.16,0.09,0.26,0.11,-0.14,0.08,0.39
179791,2,21,0,10,33,0.0606060606060606,0.5757575757575758,0.07,0.09,0.38,0.3,0.32,0.07,0.24,0.47,0.26,0.08,0.51
101606,11,44,0,2,57,0.1929824561403508,0.5789473684210527,0.06,0.09,0.2,0.25,0.23,0.09,0.19,0.4,0.02,0.08,0.53
23511,4,15,0,0,19,0.2105263157894736,0.5789473684210527,0.1,0.09,0.22,0.22,0.1,0.07,0.32,0.17,-0.07,0.08,0.34
20201,4,15,0,0,19,0.2105263157894736,0.5789473684210527,-0.06,0.09,0.33,0.11,0.33,0.07,0.17,0.49,0.33,0.08,0.6
272225,4,15,0,0,19,0.2105263157894736,0.5789473684210527,0.07,0.09,0.38,0.04,0.3,0.07,0.24,0.31,-0.01,0.08,0.54
79089,2,9,0,1,12,0.1666666666666666,0.5833333333333334,0.04,0.09,0.24,0.24,-0.01,0.09,0.16,0.19,0.11,0.08,0.2
174848,2,9,0,1,12,0.1666666666666666,0.5833333333333334,0.01,0.09,0.12,0.26,0.09,0.07,0.03,0.16,0.32,0.08,0.15
28865,2,9,0,1,12,0.1666666666666666,0.5833333333333334,0.02,0.09,0.27,0.21,0.03,0.07,0.27,0.33,0.14,0.08,0.09
164728,5,19,0,0,24,0.2083333333333333,0.5833333333333334,0.04,0.09,0.47,0.14,0.21,0.07,0.4,0.69,0.21,0.08,0.58
231351,5,21,0,1,27,0.1851851851851851,0.5925925925925926,-0.17,0.09,0.47,0.22,-0.03,0.07,0.04,0.63,0.0,0.08,0.42
225986,4,20,0,3,27,0.1481481481481481,0.5925925925925926,0.22,0.09,0.33,0.17,0.1,0.07,0.25,0.36,0.08,0.08,0.54
270838,5,21,0,1,27,0.1851851851851851,0.5925925925925926,0.03,0.09,0.33,0.25,0.25,0.07,0.22,0.18,0.07,0.08,0.51
96440,6,25,0,1,32,0.1875,0.59375,-0.1,0.09,0.23,0.11,0.35,0.07,0.23,0.34,-0.05,0.08,0.59
70594,9,43,0,5,57,0.1578947368421052,0.5964912280701754,0.12,0.09,0.21,0.15,0.05,0.07,0.34,0.34,-0.12,0.08,-0.32
229899,1,4,0,0,5,0.2,0.6,0.13,0.09,0.34,0.33,0.38,0.07,0.18,0.33,0.22,0.08,0.38
122671,1,4,0,0,5,0.2,0.6,0.07,0.09,-0.05,0.23,0.02,0.07,0.2,0.53,-0.32,0.08,0.28
250219,1,4,0,0,5,0.2,0.6,0.07,0.09,0.21,0.25,-0.07,0.07,0.18,0.41,0.01,0.08,0.55
189789,0,3,0,2,5,0.0,0.6,0.02,0.09,0.2,0.28,0.16,0.09,0.3,0.05,-0.1,0.08,-0.07
21708,1,4,0,0,5,0.2,0.6,0.02,0.09,0.12,0.2,0.35,0.07,0.21,-0.01,0.05,0.08,0.55
80075,1,4,0,0,5,0.2,0.6,0.07,0.09,0.0,0.29,0.18,0.07,0.1,-0.21,-0.22,0.08,0.53
8089,1,4,0,0,5,0.2,0.6,-0.06,0.09,0.08,0.2,0.11,0.07,0.07,0.03,0.04,0.08,0.25
146641,1,4,0,0,5,0.2,0.6,-0.03,0.09,0.09,0.31,-0.08,0.07,0.26,-0.1,0.27,0.08,0.15
