,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
111938,1,4,0,0,5,0.2,0.6,0.4,-0.4,0.6,0.3,0.4,-0.4,0.6,0.2,0.0,-0.4,0.0
267334,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.0,0.0,0.0,-0.4,0.3,0.4,0.6,-0.4,0.0
102130,1,4,0,0,5,0.2,0.6,-0.4,-0.4,0.2,0.2,0.4,-0.4,-0.1,0.7,0.0,-0.4,0.4
149259,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.6,0.3,0.2,-0.4,0.5,0.8,0.6,-0.4,0.2
228652,1,4,0,0,5,0.2,0.6,-0.1,-0.4,0.6,0.5,0.4,-0.4,0.5,0.0,0.6,-0.4,0.4
250851,1,4,0,0,5,0.2,0.6,0.1,-0.4,0.2,0.0,0.4,-0.4,-0.1,0.2,0.4,-0.4,0.0
169465,1,4,0,0,5,0.2,0.6,-0.1,-0.4,0.6,0.2,0.6,-0.4,0.2,0.4,0.4,-0.4,0.0
38281,7,28,0,0,35,0.2,0.6,0.0,-0.4,0.0,0.5,0.6,-0.4,-0.2,0.8,0.2,-0.4,0.6
102154,1,4,0,0,5,0.2,0.6,0.3,-0.4,0.4,0.0,0.2,-0.4,0.0,0.2,0.2,-0.4,0.4
169727,1,4,0,0,5,0.2,0.6,0.2,-0.4,-0.2,0.7,-0.2,-0.2,0.4,0.6,0.6,-0.4,-0.4
82720,1,4,0,0,5,0.2,0.6,-0.1,-0.4,1.0,0.0,0.2,-0.2,0.5,0.0,0.2,-0.4,1.0
182931,1,4,0,0,5,0.2,0.6,-0.1,-0.4,0.0,0.1,0.2,-0.4,0.8,0.2,0.2,-0.4,0.0
95353,0,3,0,2,5,0.0,0.6,0.4,-0.4,0.1,0.3,0.2,-0.4,0.1,0.4,-0.4,-0.4,0.0
269308,1,4,0,0,5,0.2,0.6,-0.1,-0.4,0.8,0.0,0.4,-0.2,0.4,0.8,0.4,-0.4,1.0
267680,1,4,0,0,5,0.2,0.6,-0.7,-0.4,0.8,0.1,0.2,-0.2,0.1,0.8,0.0,-0.4,0.6
184684,1,4,0,0,5,0.2,0.6,-0.1,-0.4,0.4,0.0,0.4,-0.4,0.0,0.0,0.5,-0.4,-0.4
188878,1,4,0,0,5,0.2,0.6,-0.5,-0.4,-0.2,0.6,0.4,-0.4,0.0,0.7,0.6,-0.4,0.4
165516,1,4,0,0,5,0.2,0.6,0.5,-0.4,-0.4,0.2,0.4,-0.2,0.6,0.0,0.4,-0.4,0.2
236955,1,4,0,0,5,0.2,0.6,0.1,-0.4,0.4,-0.2,0.4,-0.4,0.5,1.0,0.2,-0.4,0.2
78719,2,8,0,0,10,0.2,0.6,-0.2,-0.4,0.4,0.5,0.4,-0.4,0.2,0.2,0.4,-0.4,0.6
166141,1,4,0,0,5,0.2,0.6,-0.3,-0.4,0.4,0.0,0.4,-0.4,0.3,0.6,0.3,-0.4,0.0
236235,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.8,0.0,0.4,-0.4,0.4,0.6,1.0,-0.4,0.4
79055,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.6,0.8,0.0,-0.4,0.3,0.6,0.2,-0.4,0.6
45078,1,4,0,0,5,0.2,0.6,-0.2,-0.4,0.8,0.7,0.4,-0.4,0.7,0.8,0.8,-0.4,0.4
269114,1,4,0,0,5,0.2,0.6,-0.2,-0.4,0.4,-0.1,0.4,-0.4,0.3,0.6,-0.6,-0.4,-0.2
146641,1,4,0,0,5,0.2,0.6,-0.2,-0.4,0.4,0.0,-0.3,-0.4,0.0,0.3,-0.4,-0.4,0.8
96493,1,4,0,0,5,0.2,0.6,-0.4,-0.4,0.4,0.6,0.2,-0.4,0.1,0.8,1.0,-0.4,0.2
79366,1,4,0,0,5,0.2,0.6,-0.1,-0.4,1.0,0.1,0.4,-0.4,0.4,1.0,0.6,-0.4,0.4
100984,1,4,0,0,5,0.2,0.6,0.2,-0.4,1.0,-0.1,0.2,-0.4,0.5,1.0,0.4,-0.4,-0.8
79754,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.4,0.4,0.2,-0.2,0.1,0.2,0.0,-0.4,0.0
167494,2,8,0,0,10,0.2,0.6,-0.2,-0.4,0.8,0.3,0.4,-0.2,0.0,0.0,0.0,-0.4,-0.2
80075,1,4,0,0,5,0.2,0.6,0.0,-0.4,-0.2,0.0,0.2,-0.4,0.3,0.6,0.8,-0.4,0.0
186533,1,4,0,0,5,0.2,0.6,0.3,-0.4,-0.8,0.0,0.2,-0.4,0.8,0.2,-0.4,-0.4,0.0
113966,1,4,0,0,5,0.2,0.6,-0.3,-0.4,0.8,0.2,-0.6,-0.2,0.6,1.0,0.6,-0.4,0.8
185497,1,4,0,0,5,0.2,0.6,0.5,-0.4,0.4,0.8,-0.4,-0.4,0.1,0.3,0.0,-0.4,-0.4
113657,2,8,0,0,10,0.2,0.6,0.0,-0.4,0.2,0.5,0.6,-0.4,0.1,-0.2,-0.6,-0.4,0.0
80826,2,8,0,0,10,0.2,0.6,-0.1,-0.4,0.2,0.0,0.2,-0.4,0.4,0.6,-0.4,-0.4,0.0
113602,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.6,-0.2,0.2,-0.4,0.2,0.4,-0.2,-0.4,0.6
272233,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.0,0.1,0.4,-0.4,0.2,0.4,0.8,-0.4,-0.6
101091,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.6,0.5,0.2,-0.2,0.5,0.2,-0.2,-0.4,-0.4
185071,1,4,0,0,5,0.2,0.6,0.5,-0.4,0.4,0.1,0.4,-0.2,0.3,0.4,0.2,-0.4,1.0
184918,1,4,0,0,5,0.2,0.6,-0.7,-0.4,0.6,0.2,-0.2,-0.4,0.0,0.8,0.4,-0.4,1.0
95781,1,4,0,0,5,0.2,0.6,0.4,-0.4,0.4,0.2,0.4,-0.4,0.2,0.2,-0.2,-0.4,0.0
111536,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.2,0.2,0.4,-0.4,0.7,-0.2,0.0,-0.4,0.8
94213,1,4,0,0,5,0.2,0.6,-0.7,-0.4,0.4,0.1,0.2,-0.4,0.7,0.6,0.2,-0.4,1.0
110112,2,8,0,0,10,0.2,0.6,-0.4,-0.4,1.0,0.2,0.6,-0.4,0.4,1.0,0.8,-0.4,0.8
151370,1,4,0,0,5,0.2,0.6,-0.2,-0.4,-0.6,0.5,0.1,-0.4,0.6,0.2,0.0,-0.4,0.4
240111,1,4,0,0,5,0.2,0.6,0.3,-0.4,-0.2,0.6,0.2,-0.4,0.2,-0.2,-0.6,-0.4,1.0
250494,1,4,0,0,5,0.2,0.6,-0.4,-0.4,-0.2,0.3,0.4,-0.4,0.3,0.6,0.4,-0.4,0.8
171999,1,4,0,0,5,0.2,0.6,-0.2,-0.4,0.0,0.2,0.2,-0.4,0.0,0.0,0.4,-0.4,-0.2
92278,1,4,0,0,5,0.2,0.6,-0.2,-0.4,-0.2,0.4,0.4,-0.4,-0.1,0.2,0.8,-0.4,0.0
270069,2,8,0,0,10,0.2,0.6,0.3,-0.4,1.0,0.2,0.2,-0.4,0.5,1.0,0.0,-0.4,1.0
35925,1,4,0,0,5,0.2,0.6,-0.1,-0.4,-0.2,0.1,0.4,-0.2,1.0,0.4,0.4,-0.4,0.4
8089,1,4,0,0,5,0.2,0.6,-0.2,-0.4,-0.2,0.4,0.4,-0.2,0.0,0.0,0.2,-0.4,0.4
238607,1,4,0,0,5,0.2,0.6,-0.4,-0.4,0.2,0.5,0.4,-0.4,0.0,0.0,0.4,-0.4,0.2
173650,1,4,0,0,5,0.2,0.6,0.1,-0.4,0.6,0.5,0.6,-0.4,0.3,0.6,0.2,-0.4,-0.4
270121,1,4,0,0,5,0.2,0.6,0.0,-0.4,-0.2,0.3,0.0,-0.4,0.2,0.0,-0.4,-0.4,-0.6
177195,1,4,0,0,5,0.2,0.6,0.4,-0.4,-0.2,0.4,0.2,-0.4,-0.1,0.4,0.0,-0.4,-0.6
155343,1,4,0,0,5,0.2,0.6,0.1,-0.4,0.0,0.4,0.2,-0.4,0.0,0.4,-0.4,-0.4,0.6
266522,1,4,0,0,5,0.2,0.6,0.3,-0.4,0.8,-0.1,0.4,-0.4,0.2,0.5,0.2,-0.4,-0.4
270211,1,4,0,0,5,0.2,0.6,0.6,-0.4,0.4,0.1,0.2,-0.4,0.5,0.0,-0.2,-0.4,1.0
174322,1,4,0,0,5,0.2,0.6,0.3,-0.4,0.4,0.2,0.0,-0.2,0.8,-0.4,0.2,-0.4,0.4
250219,1,4,0,0,5,0.2,0.6,-0.3,-0.4,-0.2,-0.2,0.0,-0.4,0.4,0.8,0.2,-0.4,0.6
90766,1,4,0,0,5,0.2,0.6,0.2,-0.4,0.8,0.0,0.2,-0.4,-0.3,1.0,0.2,-0.4,-0.4
159863,1,4,0,0,5,0.2,0.6,0.3,-0.4,0.4,0.5,0.6,-0.4,0.0,0.4,0.0,-0.4,-0.2
78229,1,4,0,0,5,0.2,0.6,-0.2,-0.4,0.0,0.4,0.4,-0.4,0.5,0.4,0.2,-0.4,-0.4
88299,1,4,0,0,5,0.2,0.6,-0.1,-0.4,0.4,0.4,0.0,-0.4,0.2,0.0,-0.4,-0.4,0.2
159455,1,4,0,0,5,0.2,0.6,0.2,-0.4,0.0,0.7,0.0,-0.4,0.1,0.0,0.6,-0.4,-0.6
155680,1,4,0,0,5,0.2,0.6,-0.4,-0.4,1.0,0.1,0.4,-0.4,0.7,0.8,-0.4,-0.4,0.4
232107,1,4,0,0,5,0.2,0.6,0.0,-0.4,0.4,-0.1,0.4,-0.4,0.3,0.4,0.4,-0.4,-0.4
232067,2,8,0,0,10,0.2,0.6,0.6,-0.4,-0.4,0.6,0.4,-0.4,0.0,0.6,0.0,-0.4,-0.8
3329,1,4,0,0,5,0.2,0.6,0.2,-0.4,1.0,0.3,0.1,-0.4,0.0,0.4,0.4,-0.4,1.0
34932,1,7,0,2,10,0.1,0.6,0.1,-0.4,0.5,0.3,0.2,-0.2,0.3,0.4,-0.2,-0.4,0.4
239609,1,4,0,0,5,0.2,0.6,0.1,-0.4,-0.6,0.1,0.2,-0.4,0.2,0.2,0.6,-0.4,0.6
36103,1,4,0,0,5,0.2,0.6,-0.2,-0.4,-0.4,-0.1,0.4,-0.4,0.5,0.2,-0.2,-0.4,-0.4
