,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
253602,5,4,9,0.5555555555555556,0.4,0.8,0.8,0.9,0.8,0.7,0.5,0.6,0.4,0.7,0.7
213708,5,4,9,0.5555555555555556,0.9,0.8,0.8,0.7,0.5,0.7,0.5,0.7,0.4,0.7,0.8
65032,5,4,9,0.5555555555555556,0.7,0.8,0.4,0.5,0.9,0.7,0.6,0.7,0.8,0.7,0.2
50749,5,4,9,0.5555555555555556,0.5,0.8,0.6,0.7,0.8,0.7,0.6,0.6,0.7,0.7,0.5
250962,19,15,34,0.5588235294117647,0.7,0.8,1.0,0.6,0.3,0.7,0.4,0.9,0.7,0.7,0.6
50225,19,15,34,0.5588235294117647,0.9,0.8,0.8,0.6,0.7,0.8,0.4,0.6,0.8,0.7,0.5
250300,14,11,25,0.56,0.9,0.8,0.9,0.8,0.6,0.8,0.5,0.7,1.0,0.7,0.7
7125,23,18,41,0.5609756097560976,0.7,0.8,0.9,0.7,0.6,0.7,0.5,0.7,0.8,0.7,0.7
201783,9,7,16,0.5625,0.7,0.8,0.1,0.7,0.7,0.8,0.6,0.2,0.2,0.7,0.1
224303,9,7,16,0.5625,0.6,0.8,0.4,0.5,0.4,0.7,0.5,0.4,0.5,0.7,0.3
162030,9,7,16,0.5625,0.7,0.8,0.6,0.4,0.9,0.7,0.6,0.6,0.6,0.7,0.9
8734,9,7,16,0.5625,0.6,0.8,0.7,0.7,0.6,0.7,0.7,0.8,0.6,0.7,0.9
170073,9,7,16,0.5625,0.7,0.8,0.7,0.6,0.1,0.8,0.6,0.6,0.7,0.7,0.7
35445,9,7,16,0.5625,0.6,0.8,0.9,0.6,1.0,0.8,0.4,0.7,0.9,0.7,0.9
164926,9,7,16,0.5625,0.5,0.8,0.2,0.6,0.2,0.8,0.6,0.1,0.5,0.7,0.3
255218,9,7,16,0.5625,0.8,0.8,0.6,1.0,0.5,0.7,0.5,0.7,0.9,0.7,0.5
59912,9,7,16,0.5625,0.8,0.8,0.4,0.6,0.3,0.7,0.6,0.7,1.0,0.7,0.6
233526,9,7,16,0.5625,0.8,0.8,0.2,0.5,0.6,0.8,0.3,0.3,0.4,0.7,0.2
222204,9,7,16,0.5625,0.7,0.8,0.9,0.6,0.3,0.7,0.4,0.4,0.8,0.7,0.8
16009,9,7,16,0.5625,0.7,0.8,0.8,0.7,1.0,0.7,0.4,0.8,0.4,0.7,0.9
138543,35,27,62,0.5645161290322581,0.6,0.8,0.5,0.4,0.5,0.7,0.7,0.3,0.7,0.7,0.1
216444,13,10,23,0.5652173913043478,0.9,0.8,1.0,0.8,0.8,0.7,0.6,0.7,1.0,0.7,0.5
80683,13,10,23,0.5652173913043478,0.8,0.8,0.6,0.7,0.8,0.7,0.6,0.7,1.0,0.7,0.6
153054,13,10,23,0.5652173913043478,0.5,0.8,0.4,0.8,0.3,0.7,0.6,0.8,0.5,0.7,0.6
276641,13,10,23,0.5652173913043478,0.6,0.8,0.7,0.6,0.4,0.8,0.9,1.0,0.6,0.7,0.7
2891,13,10,23,0.5652173913043478,0.8,0.8,0.6,0.8,0.6,0.7,0.4,0.9,0.4,0.7,0.5
36715,17,13,30,0.5666666666666667,0.6,0.8,0.7,0.7,0.3,0.7,0.5,0.5,0.6,0.7,0.2
270554,17,13,30,0.5666666666666667,0.9,0.8,0.9,0.4,0.5,0.8,0.4,0.8,1.0,0.7,0.9
266226,17,13,30,0.5666666666666667,0.9,0.8,0.5,0.7,0.9,0.7,0.6,0.6,1.0,0.7,0.4
168047,25,19,44,0.5681818181818182,0.6,0.8,0.4,0.5,0.7,0.8,0.3,0.8,0.9,0.7,0.4
56554,41,31,72,0.5694444444444444,0.8,0.8,0.9,0.7,0.7,0.7,0.3,0.8,0.9,0.7,0.7
58964,4,3,7,0.5714285714285714,0.6,0.8,0.7,0.5,0.8,0.7,0.4,0.5,0.9,0.7,1.0
71800,4,3,7,0.5714285714285714,0.5,0.8,0.5,0.4,0.7,0.7,0.7,0.5,0.9,0.7,0.5
104657,12,9,21,0.5714285714285714,0.6,0.8,0.6,0.4,0.5,0.7,0.6,0.8,0.8,0.7,0.6
96989,4,3,7,0.5714285714285714,0.7,0.8,0.6,0.6,0.5,0.7,0.3,0.6,0.4,0.7,0.6
