,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
253602,5,4,9,0.5555555555555556,0.73,0.77,0.78,0.61,0.56,0.76,0.56,0.63,0.49,0.75,0.66
213708,5,4,9,0.5555555555555556,0.77,0.77,0.75,0.51,0.66,0.76,0.56,0.71,0.65,0.75,0.76
65032,5,4,9,0.5555555555555556,0.73,0.77,0.71,0.52,0.63,0.76,0.54,0.69,0.83,0.75,0.72
50749,5,4,9,0.5555555555555556,0.67,0.77,0.7,0.53,0.68,0.76,0.54,0.51,0.86,0.75,0.71
250962,19,15,34,0.5588235294117647,0.68,0.77,0.75,0.5,0.59,0.76,0.57,0.72,0.68,0.75,0.71
50225,19,15,34,0.5588235294117647,0.72,0.77,0.77,0.6,0.66,0.76,0.57,0.61,0.77,0.75,0.71
250300,14,11,25,0.56,0.66,0.77,0.68,0.66,0.65,0.76,0.61,0.68,0.7,0.75,0.7
7125,23,18,41,0.5609756097560976,0.68,0.77,0.73,0.65,0.72,0.76,0.58,0.67,0.8,0.75,0.61
201783,9,7,16,0.5625,0.68,0.77,0.67,0.55,0.59,0.76,0.5,0.66,0.75,0.75,0.69
224303,9,7,16,0.5625,0.73,0.77,0.73,0.55,0.51,0.76,0.53,0.72,0.72,0.75,0.75
162030,9,7,16,0.5625,0.73,0.77,0.77,0.49,0.59,0.76,0.56,0.69,0.75,0.75,0.78
8734,9,7,16,0.5625,0.61,0.77,0.77,0.53,0.55,0.76,0.53,0.74,0.74,0.75,0.8
170073,9,7,16,0.5625,0.75,0.77,0.74,0.5,0.55,0.76,0.56,0.74,0.69,0.75,0.64
35445,9,7,16,0.5625,0.59,0.77,0.78,0.59,0.63,0.76,0.55,0.78,0.84,0.75,0.86
164926,9,7,16,0.5625,0.67,0.77,0.67,0.52,0.48,0.76,0.55,0.67,0.78,0.75,0.73
255218,9,7,16,0.5625,0.76,0.77,0.77,0.51,0.66,0.76,0.66,0.74,0.71,0.75,0.65
59912,9,7,16,0.5625,0.72,0.77,0.75,0.58,0.5,0.76,0.5,0.68,0.77,0.75,0.59
233526,9,7,16,0.5625,0.66,0.77,0.74,0.57,0.58,0.76,0.48,0.69,0.76,0.75,0.78
222204,9,7,16,0.5625,0.7,0.77,0.8,0.49,0.59,0.76,0.55,0.6,0.77,0.75,0.76
16009,9,7,16,0.5625,0.68,0.77,0.7,0.6,0.61,0.76,0.61,0.71,0.76,0.75,0.8
138543,35,27,62,0.5645161290322581,0.68,0.77,0.66,0.51,0.57,0.76,0.59,0.57,0.71,0.75,0.68
216444,13,10,23,0.5652173913043478,0.76,0.77,0.77,0.73,0.59,0.76,0.64,0.72,0.88,0.75,0.67
80683,13,10,23,0.5652173913043478,0.66,0.77,0.67,0.65,0.65,0.76,0.58,0.66,0.79,0.75,0.58
153054,13,10,23,0.5652173913043478,0.65,0.77,0.64,0.48,0.55,0.76,0.52,0.63,0.67,0.75,0.65
276641,13,10,23,0.5652173913043478,0.66,0.77,0.79,0.57,0.59,0.76,0.57,0.79,0.64,0.75,0.64
2891,13,10,23,0.5652173913043478,0.73,0.77,0.71,0.53,0.63,0.76,0.55,0.66,0.76,0.75,0.73
36715,17,13,30,0.5666666666666667,0.66,0.77,0.69,0.62,0.56,0.76,0.55,0.52,0.74,0.75,0.51
270554,17,13,30,0.5666666666666667,0.73,0.77,0.75,0.45,0.59,0.76,0.56,0.67,0.83,0.75,0.76
266226,17,13,30,0.5666666666666667,0.73,0.77,0.7,0.61,0.65,0.76,0.58,0.68,0.73,0.75,0.53
168047,25,19,44,0.5681818181818182,0.67,0.77,0.68,0.56,0.58,0.76,0.51,0.72,0.71,0.75,0.6
56554,41,31,72,0.5694444444444444,0.69,0.77,0.77,0.6,0.7,0.76,0.56,0.67,0.71,0.75,0.62
58964,4,3,7,0.5714285714285714,0.69,0.77,0.69,0.51,0.71,0.76,0.6,0.66,0.83,0.75,0.79
71800,4,3,7,0.5714285714285714,0.67,0.77,0.57,0.55,0.74,0.76,0.58,0.5,0.8,0.75,0.51
104657,12,9,21,0.5714285714285714,0.62,0.77,0.66,0.52,0.6,0.76,0.57,0.67,0.74,0.75,0.64
96989,4,3,7,0.5714285714285714,0.68,0.77,0.72,0.57,0.64,0.76,0.6,0.64,0.79,0.75,0.75
207246,12,9,21,0.5714285714285714,0.7,0.77,0.71,0.56,0.59,0.76,0.56,0.75,0.67,0.75,0.66
143302,4,3,7,0.5714285714285714,0.7,0.77,0.63,0.51,0.61,0.76,0.58,0.71,0.69,0.75,0.75
104812,8,6,14,0.5714285714285714,0.73,0.77,0.61,0.53,0.54,0.76,0.55,0.47,0.65,0.75,0.54
88330,4,3,7,0.5714285714285714,0.71,0.77,0.8,0.5,0.54,0.76,0.55,0.62,0.71,0.75,0.8
505,4,3,7,0.5714285714285714,0.62,0.77,0.74,0.51,0.55,0.76,0.52,0.73,0.68,0.75,0.97
188583,4,3,7,0.5714285714285714,0.67,0.77,0.54,0.63,0.58,0.76,0.58,0.68,0.61,0.75,0.69
172613,4,3,7,0.5714285714285714,0.72,0.77,0.77,0.54,0.67,0.76,0.63,0.71,0.78,0.75,0.64
104550,4,3,7,0.5714285714285714,0.64,0.77,0.67,0.49,0.58,0.76,0.54,0.7,0.66,0.75,0.38
179688,4,3,7,0.5714285714285714,0.71,0.77,0.82,0.52,0.82,0.76,0.61,0.86,0.77,0.75,0.85
112512,4,3,7,0.5714285714285714,0.62,0.77,0.63,0.5,0.59,0.76,0.54,0.57,0.67,0.75,0.66
176576,4,3,7,0.5714285714285714,0.64,0.77,0.78,0.55,0.57,0.76,0.52,0.56,0.56,0.75,0.77
198781,4,3,7,0.5714285714285714,0.63,0.77,0.73,0.54,0.57,0.76,0.54,0.64,0.66,0.75,0.83
109084,4,3,7,0.5714285714285714,0.63,0.77,0.68,0.46,0.6,0.76,0.57,0.86,0.72,0.75,0.82
221732,24,18,42,0.5714285714285714,0.71,0.77,0.74,0.56,0.53,0.76,0.49,0.57,0.86,0.75,0.69
212628,8,6,14,0.5714285714285714,0.64,0.77,0.71,0.52,0.56,0.76,0.57,0.76,0.73,0.75,0.77
170742,4,3,7,0.5714285714285714,0.7,0.77,0.78,0.58,0.77,0.76,0.55,0.78,0.83,0.75,0.98
83252,4,3,7,0.5714285714285714,0.73,0.77,0.74,0.46,0.54,0.76,0.58,0.66,0.74,0.75,0.78
108563,4,3,7,0.5714285714285714,0.66,0.77,0.89,0.56,0.63,0.76,0.55,0.89,0.85,0.75,0.9
215278,8,6,14,0.5714285714285714,0.68,0.77,0.63,0.54,0.81,0.76,0.52,0.73,0.82,0.75,0.93
211176,4,3,7,0.5714285714285714,0.78,0.77,0.71,0.67,0.53,0.76,0.64,0.6,0.75,0.75,0.64
