,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
239374,4,3,7,0.5714285714285714,0.6,0.8,0.3,0.6,0.8,0.8,0.5,0.8,0.7,0.8,0.9
15497,4,3,7,0.5714285714285714,0.7,0.8,0.5,0.5,0.7,0.8,0.4,0.6,1.0,0.8,0.7
108563,4,3,7,0.5714285714285714,0.7,0.8,0.9,0.7,0.5,0.8,0.5,0.7,0.8,0.8,1.0
101035,4,3,7,0.5714285714285714,0.4,0.8,0.7,0.4,0.6,0.8,0.6,0.8,0.7,0.8,0.9
176576,4,3,7,0.5714285714285714,0.8,0.8,0.7,0.6,0.6,0.8,0.7,0.6,0.7,0.8,0.6
167517,4,3,7,0.5714285714285714,0.9,0.8,0.5,0.4,0.8,0.8,0.6,0.5,0.5,0.8,0.8
112512,4,3,7,0.5714285714285714,0.7,0.8,0.5,0.5,0.5,0.8,0.6,0.3,0.8,0.8,0.3
170264,4,3,7,0.5714285714285714,0.7,0.8,0.6,0.6,0.6,0.8,0.4,0.6,1.0,0.8,0.5
146778,4,3,7,0.5714285714285714,0.8,0.8,0.9,0.7,0.5,0.8,0.1,0.8,0.6,0.8,0.8
120548,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.6,0.7,0.8,1.0,0.8,0.6,0.8,0.6
258160,4,3,7,0.5714285714285714,0.8,0.8,0.6,0.5,0.8,0.8,0.8,0.9,0.9,0.8,0.8
14049,4,3,7,0.5714285714285714,0.9,0.8,0.7,0.8,0.5,0.8,0.6,0.7,0.7,0.8,0.9
142623,11,8,19,0.5789473684210527,0.9,0.8,0.7,0.7,0.6,0.8,0.6,0.7,0.7,0.8,0.7
44845,11,8,19,0.5789473684210527,0.5,0.8,0.4,0.5,0.6,0.8,0.5,0.6,0.6,0.8,0.6
262902,11,8,19,0.5789473684210527,0.8,0.8,0.9,0.6,0.7,0.8,0.7,0.7,0.8,0.8,0.8
65877,11,8,19,0.5789473684210527,0.5,0.8,0.8,0.8,0.6,0.8,0.6,0.6,0.9,0.8,1.0
21484,11,8,19,0.5789473684210527,0.7,0.8,0.8,0.8,0.7,0.8,0.5,0.4,0.6,0.8,0.6
174092,18,13,31,0.5806451612903226,0.4,0.8,0.8,0.5,0.5,0.8,0.6,0.7,0.6,0.8,0.6
8066,18,13,31,0.5806451612903226,0.6,0.8,0.8,0.7,0.5,0.8,0.4,0.7,0.9,0.8,0.7
105054,18,13,31,0.5806451612903226,0.8,0.8,0.5,0.7,0.3,0.8,0.6,0.5,0.5,0.8,0.8
168047,25,18,43,0.5813953488372093,0.5,0.8,0.5,0.8,0.7,0.8,0.2,0.9,0.5,0.8,0.6
122429,32,23,55,0.5818181818181818,0.6,0.8,0.9,0.7,0.5,0.8,0.6,0.5,0.8,0.8,0.4
244359,7,5,12,0.5833333333333334,0.7,0.8,0.6,0.5,0.7,0.8,0.7,0.5,1.0,0.8,0.9
142680,7,5,12,0.5833333333333334,0.7,0.8,0.9,0.6,0.6,0.8,0.6,0.5,0.9,0.8,0.8
172119,7,5,12,0.5833333333333334,0.9,0.8,0.7,0.8,0.7,0.8,0.4,0.6,0.8,0.8,0.9
116301,7,5,12,0.5833333333333334,0.6,0.8,0.8,0.7,0.6,0.8,0.6,0.6,0.5,0.8,0.4
170184,7,5,12,0.5833333333333334,0.7,0.8,0.9,0.7,0.6,0.8,0.6,0.6,0.8,0.8,0.7
36256,14,10,24,0.5833333333333334,0.7,0.8,0.5,0.2,0.6,0.8,0.6,0.8,0.9,0.8,0.6
30495,7,5,12,0.5833333333333334,0.9,0.8,0.5,0.6,0.7,0.8,0.7,0.6,1.0,0.8,0.2
260067,7,5,12,0.5833333333333334,0.6,0.8,1.0,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.7
138543,35,25,60,0.5833333333333334,0.8,0.8,0.3,0.6,0.6,0.8,0.4,0.5,0.8,0.8,0.6
