user,book,rating
276847,0,8
276847,1,10
276847,2,10
276847,3,10
276847,4,10
276964,5,10
276964,6,9
276964,7,8
276964,8,10
276964,9,8
276964,10,7
276964,11,8
276964,12,8
276964,13,9
276964,14,10
277042,15,8
277042,16,7
277042,17,8
277042,18,9
277042,19,8
277042,20,2
277157,21,5
277157,22,5
277157,23,6
277157,24,7
277157,25,7
277157,26,7
277157,27,6
277157,28,8
277157,29,7
277157,30,5
277157,31,7
277157,32,6
277157,33,7
277157,34,7
277195,35,10
277195,36,10
277195,37,10
277195,38,10
277195,39,10
277195,40,10
277195,41,10
277195,42,10
277195,43,10
277203,44,9
277203,45,9
277203,46,9
277203,47,8
277203,48,8
277203,49,8
277378,50,7
277378,51,4
277378,52,7
277378,53,6
277378,54,5
277378,55,5
277378,56,4
277427,57,10
277427,58,7
277427,59,9
277427,60,10
277427,61,8
277427,62,8
277427,63,10
277427,64,9
277427,65,8
277427,66,9
277427,67,9
277427,68,9
277427,69,9
277427,70,8
277427,71,8
277427,72,9
277427,73,9
277427,74,8
277427,75,9
277427,76,7
277427,77,7
277427,78,8
277427,79,9
277427,80,8
277427,81,10
277427,82,9
277427,83,10
277427,84,10
277427,85,8
277427,86,10
277427,87,6
277427,88,8
277427,89,8
277427,90,9
277427,91,10
277427,92,10
277427,93,9
277427,94,9
277427,95,8
277427,96,8
277427,97,10
277427,98,9
277427,99,5
277427,100,8
277427,101,9
277427,102,8
277427,103,9
277427,104,9
277427,105,9
277427,106,8
277427,107,10
277427,108,10
277427,109,10
277427,110,10
277427,111,10
277427,112,10
277427,113,10
277427,114,10
277427,115,10
277427,116,8
277427,117,10
277427,118,7
277427,119,10
277427,120,10
277427,121,10
277427,122,10
277427,123,7
277439,124,7
277439,125,5
277439,24,5
277439,126,7
277439,127,7
277478,128,7
277478,129,7
277478,130,7
277478,131,8
277478,132,10
277478,133,8
277523,134,10
277523,135,10
277523,136,10
277523,137,10
277523,138,10
277523,139,10
277523,140,10
277523,141,10
277523,142,10
277523,143,10
277523,144,10
277523,145,10
277523,146,10
277523,147,10
277523,148,10
277523,149,10
277523,150,10
277523,151,10
277523,152,10
277623,57,5
277623,153,9
277623,154,9
277623,155,4
277623,156,8
277623,157,8
277629,158,8
277629,159,8
277629,74,6
277629,160,8
277629,161,7
277629,162,8
277629,163,7
277639,164,8
277639,165,6
277639,166,7
277639,167,8
277639,168,5
277639,169,8
277639,170,9
277639,171,8
277639,172,8
277639,173,8
277639,174,7
277639,175,8
277710,176,4
277710,177,9
277710,178,5
277710,146,6
277710,179,10
277710,180,6
277744,181,8
277744,182,7
277744,183,3
277744,184,8
277744,185,5
277744,186,9
277744,187,10
277744,188,8
277873,189,10
277873,190,5
277873,191,6
277873,192,10
277873,193,7
277922,194,7
277922,195,6
277922,196,7
277922,197,9
277922,198,10
277928,199,9
277928,200,8
277928,201,10
277928,202,10
277928,203,8
277928,204,10
277928,205,9
277928,206,9
277937,207,9
277937,208,7
277937,209,6
277937,210,7
277937,211,6
277937,212,6
277937,213,6
277937,214,7
277945,215,6
277945,216,6
277945,217,7
277945,218,8
277945,219,7
277945,220,7
277945,221,7
277945,222,7
277945,223,7
277945,224,7
277945,225,7
277945,226,8
277959,227,8
277959,228,6
277959,229,7
277959,230,8
277959,231,10
277959,232,6
277965,233,5
277965,234,10
277965,235,10
277965,236,8
277965,237,7
277965,238,8
277965,239,9
277965,192,9
277965,240,10
277965,108,9
277965,241,7
277965,242,10
278007,243,6
278007,244,8
278007,245,8
278007,246,6
278007,247,7
278007,248,5
278026,59,8
278026,249,8
278026,250,8
278026,251,8
278026,252,8
278026,165,5
278026,253,8
278026,254,9
278026,255,8
278026,256,8
278026,257,8
278026,258,6
278026,259,5
278026,260,3
278026,261,8
278026,262,8
278026,263,8
278026,264,5
278026,265,8
278026,266,6
278026,267,8
278026,268,8
278026,151,7
278026,269,5
278026,270,7
278026,271,6
278137,272,7
278137,273,9
278137,274,7
278137,275,8
278137,276,8
278137,277,8
278137,278,8
278137,279,7
278137,280,8
278137,281,9
278137,282,4
278137,283,8
278137,284,9
278137,285,8
278137,152,9
278137,286,8
278188,287,8
278188,288,7
278188,289,6
278188,290,7
278188,291,4
278188,292,8
278188,293,9
278188,195,9
278188,294,9
278188,295,8
278188,296,7
278188,297,6
278188,298,8
278188,299,7
278194,300,10
278194,301,8
278194,302,7
278194,303,5
278194,304,7
278194,305,9
278194,306,5
278194,307,7
278194,308,4
278194,309,9
278194,144,7
278194,310,5
278194,87,8
278194,311,4
278194,266,6
278194,312,8
278194,313,9
278194,314,6
278202,315,3
278202,316,2
278202,317,4
278202,318,9
278202,319,3
278202,320,3
278202,321,3
278202,322,1
278202,323,8
278202,324,10
278202,325,7
278202,326,8
278221,327,7
278221,328,7
278221,329,9
278221,330,8
278221,331,8
278221,285,9
278221,332,8
278356,333,9
278356,334,8
278356,335,7
278356,336,8
278356,337,9
278356,338,8
278356,339,10
278356,340,10
278356,341,10
278356,342,8
278390,343,8
278390,344,7
278390,345,7
278390,346,7
278390,347,4
278390,348,7
278390,349,8
278390,350,9
278390,127,7
278390,312,10
278390,351,7
278390,352,9
278418,353,7
278418,354,7
278418,355,7
278418,356,10
278418,357,8
278418,358,5
278418,359,5
278418,360,7
278418,361,7
278418,362,10
278418,363,7
278418,364,7
