,num_USA,num_rest,num_total,ratio_USA
239374,4,3,7,0.5714285714285714
15497,4,3,7,0.5714285714285714
108563,4,3,7,0.5714285714285714
101035,4,3,7,0.5714285714285714
176576,4,3,7,0.5714285714285714
167517,4,3,7,0.5714285714285714
112512,4,3,7,0.5714285714285714
170264,4,3,7,0.5714285714285714
146778,4,3,7,0.5714285714285714
120548,4,3,7,0.5714285714285714
258160,4,3,7,0.5714285714285714
14049,4,3,7,0.5714285714285714
142623,11,8,19,0.5789473684210527
44845,11,8,19,0.5789473684210527
262902,11,8,19,0.5789473684210527
65877,11,8,19,0.5789473684210527
21484,11,8,19,0.5789473684210527
174092,18,13,31,0.5806451612903226
8066,18,13,31,0.5806451612903226
105054,18,13,31,0.5806451612903226
168047,25,18,43,0.5813953488372093
122429,32,23,55,0.5818181818181818
244359,7,5,12,0.5833333333333334
142680,7,5,12,0.5833333333333334
172119,7,5,12,0.5833333333333334
116301,7,5,12,0.5833333333333334
170184,7,5,12,0.5833333333333334
36256,14,10,24,0.5833333333333334
30495,7,5,12,0.5833333333333334
260067,7,5,12,0.5833333333333334
138543,35,25,60,0.5833333333333334
208415,7,5,12,0.5833333333333334
178201,14,10,24,0.5833333333333334
98484,7,5,12,0.5833333333333334
221753,7,5,12,0.5833333333333334
105536,7,5,12,0.5833333333333334
78440,7,5,12,0.5833333333333334
229551,21,15,36,0.5833333333333334
201036,7,5,12,0.5833333333333334
194669,7,5,12,0.5833333333333334
78778,7,5,12,0.5833333333333334
70014,7,5,12,0.5833333333333334
128331,7,5,12,0.5833333333333334
28594,7,5,12,0.5833333333333334
21011,17,12,29,0.5862068965517241
266226,17,12,29,0.5862068965517241
26057,10,7,17,0.5882352941176471
3346,10,7,17,0.5882352941176471
128325,10,7,17,0.5882352941176471
168816,10,7,17,0.5882352941176471
87911,10,7,17,0.5882352941176471
197775,10,7,17,0.5882352941176471
98356,10,7,17,0.5882352941176471
157799,10,7,17,0.5882352941176471
12100,10,7,17,0.5882352941176471
172512,13,9,22,0.5909090909090909
49212,13,9,22,0.5909090909090909
98723,13,9,22,0.5909090909090909
39616,13,9,22,0.5909090909090909
37400,13,9,22,0.5909090909090909
146932,13,9,22,0.5909090909090909
205980,16,11,27,0.5925925925925926
96448,19,13,32,0.59375
276050,19,13,32,0.59375
136491,25,17,42,0.5952380952380952
8245,43,29,72,0.5972222222222222
194600,43,29,72,0.5972222222222222
124888,3,2,5,0.6
163419,3,2,5,0.6
35445,9,6,15,0.6
151780,3,2,5,0.6
242962,6,4,10,0.6
70222,3,2,5,0.6
70189,3,2,5,0.6
189655,3,2,5,0.6
2977,9,6,15,0.6
188878,3,2,5,0.6
164027,6,4,10,0.6
150894,3,2,5,0.6
36103,3,2,5,0.6
17667,12,8,20,0.6
124852,3,2,5,0.6
134694,3,2,5,0.6
111438,3,2,5,0.6
100694,3,2,5,0.6
242544,3,2,5,0.6
67270,9,6,15,0.6
126232,3,2,5,0.6
209458,3,2,5,0.6
167176,3,2,5,0.6
272715,3,2,5,0.6
272705,3,2,5,0.6
109276,3,2,5,0.6
91263,3,2,5,0.6
100610,3,2,5,0.6
141047,3,2,5,0.6
185497,3,2,5,0.6
272233,3,2,5,0.6
91428,3,2,5,0.6
109122,3,2,5,0.6
141201,3,2,5,0.6
141210,3,2,5,0.6
39374,3,2,5,0.6
141309,3,2,5,0.6
185308,9,6,15,0.6
239670,3,2,5,0.6
272395,3,2,5,0.6
125031,15,10,25,0.6
38482,3,2,5,0.6
208788,3,2,5,0.6
164906,3,2,5,0.6
242465,3,2,5,0.6
88976,3,2,5,0.6
242310,3,2,5,0.6
110609,3,2,5,0.6
208058,3,2,5,0.6
208251,6,4,10,0.6
165669,3,2,5,0.6
165987,3,2,5,0.6
167052,3,2,5,0.6
125396,3,2,5,0.6
166291,3,2,5,0.6
68383,6,4,10,0.6
134225,3,2,5,0.6
125736,9,6,15,0.6
264204,3,2,5,0.6
187463,3,2,5,0.6
68081,3,2,5,0.6
68000,3,2,5,0.6
148966,3,2,5,0.6
208376,3,2,5,0.6
206058,3,2,5,0.6
203392,3,2,5,0.6
262666,3,2,5,0.6
77039,3,2,5,0.6
76976,3,2,5,0.6
82808,3,2,5,0.6
251398,3,2,5,0.6
258240,6,4,10,0.6
194974,3,2,5,0.6
76741,3,2,5,0.6
117553,3,2,5,0.6
194699,3,2,5,0.6
28360,3,2,5,0.6
83110,3,2,5,0.6
275210,6,4,10,0.6
159863,3,2,5,0.6
28709,3,2,5,0.6
250494,3,2,5,0.6
75860,9,6,15,0.6
250301,3,2,5,0.6
250223,3,2,5,0.6
75762,3,2,5,0.6
29101,3,2,5,0.6
194027,3,2,5,0.6
275306,6,4,10,0.6
275476,3,2,5,0.6
275761,3,2,5,0.6
158104,3,2,5,0.6
80075,3,2,5,0.6
255618,3,2,5,0.6
197664,3,2,5,0.6
120178,6,4,10,0.6
25109,3,2,5,0.6
254486,3,2,5,0.6
254417,3,2,5,0.6
154627,3,2,5,0.6
156483,3,2,5,0.6
198507,3,2,5,0.6
138849,3,2,5,0.6
154487,3,2,5,0.6
119326,3,2,5,0.6
121135,3,2,5,0.6
154346,3,2,5,0.6
157543,3,2,5,0.6
154176,3,2,5,0.6
154021,3,2,5,0.6
252698,3,2,5,0.6
157811,15,10,25,0.6
118414,3,2,5,0.6
200248,3,2,5,0.6
276167,3,2,5,0.6
189789,3,2,5,0.6
250006,3,2,5,0.6
83561,3,2,5,0.6
261567,3,2,5,0.6
32599,12,8,20,0.6
32641,3,2,5,0.6
85872,3,2,5,0.6
204040,3,2,5,0.6
32991,3,2,5,0.6
139548,3,2,5,0.6
204660,3,2,5,0.6
33270,3,2,5,0.6
162590,9,6,15,0.6
245203,3,2,5,0.6
123676,3,2,5,0.6
