user_id,M_global_R_APC
30607940,0.29536864
4960888,0.29551599
17209130,0.29556595
26162883,0.29556616
7201211,0.29562398
3814692,0.29562542
22764410,0.2956829
14127209,0.29578277
21998773,0.29579766
33240381,0.29585008
4703921,0.29587782
48079933,0.29588856
15448000,0.2959075
3264644,0.29592558
29759478,0.29593346
2310965,0.29594309
49827221,0.29601305
14904841,0.29604593
49634999,0.29608882
29555150,0.29613028
36180289,0.29613623
14619379,0.29617568
38622779,0.29617808
48841737,0.29624495
4851374,0.2962837
19200558,0.29642711
11730582,0.29649271
30054697,0.29661812
38379435,0.29665344
14654826,0.29668005
21792622,0.29670561
1058776,0.29674693
13355787,0.29675423
16094503,0.29685403
37968984,0.29689082
26545874,0.29701941
4094987,0.29712575
15173004,0.29712698
30932256,0.2971829
34759338,0.29722155
36999996,0.29724954
31503406,0.29731765
17430731,0.29735469
9584848,0.29740542
33436902,0.29747493
21621000,0.29761534
41558084,0.29762552
19593786,0.29775459
26044203,0.29783417
49775495,0.29786341
11091471,0.29789225
13251318,0.29792485
36708275,0.29808283
35824857,0.29811912
14625089,0.29818538
3245453,0.29819484
3488981,0.29821781
16592984,0.2982665
48878979,0.29845161
3630479,0.29853501
38884275,0.29857224
35233465,0.29858254
49380085,0.29858587
15623068,0.29859788
24443544,0.29867638
42905691,0.29878388
39390490,0.29878452
21696795,0.29879873
48249462,0.2988245
45243045,0.29890508
21269650,0.29894949
46830222,0.29903313
4895714,0.29903371
35547661,0.29906254
15912794,0.29907993
47248786,0.29909649
5810176,0.29910474
39600166,0.29923067
46057100,0.29924687
30667447,0.29941038
6050528,0.2994782
2760978,0.2995428
22360067,0.29961568
9014869,0.2996483
47476132,0.29970495
8020543,0.29974342
41728275,0.29976947
15503736,0.30004201
7592162,0.30009898
27222068,0.30014651
45732248,0.3001511
20311905,0.30015969
25106379,0.30022441
25656971,0.30022919
48245444,0.30023082
13366357,0.30035686
48125054,0.30045602
14705172,0.30046755
39968679,0.30048719
32717381,0.30052194
35479046,0.30053309
15739176,0.30060301
10159486,0.30071992
6532902,0.30072196
47028289,0.30077678
6936483,0.30090014
26387795,0.30107173
24993266,0.30112026
3043461,0.30117384
33624110,0.30118951
19283281,0.30138304
38965061,0.30140367
5849136,0.30144173
19378175,0.3015608
41616256,0.30158462
21349644,0.30159027
5657493,0.30170964
4154544,0.30172629
18541122,0.30173614
49022892,0.30176551
31590142,0.30178531
14672219,0.30179185
15328302,0.30191979
11362235,0.30195278
19223051,0.30198416
5516241,0.30203049
3815094,0.30212454
23115942,0.30219258
17727766,0.30222263
2878208,0.30231666
35226943,0.30238083
33603777,0.30240966
5370371,0.30250074
49862688,0.30251105
7301841,0.30252945
5563917,0.30259298
12889620,0.30269619
20276731,0.302744
33144837,0.30285052
32348390,0.30286217
20498177,0.30289903
8837346,0.3029354
48089059,0.30297733
9092261,0.30298542
36729668,0.3030213
29567818,0.30308459
20044202,0.30311596
30410303,0.30317831
20707779,0.30319336
7546184,0.30338478
49259242,0.30339087
8795438,0.30340921
9525534,0.30343814
47897650,0.30358877
3177206,0.30361099
49887143,0.30367863
38839032,0.30385421
3631665,0.30390063
11194138,0.30391598
6782543,0.30410188
7495015,0.3041684
34883912,0.30425491
39788101,0.30431555
13312841,0.30435758
10715512,0.30437887
17984303,0.30442535
10713419,0.30444568
10681409,0.30446254
47255227,0.30449947
20033514,0.30453581
6923313,0.30460546
9178381,0.30460748
38109236,0.30461086
26874346,0.3046239
6683652,0.30464136
5263271,0.30465424
10826465,0.30466829
37461830,0.30473013
47118282,0.30473198
40242940,0.30474019
7982674,0.304748
36586346,0.30480214
29260040,0.30480321
35585554,0.30482799
14223094,0.30483494
20261443,0.30496011
45920048,0.30498622
28649993,0.30499126
5592846,0.30504204
36220499,0.30509662
31743615,0.30509741
25057857,0.30511169
49773880,0.30515544
2198623,0.30522213
38857820,0.30529593
20171831,0.30533215
2813103,0.30540925
31032593,0.3054795
11359996,0.30548824
6274206,0.30550766
8320696,0.30570035
14948987,0.30572692
14568621,0.3057675
49500971,0.30593229
31065865,0.30605019
17371068,0.30607406
40928207,0.30620202
13161589,0.30625439
5865059,0.30627102
35528228,0.30628638
9331487,0.30641633
24175312,0.30641828
30884369,0.3064677
28659427,0.3065459
11818132,0.30658788
4227149,0.30661257
5827751,0.30673953
42714317,0.30698547
11032924,0.30699994
32900863,0.30701972
41864480,0.30705066
13553486,0.30716598
6578509,0.30719604
9088103,0.30726409
19122712,0.30739791
47792822,0.30739881
37867563,0.30743072
39175573,0.30743528
31679654,0.30760133
38598019,0.30760655
45189770,0.30762737
25640404,0.30764258
19646067,0.30766111
10881901,0.30775086
41000772,0.3077615
21383897,0.30787929
2287295,0.30793862
9350953,0.30800546
6197643,0.30800737
7779597,0.30801304
30162791,0.3081477
29209254,0.30820773
3732812,0.30837703
41693374,0.30842003
7863956,0.30846202
49704077,0.30847108
24673648,0.30849811
30762814,0.30850654
48126217,0.30856006
11931298,0.30861336
3094815,0.30870493
49758473,0.30871172
22222908,0.30871951
41095565,0.30873108
47547517,0.30888056
22419008,0.30893203
19251940,0.30896365
31005504,0.30897764
6057461,0.30899563
45624318,0.30909529
3468254,0.30912636
46323747,0.30916975
4981437,0.30917793
17399932,0.30937341
19393630,0.30940216
48858093,0.30942955
4931051,0.30944258
33761331,0.30947061
47192907,0.30949055
21399829,0.30966064
6068470,0.30986912
47647516,0.30991747
2649794,0.30992356
19008038,0.30993932
4168178,0.30999277
42489867,0.31011547
21595017,0.31013334
35200362,0.31013354
33796394,0.31016349
15708028,0.31022249
4530700,0.31029427
49547209,0.31035603
48433589,0.31045427
47520348,0.31045879
24027560,0.31053114
18889057,0.31060088
28447182,0.31061728
2199141,0.31067328
15536928,0.31069771
21132397,0.31077296
4935597,0.31082564
47666074,0.31086049
2112074,0.31094399
10177574,0.31095007
29723945,0.31100862
24949080,0.31108708
48366346,0.31125112
11929127,0.31126645
18023238,0.31134399
31042003,0.31139513
48153939,0.31141355
41702834,0.31146548
36245205,0.31148129
32994955,0.31153752
5502596,0.31156607
45161465,0.31157013
24100586,0.31163412
10381061,0.31174529
25931631,0.31178308
8239265,0.31180043
45288511,0.31180189
7694629,0.31183263
10756938,0.31194531
6469322,0.31196607
16730539,0.31212495
31390110,0.31219524
36729959,0.31222342
6352585,0.31228656
32893691,0.31232629
40810572,0.31238035
5216305,0.31241483
15360603,0.3124313
6781030,0.31251742
19874669,0.31252365
15919771,0.31254079
36743607,0.31255271
6566442,0.31263115
4512957,0.31264894
38239553,0.31266854
10368134,0.31268677
9936070,0.31276544
26673104,0.31276627
19807934,0.3127882
46184730,0.3128034
4513959,0.31287944
4592065,0.31293939
7653788,0.31297772
33346200,0.31298266
47479801,0.31310761
5983120,0.31314215
37214461,0.31315009
10545399,0.31327358
34633121,0.31333423
49803883,0.31345271
5943732,0.31347878
12374721,0.31352969
15827171,0.31353883
13091520,0.31362246
12474933,0.31362449
25020412,0.31369879
32857603,0.31379939
2355387,0.31381245
13073035,0.3138666
7198372,0.31392553
18016381,0.31401546
42428256,0.31406148
48037942,0.31416914
8542576,0.31417764
42968852,0.31418261
6358116,0.31433301
16321952,0.3143725
48778840,0.3144163
28681214,0.31446636
26987128,0.31461749
14718956,0.31462263
32056396,0.31463625
49470340,0.31471667
39497876,0.31482027
42912808,0.3149707
27082582,0.31506021
21191631,0.3150975
6340076,0.31514605
20610455,0.31517089
22724642,0.31518286
3628128,0.31534151
2590118,0.31538515
31364119,0.31538805
37006175,0.31539437
49433509,0.31551845
10757402,0.31566306
39641489,0.31570932
15610740,0.31571458
42662657,0.31581015
4785261,0.31581439
45968197,0.31583246
39229443,0.31607229
6606871,0.31608539
18652720,0.31614576
17836319,0.31619874
21801509,0.31623845
2703135,0.31625673
18056937,0.31635549
13939731,0.31637477
21131138,0.31647035
49154327,0.31657397
47473765,0.31666082
40309140,0.31668947
32381204,0.31670015
10176536,0.31686332
17190745,0.31697493
8692808,0.31702441
3350439,0.31720753
12340764,0.31727206
32938243,0.31727757
47332074,0.31733741
8991910,0.31734577
4740286,0.3173669
32691167,0.31740501
13004967,0.31742738
10811573,0.31743892
42640315,0.31751719
37792577,0.31761646
26310409,0.31777022
15989131,0.31777207
22056226,0.31781538
25825390,0.31793167
37069529,0.317988
47639902,0.31799422
18641939,0.3180856
8156389,0.31819961
22714479,0.31823443
2013259,0.31831159
6594830,0.31855317
3769502,0.31867811
41632939,0.31868188
6810365,0.31874022
3289066,0.31876437
4750611,0.31877906
46984892,0.3187902
47259503,0.31883571
2244480,0.318945
5591995,0.31905012
5442632,0.31908217
17603656,0.31908742
32006640,0.3191997
6310650,0.31924769
9150634,0.31927328
45390997,0.31934957
22565753,0.31942935
11141554,0.31947038
37361907,0.31949653
17645104,0.31950085
34236955,0.31968143
