user_id,M_global_R_APC
20146143,-0.26007365
32463394,-0.2536097
47706954,-0.23657163
19772905,-0.21559486
21128139,-0.19949611
48888997,-0.19948039
35724057,-0.18861946
2583651,-0.18102723
48618657,-0.17559342
32811221,-0.16984942
10519286,-0.16907862
46124973,-0.15837695
46969443,-0.15700274
49204919,-0.14950049
48411267,-0.14880542
33282309,-0.1431148
48280829,-0.1395118
6124452,-0.13927219
32090800,-0.13523706
6017403,-0.13297074
39125096,-0.13091045
13550637,-0.1307854
31365192,-0.13025867
46321260,-0.12948896
6464088,-0.12880626
3313974,-0.12808556
8697393,-0.12191977
14145793,-0.12143051
37789639,-0.12032854
35389703,-0.12013812
18357256,-0.12012404
22857554,-0.11856625
17958709,-0.11094864
2968467,-0.11087946
30472322,-0.11042129
8843427,-0.10848817
47616599,-0.1056706
31779358,-0.10493669
17574205,-0.10294963
35328615,-0.102768
40374269,-0.09948487
21117769,-0.09938263
4722861,-0.09934963
13686069,-0.09869581
14854927,-0.0965724
5426684,-0.09584884
48501447,-0.09413586
4926271,-0.09365849
49077368,-0.09353367
15200639,-0.09208934
18010343,-0.09202776
13776857,-0.09173116
47885122,-0.08912899
42433958,-0.0890379
50071075,-0.08610189
39177243,-0.08562861
37712815,-0.08498061
41508961,-0.0838183
10107484,-0.08195066
2391075,-0.08103761
21664632,-0.07765943
22682748,-0.07588571
48140761,-0.07570334
42351116,-0.07541387
25258875,-0.07452634
27328516,-0.07391395
8991303,-0.07308378
14864784,-0.07278814
10232225,-0.07233745
7472315,-0.07199288
49786358,-0.07160101
30556353,-0.0711134
40899009,-0.07083322
28824952,-0.07057489
14207588,-0.06934377
24676138,-0.06875559
49651961,-0.06714771
49251136,-0.06590366
43039713,-0.06476098
8467466,-0.06466491
6578859,-0.06459229
12966151,-0.06454202
27544454,-0.06369577
39251406,-0.06342788
12436816,-0.06334431
17035824,-0.06105111
35866712,-0.06101671
10804102,-0.06053213
30428117,-0.06008733
38723869,-0.05949017
15151352,-0.05888668
3996907,-0.05872215
41693536,-0.05839193
20236723,-0.05821881
13972084,-0.0575021
49582326,-0.05621947
31001765,-0.05599804
6544863,-0.05536728
7419759,-0.05471352
39685444,-0.05407134
21349889,-0.05346714
9226910,-0.05254757
31429509,-0.05250057
26301648,-0.05133366
27157364,-0.05051925
49573452,-0.05034221
41909551,-0.05019905
3337513,-0.04973708
24521594,-0.04970935
45757274,-0.04947844
42658567,-0.04933635
11182491,-0.04745755
9082626,-0.04732348
37287323,-0.04662891
47714509,-0.04662686
28065519,-0.04632805
2271579,-0.0457485
49711874,-0.04568813
36809108,-0.04544413
22083064,-0.04523588
33050528,-0.04485339
26629794,-0.04432029
47510000,-0.04429868
34073313,-0.04401946
46650101,-0.04383008
29235495,-0.04287578
34751927,-0.0426816
43109689,-0.04250332
47522615,-0.04191237
22527099,-0.0419061
25477759,-0.04176155
48662054,-0.04097498
11145218,-0.04029139
37537871,-0.04022108
49317227,-0.04007896
26236539,-0.03926362
34072034,-0.03911223
35486338,-0.03802956
4454916,-0.0378511
35849762,-0.03720889
21017694,-0.03687797
19274747,-0.03653444
39589353,-0.03645452
49360502,-0.0363406
5400607,-0.0360449
38321434,-0.0358879
49079100,-0.03549362
45906842,-0.03535056
48346888,-0.03420068
4666436,-0.03419525
5596586,-0.03365896
45784861,-0.03341516
46925367,-0.03303876
19766048,-0.03132311
28137582,-0.03081191
48160313,-0.03056193
11530676,-0.03009517
47602379,-0.02976963
28856624,-0.02941517
15378145,-0.02928227
48265524,-0.02914736
48627009,-0.02873638
49088146,-0.02870497
43083674,-0.02835945
37436851,-0.02773252
49577030,-0.02750992
12402759,-0.0265903
4933688,-0.02623685
17179085,-0.0260159
30384214,-0.02572397
35369898,-0.02553623
22445796,-0.02530684
26399024,-0.02518546
26599709,-0.02474576
4803440,-0.02444932
9523193,-0.02411151
21245806,-0.02386695
45919918,-0.02358374
41958645,-0.02327297
36939883,-0.02259997
29567302,-0.02190317
29247659,-0.02183904
38979243,-0.02179837
14076137,-0.02174768
18826203,-0.02166825
45611882,-0.02144037
34357803,-0.02141659
40866793,-0.02131317
49273159,-0.02098885
15576987,-0.02098787
48940531,-0.02097474
21360655,-0.02057093
42327476,-0.02037289
9818864,-0.02033011
31182905,-0.02027435
7563193,-0.01967709
18498818,-0.01936217
17074230,-0.0188935
3546136,-0.01868552
46782577,-0.01801263
49843225,-0.0172645
16755627,-0.01718543
5793279,-0.01669353
5703352,-0.01658537
27446416,-0.01626785
5972502,-0.01624717
31904870,-0.01593616
49650243,-0.01583255
5241479,-0.01554627
15394680,-0.01501284
46635244,-0.01416751
47047898,-0.01413552
6724913,-0.01386931
6763319,-0.0136452
49108981,-0.01323992
2613646,-0.01316698
42478757,-0.01299009
48597151,-0.01242723
39360369,-0.01239468
19013123,-0.0122749
41839612,-0.01226069
14325246,-0.01219038
3727691,-0.01212335
3412886,-0.01210011
47874565,-0.01203748
17443976,-0.01171811
40400131,-0.01167503
5899853,-0.01166812
25806366,-0.01123129
30145979,-0.01105869
21635591,-0.01104534
41724790,-0.01044014
14437683,-0.0102661
10160053,-0.01017898
28618780,-0.00996461
40575227,-0.00977871
4845971,-0.00956812
9216900,-0.0094161
9362876,-0.00936065
14245724,-0.0093228
3200397,-0.00913751
13674912,-0.00912428
5502042,-0.00898518
27637990,-0.00860723
35605930,-0.00838437
25694264,-0.0083288
5038978,-0.00805413
42439361,-0.00799391
17323023,-0.00786077
11600787,-0.00762704
29648119,-0.00751505
7397004,-0.00742558
5329116,-0.00711694
6942515,-0.00674152
26130717,-0.00653987
5482664,-0.00631432
7753178,-0.00608863
32845547,-0.00598135
45404392,-0.00594176
20452389,-0.00593037
30066335,-0.00571187
6473142,-0.0057058
49614903,-0.00559827
34754625,-0.00552518
24990747,-0.005467
29338938,-0.00522187
7679069,-0.00522087
5048235,-0.0051857
31675641,-0.00451939
21171824,-0.00447394
49280185,-0.00441661
41386366,-0.00438265
5710558,-0.00373683
26971671,-0.00372286
3649737,-0.00354297
47383873,-0.00354035
47790995,-0.00351339
46916914,-0.00350519
9542108,-0.00333131
11979932,-0.00307336
3875659,-0.00295855
42454973,-0.00255519
8848380,-0.00253246
31346284,-0.00213875
25399484,-0.00208002
24255514,-0.00165613
35356756,-0.00151135
31431996,-0.00140389
39250076,-0.00129012
7293533,-0.00110911
46587112,-0.00107924
5128699,-0.00104726
40762577,-0.00093757
47610543,-0.00055169
26245007,-0.00025635
36277707,-0.00020036
32896369,-0.00017836
5574978,-3.798e-05
39601889,0.0
2467229,0.00023457
7401116,0.00026052
47578546,0.00041006
28117230,0.00051662
